drug	estimate_legacy_ic50_labeled	estimate_z_score	estimate_delta	p.value_legacy_ic50_labeled	p.value_z_score	p_value_delta	n_legacy_ic50_labeled	n_z_score	direction_legacy_ic50_labeled	direction_z_score	numeric_match
OSI-027	-0.388878669039637	-0.388878669039637	0	0.0998619084994314	0.0998619084994314	0	19	19	High ploidy is sensitive	High ploidy is sensitive	TRUE
GNE-317	-0.319444941026402	-0.319444941026402	0	0.211355046823108	0.211355046823108	0	17	17	High ploidy is sensitive	High ploidy is sensitive	TRUE
Taselisib	-0.281919510364185	-0.281919510364185	0	0.24226607741516	0.24226607741516	0	19	19	High ploidy is sensitive	High ploidy is sensitive	TRUE
Pictilisib	-0.279594491327992	-0.279594491327992	0	0.232530172327058	0.232530172327058	0	20	20	High ploidy is sensitive	High ploidy is sensitive	TRUE
WIKI4	-0.274007335512392	-0.274007335512392	0	0.287216961130684	0.287216961130684	0	17	17	High ploidy is sensitive	High ploidy is sensitive	TRUE
Uprosertib	-0.260034661645039	-0.260034661645039	0	0.282308562708437	0.282308562708437	0	19	19	High ploidy is sensitive	High ploidy is sensitive	TRUE
AZD8186	-0.242425636123941	-0.242425636123941	0	0.34850080228284	0.34850080228284	0	17	17	High ploidy is sensitive	High ploidy is sensitive	TRUE
Afuresertib	-0.241365804057583	-0.241365804057583	0	0.350677415501532	0.350677415501532	0	17	17	High ploidy is sensitive	High ploidy is sensitive	TRUE
Osimertinib	-0.217169641807867	-0.217169641807867	0	0.40244021819423	0.40244021819423	0	17	17	High ploidy is sensitive	High ploidy is sensitive	TRUE
Erlotinib	-0.202248462608024	-0.202248462608024	0	0.436291137159953	0.436291137159953	0	17	17	High ploidy is sensitive	High ploidy is sensitive	TRUE
Ribociclib	0.207832073299009	0.207832073299009	0	0.423455499797685	0.423455499797685	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
NU7441	0.212195169449192	0.212195169449192	0	0.397929254484615	0.397929254484615	0	18	18	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
UMI-77	0.213147213806648	0.213147213806648	0	0.411423521598595	0.411423521598595	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Vorinostat	0.218323802446714	0.218323802446714	0	0.355106559490266	0.355106559490266	0	20	20	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
PD173074	0.225284914571891	0.225284914571891	0	0.339584626182925	0.339584626182925	0	20	20	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Foretinib	0.22679679122862	0.22679679122862	0	0.381373689369237	0.381373689369237	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Palbociclib	0.22691827425857	0.22691827425857	0	0.336001084645172	0.336001084645172	0	20	20	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
RO-3306	0.23043471252462	0.23043471252462	0	0.357608812388921	0.357608812388921	0	18	18	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
SB216763	0.234543505344965	0.234543505344965	0	0.34885887629849	0.34885887629849	0	18	18	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Temozolomide	0.243845309756802	0.243845309756802	0	0.314400916501928	0.314400916501928	0	19	19	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Cediranib	0.251334205597127	0.251334205597127	0	0.330510740951581	0.330510740951581	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
ABT737	0.255422499487467	0.255422499487467	0	0.322438728051622	0.322438728051622	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Tozasertib	0.255546055769355	0.255546055769355	0	0.306082299350701	0.306082299350701	0	18	18	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
VE821	0.26434267861619	0.26434267861619	0	0.305231068823065	0.305231068823065	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
YK-4-279	0.267908742793375	0.267908742793375	0	0.298507781485803	0.298507781485803	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Epirubicin	0.28340130856772	0.28340130856772	0	0.270338107555845	0.270338107555845	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
AZD4547	0.290327148089091	0.290327148089091	0	0.258293096101717	0.258293096101717	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
MK-1775	0.301124021585311	0.301124021585311	0	0.210283073138098	0.210283073138098	0	19	19	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Fulvestrant	0.305344560009808	0.305344560009808	0	0.2036460923944	0.2036460923944	0	19	19	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Docetaxel	0.30644696528381	0.30644696528381	0	0.188808071478363	0.188808071478363	0	20	20	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
5-Fluorouracil	0.309051749509344	0.309051749509344	0	0.184885025826719	0.184885025826719	0	20	20	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
MIRA-1	0.313565909721665	0.313565909721665	0	0.220351799805305	0.220351799805305	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
MK-8776	0.314583057115857	0.314583057115857	0	0.218777937088966	0.218777937088966	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Venetoclax	0.327917580904644	0.327917580904644	0	0.170507423954103	0.170507423954103	0	19	19	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Camptothecin	0.344788392280763	0.344788392280763	0	0.148278814170245	0.148278814170245	0	19	19	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Vinblastine	0.354322281094252	0.354322281094252	0	0.162896592487037	0.162896592487037	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Paclitaxel	0.357425152470444	0.357425152470444	0	0.133005614917864	0.133005614917864	0	19	19	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Cytarabine	0.370199683117635	0.370199683117635	0	0.143556931075387	0.143556931075387	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
JQ1	0.376529539525733	0.376529539525733	0	0.123530951763944	0.123530951763944	0	18	18	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Wee1 Inhibitor	0.381251697108058	0.381251697108058	0	0.107281872274468	0.107281872274468	0	19	19	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Nutlin-3a (-)	0.387304090685959	0.387304090685959	0	0.0915770818976476	0.0915770818976476	0	20	20	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Navitoclax	0.390121163306054	0.390121163306054	0	0.0890407149057874	0.0890407149057874	0	20	20	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Irinotecan	0.412399669803474	0.412399669803474	0	0.0889968919131109	0.0889968919131109	0	18	18	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Vinorelbine	0.455394530345643	0.455394530345643	0	0.0662214068251573	0.0662214068251573	0	17	17	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
Gemcitabine	0.4628112903956	0.4628112903956	0	0.0460028414721805	0.0460028414721805	0	19	19	Low ploidy is sensitive	Low ploidy is sensitive	TRUE
