drug	freq
Vorinostat	20
Staurosporine	20
Pictilisib	20
PD173074	20
Palbociclib	20
Nutlin-3a (-)	20
Navitoclax	20
MK-2206	20
MG-132	20
Docetaxel	20
Cisplatin	20
AZD7762	20
5-Fluorouracil	20
Wee1 Inhibitor	19
Venetoclax	19
Uprosertib	19
Trametinib	19
Temozolomide	19
Taselisib	19
Tamoxifen	19
Sorafenib	19
SCH772984	19
Sapitinib	19
Paclitaxel	19
OSI-027	19
Olaparib	19
Nilotinib	19
MK-1775	19
Luminespib	19
Linsitinib	19
LGK974	19
Lapatinib	19
Gemcitabine	19
Fulvestrant	19
Dabrafenib	19
Crizotinib	19
Camptothecin	19
Bortezomib	19
Axitinib	19
Alpelisib	19
ZM447439	18
Ulixertinib	18
Tozasertib	18
SB216763	18
RO-3306	18
PLX-4720	18
PF-4708671	18
PD0325901	18
Oxaliplatin	18
NU7441	18
KU-55933	18
JQ1	18
Irinotecan	18
GSK269962A	18
GSK1904529A	18
EPZ5676	18
EPZ004777	18
Entinostat	18
Doramapimod	18
Dactinomycin	18
AZD8055	18
Alisertib	18
Afatinib	18
YK-4-279	17
WIKI4	17
WEHI-539	17
VX-11e	17
Vinorelbine	17
Vinblastine	17
VE821	17
UMI-77	17
Telomerase Inhibitor IX	17
Talazoparib	17
Sepantronium bromide	17
Savolitinib	17
Ribociclib	17
Rapamycin	17
Pyridostatin	17
Pevonedistat	17
P22077	17
Osimertinib	17
NVP-ADW742	17
MK-8776	17
MIRA-1	17
MIM1	17
LJI308	17
Ipatasertib	17
I-BRD9	17
GSK591	17
GSK2578215A	17
GNE-317	17
Gefitinib	17
GDC0810	17
Foretinib	17
Erlotinib	17
Epirubicin	17
Dasatinib	17
Dactolisib	17
Cytarabine	17
Cyclophosphamide	17
Cediranib	17
Buparlisib	17
BPD-00008900	17
BMS-536924	17
BIBR-1532	17
BI-2536	17
BDP-00009066	17
AZD8186	17
AZD6738	17
AZD6482	17
AZD5363	17
AZD4547	17
AZD3759	17
AZ6102	17
AT13148	17
AMG-319	17
AGI-5198	17
Afuresertib	17
ABT737	17
Zoledronate	15
XAV939	15
WZ4003	15
Wnt-C59	15
VSP34_8731	15
VE-822	15
ULK1_4989	15
Topotecan	15
Teniposide	15
TAF1_5496	15
Sinularin	15
Selumetinib	15
Sabutoclax	15
RVX-208	15
Ruxolitinib	15
PRT062607	15
PRIMA-1MET	15
Podophyllotoxin bromide	15
Picolinici-acid	15
PFI3	15
PCI-34051	15
PAK_5339	15
OTX015	15
OF-1	15
Obatoclax Mesylate	15
Niraparib	15
Nelarabine	15
MN-64	15
ML323	15
Mitoxantrone	15
Mirin	15
LY2109761	15
Leflunomide	15
LCL161	15
KRAS (G12C) Inhibitor-12	15
JAK1_8709	15
JAK_8517	15
IWP-2	15
IRAK4_4710	15
IGF1R_3801	15
I-BET-762	15
GSK343	15
GSK2606414	15
Gallibiscoquinazole	15
Fludarabine	15
ERK_6604	15
ERK_2440	15
Entospletinib	15
Elephantin	15
Eg5_9814	15
Dinaciclib	15
Dihydrorotenone	15
CZC24832	15
CDK9_5576	15
CDK9_5038	15
Carmustine	15
BMS-345541	15
AZD5991	15
AZD5582	15
AZD5438	15
AZD5153	15
AZD2014	15
AZD1332	15
AZD1208	15
AZ960	15
AGI-6780	15
Acetalax	15
Vincristine	14
Ibrutinib	14
IAP_5620	14
Daporinad	7
