drug	estimate	p.value	n	pathway_name
OSI-027	-0.388878669039637	0.0998619084994314	19	PI3K/MTOR signaling
GNE-317	-0.319444941026402	0.211355046823108	17	PI3K/MTOR signaling
Taselisib	-0.281919510364185	0.24226607741516	19	PI3K/MTOR signaling
Pictilisib	-0.279594491327992	0.232530172327058	20	PI3K/MTOR signaling
WIKI4	-0.274007335512392	0.287216961130684	17	WNT signaling
Uprosertib	-0.260034661645039	0.282308562708437	19	PI3K/MTOR signaling
AZD8186	-0.242425636123941	0.34850080228284	17	PI3K/MTOR signaling
Afuresertib	-0.241365804057583	0.350677415501532	17	PI3K/MTOR signaling
Osimertinib	-0.217169641807867	0.40244021819423	17	EGFR signaling
Erlotinib	-0.202248462608024	0.436291137159953	17	EGFR signaling
MK-2206	-0.192280962338621	0.416700866407797	20	PI3K/MTOR signaling
Sapitinib	-0.182680408061227	0.454122322899004	19	EGFR signaling
Gefitinib	-0.170829391324235	0.512117973533028	17	EGFR signaling
Sepantronium bromide	-0.166480732324913	0.523073782250859	17	Apoptosis regulation
Ulixertinib	-0.152623207647049	0.545446020177144	18	ERK MAPK signaling
Ipatasertib	-0.147435519457938	0.572284484048035	17	PI3K/MTOR signaling
WEHI-539	-0.143213455724915	0.583453580668851	17	Apoptosis regulation
Buparlisib	-0.140037205728818	0.591915497764392	17	PI3K/MTOR signaling
PLX-4720	-0.138968517490355	0.582356289047032	18	ERK MAPK signaling
Alpelisib	-0.137498858464505	0.574571034612896	19	PI3K/MTOR signaling
GSK1904529A	-0.137476896404931	0.586451089252983	18	IGF1R signaling
VX-11e	-0.134469293473256	0.606869335841667	17	ERK MAPK signaling
LGK974	-0.130961277485926	0.593062315838873	19	WNT signaling
AZD3759	-0.129515778274248	0.620298444984491	17	EGFR signaling
Rapamycin	-0.124716151005754	0.633419515472257	17	PI3K/MTOR signaling
Trametinib	-0.123285567114498	0.615082434918738	19	ERK MAPK signaling
AZD5363	-0.112569252186806	0.667083894897397	17	Other, kinases
Lapatinib	-0.0869401697976374	0.723408465718101	19	EGFR signaling
Crizotinib	-0.08548254672572	0.727876607351151	19	RTK signaling
Savolitinib	-0.0774159489898003	0.767746124795088	17	RTK signaling
Linsitinib	-0.0753371187881542	0.759202069592192	19	IGF1R signaling
AZD7762	-0.0752607573214396	0.752494495970964	20	Cell cycle
LJI308	-0.0655484366449762	0.802629606310527	17	PI3K/MTOR signaling
MIM1	-0.0607304716093354	0.816896679556147	17	Apoptosis regulation
AZD8055	-0.0582536670827269	0.818402250123531	18	PI3K/MTOR signaling
AZD6482	-0.0581711900985929	0.824497743243519	17	PI3K/MTOR signaling
Dactolisib	-0.0436510674437441	0.867883625513394	17	PI3K/MTOR signaling
Pevonedistat	-0.0297814373700878	0.909663288321913	17	Other
SCH772984	-0.0282246486836002	0.908684268353614	19	ERK MAPK signaling
