ccle_name	ploidy
AU565_BREAST	3.614
BT20_BREAST	2.445
BT474_BREAST	2.693
BT483_BREAST	3.84
BT549_BREAST	2.966
CAL120_BREAST	3.198
CAL148_BREAST	2.066
CAL51_BREAST	1.988
CAL851_BREAST	2.675
CAMA1_BREAST	1.933
DU4475_BREAST	3.744
EFM19_BREAST	2.838
EFM192A_BREAST	3.149
EVSAT_BREAST	2.839
HCC1143_BREAST	3.362
HCC1187_BREAST	2.644
HCC1395_BREAST	2.692
HCC1419_BREAST	3.555
HCC1428_BREAST	3.515
HCC1500_BREAST	1.661
HCC1569_BREAST	2.948
HCC1599_BREAST	2.995
HCC1806_BREAST	2.215
HCC1937_BREAST	4.238
HCC1954_BREAST	4.204
HCC202_BREAST	2.919
HCC2157_BREAST	2.69
HCC2218_BREAST	3.925
HCC38_BREAST	1.823
HCC70_BREAST	4.243
HDQP1_BREAST	4.139
HS578T_BREAST	2.603
JIMT1_BREAST	2.511
MDAMB157_BREAST	2.812
MCF7_BREAST	2.974
MDAMB175VII_BREAST	3.627
MDAMB231_BREAST	2.777
MDAMB361_BREAST	2.655
MDAMB415_BREAST	2.875
MDAMB436_BREAST	2.973
MDAMB453_BREAST	4.199
MDAMB468_BREAST	2.842
T47D_BREAST	2.777
UACC812_BREAST	2.912
UACC893_BREAST	2.947
ZR7530_BREAST	3.741
