ID	Drug Name	Targets	Z Score	Count
"1553"	"Uprosertib"	"AKT1, AKT2, AKT3"	"-1.9888748615189338"	"138"
"1022"	"AZD7762"	"CHEK1, CHEK2"	"-1.8362135039842788"	"138"
"1011"	"Navitoclax"	"BCL2, BCL-XL, BCL-W"	"-1.687591984650687"	"138"
"1631"	"PRT062607"	"SYK"	"-1.6019925391693555"	"138"
"1613"	"VE-822"	"ATR"	"-1.5082587727661563"	"138"
"1816"	"Fulvestrant"	""	"-1.4694239898660866"	"138"
"1614"	"WZ4003"	"NUAK1, NUAK2"	"-1.4439791278432443"	"138"
"1050"	"ZM447439"	"AURKA, AURKB"	"-1.3604660969779139"	"138"
"1621"	"PCI-34051"	"HDAC8, HDAC6, HDAC1"	"-1.319360947291601"	"138"
"1021"	"Axitinib"	"PDGFR, KIT, VEGFR"	"-1.3156920838518331"	"138"
"1268"	"XAV939"	"TNKS1, TNKS2"	"-1.3002995723944071"	"138"
"1625"	"RVX-208"	"BRD4"	"-1.2958832495648553"	"138"
"1449"	"AZD1208"	"PIM1, PIM2, PIM3"	"-1.2469225692417913"	"138"
"1733"	"ULK1_4989"	"ULK1"	"-1.2467148667753958"	"138"
"1730"	"PAK_5339"	"PAK1, PAK2"	"-1.208724857907624"	"138"
"1191"	"Bortezomib"	"Proteasome"	"-1.1919822522980767"	"138"
"1632"	"Ribociclib"	"CDK4, CDK6"	"-1.1597440330228659"	"138"
"1096"	"Tozasertib"	"AURKA, AURKB, AURKC, others"	"-1.1100096698607804"	"138"
"1560"	"Alpelisib"	"PI3Kalpha"	"-1.0672038330104996"	"138"
"1049"	"PD173074"	"FGFR1, FGFR2, FGFR3"	"-1.0157504658434933"	"138"
"1131"	"PRIMA-1MET"	"TP53 activation"	"-.99589585848856921"	"138"
"1634"	"AGI-6780"	"IDH2 R140Q mutant"	"-.98464643238791216"	"138"
"1718"	"JAK1_8709"	"JAK1"	"-.96930672963145437"	"138"
"1624"	"I-BET-762"	"BRD2, BRD3, BRD4"	"-.93231792580525075"	"138"
"1083"	"Crizotinib"	"MET, ALK, ROS1"	"-.91439204230222682"	"138"
"1799"	"Ibrutinib"	"BTK"	"-.90256880622241864"	"138"
"1709"	"CDK9_5038"	"CDK9"	"-.88807553741599532"	"138"
"1093"	"GSK1904529A"	"IGF1R, IR"	"-.87471579298680824"	"138"
"1626"	"OTX015"	"BRD2, BRD3, BRD4"	"-.86007235388741898"	"138"
"1630"	"Entospletinib"	"SYK"	"-.85611136668440391"	"138"
"1838"	"Sinularin"	""	"-.84962419433101366"	"138"
"1053"	"MK-2206"	"AKT1, AKT2"	"-.82777783345803713"	"138"
"1563"	"EPZ5676"	"DOT1L"	"-.77954969207252844"	"138"
"1576"	"IWP-2"	"PORCN"	"-.77761665638940614"	"138"
"1561"	"Taselisib"	"PI3K (beta sparing)"	"-.77068632930961256"	"138"
"1854"	"MN-64"	"TNKS1, TNKS2"	"-.76638145429238136"	"138"
"1706"	"AZD5153"	"BRD4"	"-.76137146193114247"	"138"
"1237"	"EPZ004777"	"DOT1L"	"-.73783662980399134"	"138"
"1720"	"AZD5991"	"MCL1"	"-.71949249338989962"	"138"
"1862"	"MG-132"	"Proteasome, CAPN1"	"-.71533780246519885"	"138"
"1807"	"Carmustine"	""	"-.70429987421071039"	"138"
"1058"	"Pictilisib"	"PI3K (class 1)"	"-.70380603204213577"	"138"
"1038"	"NU7441"	"DNAPK"	"-.69854279014844556"	"138"
"1200"	"Fulvestrant"	"ESR"	"-.69298867452725799"	"138"
"1594"	"OSI-027"	"MTORC1, MTORC2"	"-.66186332326726105"	"138"
"1622"	"Wnt-C59"	"PORCN"	"-.65733052025803085"	"138"
"1046"	"Wee1 Inhibitor"	"WEE1, CHEK1"	"-.62578329958685441"	"138"
"1635"	"Picolinici-acid"	"Inflammatory related"	"-.62564325581420455"	"138"
"1042"	"Doramapimod"	"p38, JNK2"	"-.57029863763749067"	"138"
"1734"	"VSP34_8731"	"VSP34"	"-.5544327178009455"	"138"
"1013"	"Nilotinib"	"ABL"	"-.54858732523685938"	"138"
"1036"	"PLX-4720"	"BRAF"	"-.53031308445924119"	"138"
"1708"	"CDK9_5576"	"CDK9"	"-.52307852146889844"	"138"
"1059"	"AZD8055"	"MTORC1, MTORC2"	"-.50199733334872787"	"138"
"1068"	"Obatoclax Mesylate"	"BCL2, BCL-XL, BCL-W, MCL1"	"-.4991225289537311"	"138"
"1034"	"Staurosporine"	"Broad spectrum kinase inhibitor"	"-.49818074571182275"	"138"
