ID	Drug Name	Targets	Z Score	Count
"1038"	"NU7441"	"DNAPK"	"-2.3130015472430197"	"195"
"1086"	"BI-2536"	"PLK1, PLK2, PLK3"	"-2.0537589983901259"	"195"
"2172"	"JQ1"	"BRD2, BRD3, BRD4, BRDT"	"-2.0248241508272309"	"195"
"1007"	"Docetaxel"	"Microtubule stabiliser"	"-1.9320464166702522"	"195"
"1625"	"RVX-208"	"BRD4"	"-1.9123751950878778"	"195"
"1998"	"BPD-00008900"	""	"-1.8863008308210985"	"195"
"1030"	"KU-55933"	"ATM"	"-1.7966012506633349"	"195"
"1079"	"Dasatinib"	"ABL, SRC, Ephrins, PDGFR, KIT"	"-1.7758717439378218"	"195"
"1626"	"OTX015"	"BRD2, BRD3, BRD4"	"-1.7027278027621571"	"195"
"1441"	"AZD2014"	"mTORC1, mTORC2"	"-1.6786009289499306"	"195"
"1034"	"Staurosporine"	"Broad spectrum kinase inhibitor"	"-1.6671736505749437"	"195"
"1080"	"Paclitaxel"	"Microtubule stabiliser"	"-1.5926084902967845"	"195"
"1463"	"AZD1332"	"NTRK1, NTRK2, NTRK3"	"-1.544309822157734"	"195"
"1939"	"UMI-77"	"MCL1"	"-1.5062845348565368"	"195"
"1927"	"GSK2578215A"	"LRRK2"	"-1.4936954988714823"	"195"
"1052"	"RO-3306"	"CDK1"	"-1.4845000558994446"	"195"
"1594"	"OSI-027"	"MTORC1, MTORC2"	"-1.4580759073693013"	"195"
"1013"	"Nilotinib"	"ABL"	"-1.4081375196223804"	"195"
"1620"	"PFI3"	"Polybromo 1, SMARCA4, SMARCA2"	"-1.3705569513717282"	"195"
"1058"	"Pictilisib"	"PI3K (class 1)"	"-1.3615559176567624"	"195"
"1862"	"MG-132"	"Proteasome, CAPN1"	"-1.3500322145440129"	"195"
"1025"	"SB216763"	"GSK3A, GSK3B"	"-1.348918074167069"	"195"
"1046"	"Wee1 Inhibitor"	"WEE1, CHEK1"	"-1.3482096570445936"	"195"
"1042"	"Doramapimod"	"p38, JNK2"	"-1.3351164275023835"	"195"
"1615"	"CZC24832"	"PI3Kgamma"	"-1.2972079717358207"	"195"
"1924"	"Ipatasertib"	"AKT1, AKT, AKT3"	"-1.2770798829901031"	"195"
"1011"	"Navitoclax"	"BCL2, BCL-XL, BCL-W"	"-1.2748891900489281"	"195"
"1050"	"ZM447439"	"AURKA, AURKB"	"-1.2441050434427818"	"195"
"1059"	"AZD8055"	"MTORC1, MTORC2"	"-1.2303851992322199"	"195"
"1512"	"Cyclophosphamide"	"Alkylating agent"	"-1.2255126246311001"	"195"
"1084"	"Rapamycin"	"MTORC1"	"-1.2226807047525659"	"195"
"2046"	"MK-8776"	"CHEK1, CHEK2, CDK2"	"-1.1937766549129161"	"195"
"1916"	"AZD5363"	"AKT1, AKT2, AKT3, ROCK2"	"-1.1929429055264629"	"195"
"1819"	"Docetaxel"	"Microtubule stabiliser"	"-1.1897595784572346"	"195"
"1053"	"MK-2206"	"AKT1, AKT2"	"-1.1722252323265741"	"195"
"1624"	"I-BET-762"	"BRD2, BRD3, BRD4"	"-1.167122273941934"	"195"
"1191"	"Bortezomib"	"Proteasome"	"-1.1618768247900613"	"195"
"1553"	"Uprosertib"	"AKT1, AKT2, AKT3"	"-1.1502191574263949"	"195"
"1818"	"Vincristine"	""	"-1.1346829169518124"	"195"
"1918"	"AZD8186"	"PI3Kalpha, PI3Kbeta"	"-1.1293229246479226"	"195"
"1804"	"Acetalax"	""	"-1.1106362683825144"	"195"
"2111"	"VE821"	"ATR"	"-1.0862305717641725"	"195"
"2170"	"AT13148"	"AKT1"	"-1.0813819717831332"	"195"
"1922"	"Cediranib"	"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB"	"-1.0745725924113099"	"195"
"1866"	"BDP-00009066"	"MRCKB_HUMAN"	"-1.0699496662882706"	"195"
"1825"	"Podophyllotoxin bromide"	""	"-1.0601203380764728"	"195"
"2169"	"AZD6482"	"PI3Kbeta"	"-1.0521723589679535"	"195"
"1706"	"AZD5153"	"BRD4"	"-1.0397861373022654"	"195"
"1012"	"Vorinostat"	"HDAC inhibitor Class I, IIa, IIb, IV"	"-1.0324605398714357"	"195"
"1048"	"Mirin"	"MRE11"	"-1.0287488390866755"	"195"
"1049"	"PD173074"	"FGFR1, FGFR2, FGFR3"	"-1.0167522893278549"	"195"
"1708"	"CDK9_5576"	"CDK9"	"-1.0086608820208436"	"195"
"1250"	"AZ960"	"JAK2, JAK3"	"-.97908454052963834"	"195"
"1036"	"PLX-4720"	"BRAF"	"-.96976458902397378"	"195"
"1712"	"Eg5_9814"	"KSP11"	"-.93967727388746292"	"195"
"1237"	"EPZ004777"	"DOT1L"	"-.915779931321413"	"195"
"1096"	"Tozasertib"	"AURKA, AURKB, AURKC, others"	"-.91334975967869025"	"195"
"1930"	"Telomerase Inhibitor IX"	"Telomerase"	"-.9010816165088007"	"195"
"1560"	"Alpelisib"	"PI3Kalpha"	"-.86708701016178713"	"195"
"1131"	"PRIMA-1MET"	"TP53 activation"	"-.84482267879767192"	"195"
"2044"	"Pyridostatin"	"G-quadruplex stabiliser"	"-.8366998080428345"	"195"
"1709"	"CDK9_5038"	"CDK9"	"-.83480696953460198"	"195"
"2048"	"Vinorelbine"	"Microtubule destabiliser"	"-.82234054140406598"	"195"
"1802"	"Zoledronate"	""	"-.79302459532403158"	"195"
