group	n
(Anti-)Inflammatory	2
Antineoplastic Agents	3
Antineoplastic Agents; Hormones and antihormones	1
Breast Feeding; Lactation; Antineoplastic Agents	1
Breast Feeding; Lactation; Antineoplastic Agents; Antibiotics, Antineoplastic; Cytotoxic medicines	1
Breast Feeding; Lactation; Antineoplastic Agents; Antibiotics, Antineoplastic; Protein Synthesis Inhibitors; Nucleic Acid Synthesis Inhibitors;; Cytotoxic medicines	1
Breast Feeding; Lactation; Antineoplastic Agents; Antineoplastic Agents, Alkylating	1
Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	2
Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors;	1
Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors	1
Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;	2
Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies	2
Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;; Targeted therapies	1
Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP inhibitors	1
Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP Inhibitors;	1
Breast Feeding; Lactation; Antineoplastic Agents; Topoisomerase I Inhibitors	1
Breast Feeding; Lactation; Bisphosphonates; Bone Density Conservation Agents; Diphosphonates;; Medicines for endocrine disorders; Supportive medicines	1
Breast Feeding; Lactation; Immunosuppressive Agents	1
Breast Feeding; Lactation; Milk, Human; Abortifacient Agents, Nonsteroidal; Antimetabolites, Antineoplastic; Antirheumatic Agents; Folic Acid Antagonists; Immunosuppressive Agents; Cytotoxic medicines; Dermatological medicines > Medicines affecting skin differentiation and proliferation; Disease-modifying anti-rheumatic drugs (DMARDs)	1
Breast Feeding; Lactation; Milk, Human; Antimetabolites, Antineoplastic; Immunosuppressive Agents; Nucleosides; Cytotoxic medicines	1
Breast Feeding; Lactation; Milk, Human; Antimetabolites; Antineoplastic Agents; Antimetabolites, Antineoplastic; Immunosuppressive Agents; Cytotoxic medicines; Dermatological medicines > Medicines affecting skin differentiation and proliferation	1
Breast Feeding; Lactation; Milk, Human; Antimetabolites; Antineoplastic Agents; Enzyme Inhibitors; Immunosuppressive Agents; Cytotoxic medicines	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents	2
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents, Hormonal; Estrogen Receptor Antagonists	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Alkylating Agents; Cytotoxic medicines	1
