cancer	drug	correlation
allcancers	Lapatinib	-0.020119230703073
allcancers	Sepantronium bromide	-0.0148331838647814
allcancers	Tretinoin	-0.0102919575525447
allcancers	WIKI4	-0.00736065174986215
allcancers	IOX2	-0.00554316249329503
allcancers	Dactolisib	-0.0048653661745317
allcancers	Sapitinib	-0.00306662350384763
allcancers	GNE-317	-0.00266479670692405
allcancers	SB505124	-0.00152499051533886
allcancers	AZD8186	-0.000404852215047661
allcancers	Elesclomol	0.000122478491348831
allcancers	GSK1904529A	0.00362497388012725
allcancers	Pictilisib	0.00767429788675418
allcancers	AZD8055	0.00878299794697321
allcancers	Doramapimod	0.00970808155562684
allcancers	WEHI-539	0.00974181217023401
allcancers	Entinostat	0.0101077869898958
allcancers	Entospletinib	0.0101455860876924
allcancers	Ibrutinib	0.0103746255247148
allcancers	Methotrexate	0.0107991388957312
allcancers	BDOCA000347a	0.0114218713338104
allcancers	Osimertinib	0.0118214848238488
allcancers	Gefitinib	0.0139259471244673
allcancers	PLX-4720	0.0155194441386164
allcancers	BMS-536924	0.0161733390284403
allcancers	PD173074	0.017398916034876
allcancers	Romidepsin	0.0176791231315787
allcancers	741909	0.0184504993218744
allcancers	ascorbate (vitamin C)	0.0188250150511688
allcancers	JAK_8517	0.019543169277037
allcancers	Rapamycin	0.0211543574418529
allcancers	MN-64	0.022379336931658
allcancers	Bortezomib	0.0229423072954752
allcancers	GSK591	0.0245071478165498
allcancers	AZD2014	0.0251106691187961
allcancers	RVX-208	0.0255794670409585
allcancers	GDC0810	0.0257064916898143
allcancers	SB590885	0.0275024562446476
allcancers	Tanespimycin	0.0298345932735686
allcancers	AZD4547	0.0304576133617006
allcancers	MG-132	0.0322273535546412
allcancers	LCL161	0.0324097475955863
allcancers	OF-1	0.0324445916709734
allcancers	OSI-027	0.0325244970055465
allcancers	Afatinib	0.0332710047584757
allcancers	AZ6102	0.0347412784377874
allcancers	Erlotinib	0.0356046625712329
allcancers	UMI-77	0.0356962847378548
allcancers	AZD1332	0.0360659976539326
allcancers	TAF1_5496	0.0366672987717747
allcancers	743380	0.0368919595678869
allcancers	765771	0.0374523682132389
allcancers	Remodelin	0.0386800827935873
allcancers	OTX015	0.0396651085962471
allcancers	123829	0.0404357622969936
allcancers	NVP-ADW742	0.0410393767215609
allcancers	ML323	0.0411183866439854
allcancers	Taselisib	0.0414661059015652
allcancers	776928	0.0424993911281838
allcancers	EHT-1864	0.0432709010232422
allcancers	I-BET-762	0.0442433074540891
allcancers	CHIR-99021	0.0445350346430541
allcancers	P22077	0.0445351534997905
allcancers	Uprosertib	0.04511915873686
allcancers	MK-2206	0.0451666107072408
allcancers	Alpelisib	0.0474790364012059
allcancers	SCH772984	0.0479506057559183
allcancers	Serdemetan	0.0479578405693826
allcancers	Temsirolimus	0.048507979701365
allcancers	Dihydrorotenone	0.0487358866605418
allcancers	JNK Inhibitor VIII	0.0487717813648074
allcancers	Refametinib	0.0491413361165454
allcancers	ULK1_4989	0.049474543859728
allcancers	Linsitinib	0.0501336693974528
allcancers	Cyclophosphamide	0.0502563202149552
allcancers	Vorinostat	0.0505611972421756
allcancers	GSK343	0.0507145985442849
allcancers	SGC0946	0.0511329346746542
allcancers	Tamoxifen	0.0518010252091677
allcancers	PRT062607	0.0521751914230023
allcancers	Ulixertinib	0.0531016917918449
allcancers	Selumetinib	0.0545118589285816
allcancers	BMS-754807	0.0546469552754004
allcancers	NU7441	0.0549024826273354
allcancers	Dinaciclib	0.0560001375545526
allcancers	VE-822	0.0562856971154081
allcancers	CCT007093	0.0563892653136353
allcancers	ICL-SIRT078	0.0564297336767394
allcancers	Buparlisib	0.0572658047311249
allcancers	Afuresertib	0.0576839381037571
allcancers	Ipatasertib	0.0586464210301061
allcancers	AZD5363	0.0586545356368912
allcancers	Wnt-C59	0.0587031346239919
