.rowname	TYROSINE.KINASE.INHIBITORS	CYTOTOXIC	SIGNALING	ANTINEOPLASTIC.AGENTS	IMMUNOSUPPRESSIVE.AGENTS	EPIGENETICS.AND.TRANSCRIPTION	HORMONES.AND.ANTIHORMONES	MEK.INHIBITORS	METABOLICINHIBITOR
STAD	0.99	0	0.756666666666667	0.386666666666667	0.876666666666667	0.62	0.82	0.0866666666666667	0.34
allcancers	0.58	0	0.81	0.473333333333333	0.44	0.21	0.76	0.423333333333333	0.276666666666667
BRCA	0.84	0	1	0.47	0.206666666666667	0.59	0.0566666666666667	0.81	0.0366666666666667
ALL	0.273333333333333	0	1	0.523333333333333	0.153333333333333	0.99	0.566666666666667	0.89	0.166666666666667
THCA	0.103333333333333	0.00333333333333333	0.73	0.0933333333333333	0.366666666666667	0.863333333333333	0.796666666666667	0.963333333333333	
OV	0.87	0.00666666666666667	1	0.723333333333333	0.68	0.00333333333333333	0.97	0.363333333333333	0.68
GBM	0.86	0.01	0.906666666666667	0.15	0.3	0.716666666666667	0.88	0.896666666666667	0.253333333333333
BLCA	0.673333333333333	0.0166666666666667	0.44	0.0766666666666667	0.29	0.996666666666667	0.943333333333333	0.526666666666667	0.793333333333333
HNSC	0.693333333333333	0.0233333333333333	1	0.01	0.933333333333333	0.843333333333333	0.57	0.463333333333333	0.136666666666667
LUSC	0.89	0.0266666666666667	0.653333333333333	0.526666666666667	0.94	0.463333333333333	0.04	0	0.513333333333333
COREAD	0.796666666666667	0.0333333333333333	1	0.676666666666667	0.0166666666666667	0.00666666666666667	0.67	0.95	0.306666666666667
UNCLASSIFIED	0.156666666666667	0.0966666666666667	0.213333333333333	0.176666666666667	0.316666666666667	0.996666666666667	0.156666666666667	0.786666666666667	0.543333333333333
SKCM	0.903333333333333	0.166666666666667	0.72	0.87	0.193333333333333	0.98	0.313333333333333	0.00666666666666667	0.843333333333333
LIHC	0.0466666666666667	0.323333333333333	0.0933333333333333	0.976666666666667	0.17	0.756666666666667	0.39	0.186666666666667	0.0866666666666667
NB	0.956666666666667	0.413333333333333	1	0.0766666666666667	0.0833333333333333	0.63	0.613333333333333	0	
MM	0.636666666666667	0.423333333333333	0.22	0.0566666666666667	0.416666666666667	0.79	0.56	0.07	0.986666666666667
LAML	0.0766666666666667	0.546666666666667	1	0.3	0.306666666666667	0.0833333333333333	0.01	0.0166666666666667	1
PAAD	0.576666666666667	0.776666666666667	0.863333333333333	0.573333333333333	0.166666666666667	0.0133333333333333	0.99	0.0133333333333333	0.213333333333333
LGG	0.513333333333333	0.806666666666667	1	0.453333333333333	0.4	1	0.973333333333333	0.00666666666666667	
KIRC	0.27	0.833333333333333	0.62	0.883333333333333	0.803333333333333	0.08	0.86	0.00333333333333333	0.256666666666667
ESCA	0.11	0.913333333333333	0.0466666666666667	0.986666666666667	0.286666666666667	0.49	0.866666666666667	0.213333333333333	0.29
DLBC	0.193333333333333	0.956666666666667	0.276666666666667	0.863333333333333	0.456666666666667	0.366666666666667	0.58	0.00666666666666667	1
SCLC	0.44	0.98	0	0.713333333333333	0.986666666666667	0.636666666666667	0.373333333333333	0.0833333333333333	0.513333333333333
LUAD	0.51	1	0.0866666666666667	0.936666666666667	0.58	0.0166666666666667	0.72	0.873333333333333	0.113333333333333
