drug	drugName	pubchem_cid	drugCategory_Pubchem	annotation_source	annotation_status	retrieved_at	pubchem_url	notes
Lapatinib	Lapatinib		Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Sepantronium bromide	Sepantronium bromide		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Tretinoin	Tretinoin		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Dermatologic Agents; Keratolytic Agents; Retinoids; Targeted therapies	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
WIKI4	WIKI4			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
IOX2	IOX2			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Dactolisib	Dactolisib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Sapitinib	Sapitinib		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GNE-317	GNE-317		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
SB505124	SB505124		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD8186	AZD8186		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Elesclomol	Elesclomol		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GSK1904529A	GSK1904529A		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Pictilisib	Pictilisib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD8055	AZD8055		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Doramapimod	Doramapimod		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
WEHI-539	WEHI-539		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Entinostat	Entinostat		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Entospletinib	Entospletinib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Ibrutinib	Ibrutinib		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Targeted therapies	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Methotrexate	Methotrexate		Breast Feeding; Lactation; Milk, Human; Abortifacient Agents, Nonsteroidal; Antimetabolites, Antineoplastic; Antirheumatic Agents; Folic Acid Antagonists; Immunosuppressive Agents; Cytotoxic medicines; Dermatological medicines > Medicines affecting skin differentiation and proliferation; Disease-modifying anti-rheumatic drugs (DMARDs)	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BDOCA000347a	BDOCA000347a			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Osimertinib	Osimertinib		Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Gefitinib	Gefitinib		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
PLX-4720	PLX-4720		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BMS-536924	BMS-536924		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
PD173074	PD173074		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Romidepsin	Romidepsin		Antineoplastic Agents	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
