"Cell iname"	"Cell lineage"	"Primary disease"	"Collection"	"Cell type"	"Growth medium"	"Growth pattern"	"Doubling time"	"Provider name"	"Provider catalog ID"	"Donor disease age of onset"	"Donor tumor phase"	"Donor age of death"	"Subtype"	"Donor age"	"Donor ethnicity"	"Metastatic site"	"Comments"	"Cell histology"	"CCLE name"	"Alias"	"Donor sex"	"Cellosaurus ID"	"Cellosaurus Doubling time sd"	"Cellosaurus Doubling time"	"ploidy"
"ABC1"	"lung"	"lung cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"MEM (Invitrogen catalogue #12571-63)"	"adherent"	"72.00"	"HSRRB"	"-666"	-666	"primary"	-666	"non small cell lung cancer"	"-666"	"unknown"	"-666"	NA	"-666"	"ABC1_LUNG"	"ABC1"	"M"	"CVCL_1066"	NA	72	2.387710584
"ACCMESO1"	"lung"	"lung cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164+ 1% FBS"	"adherent"	"36.00"	"RIKEN"	"-666"	-666	"metastatic"	-666	"mesothelioma"	"-666"	"-666"	"pleural_effusion"	NA	"mesothelioma"	"ACCMESO1_PLEURA"	"ACC-Meso-1, MESO-1"	"F"	"CVCL_5113"	NA	NA	NA
"ACCS"	"urinary_tract"	"bladder cancer"	"CCLE"	"-666"	"-666"	"adherent"	"-666.00"	"-666"	"-666"	-666	"-666"	-666	"carcinoma"	"-666"	"-666"	"-666"	NA	"-666"	"ACCS_URINARY_TRACT"	"-666"	"F"	"CVCL_6876"	NA	NA	NA
"ACHN"	"kidney"	"kidney cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"EMEM ATCC catalog # 3-23"	"adherent"	"48.00"	"ATCC"	"CRL-1611"	-666	"metastatic"	-666	"carcinoma"	"22"	"Caucasian"	"-666"	NA	"carcinoma, renal"	"ACHN_KIDNEY"	"-666"	"M"	"CVCL_1067"	3.18198051533946	29.75	2.337792141
"AGS"	"stomach"	"gastric cancer"	"ACHILLES, CCLE, CMAP, PRISM-HURON, PRISM-PR500"	"-666"	"F-12K ATCC catalog # 3-24"	"adherent"	"24.00"	"ATCC"	"CRL-1739"	-666	"primary"	-666	"adenocarcinoma"	"54"	"Caucasian"	"-666"	NA	"carcinoma"	"AGS_STOMACH"	"-666"	"F"	"CVCL_0139"	NA	22	2.094259233
"ALLSIL"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"48.00"	"DSMZ"	"-666"	-666	"recurrent"	-666	"acute lymphoblastic leukemia (all)"	"-666"	"-666"	"-666"	NA	"lymphoid_neoplasm"	"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"ALLSIL, SIL-ALL"	"M"	"CVCL_1805"	11.3137084989848	56	2.04827072
"AML193"	"haematopoietic_and_lymphoid_tissue"	"leukemia"	"CCLE"	"-666"	"IMDM ATCC catalog #3-25"	"suspension"	"50-60"	"ATCC"	"CRL-9589"	-666	"-666"	-666	"acute myelogenous leukemia (aml)"	"-666"	"-666"	"-666"	NA	"-666"	"AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"AML193"	"F"	"CVCL_1071"	7.07106781186548	60	NA
"AMO1"	"haematopoietic_and_lymphoid_tissue"	"lymphoma, myeloma"	"CCLE, PRISM-PR300, PRISM-SUSP"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"suspension"	"50-90"	"DSMZ"	"-666"	-666	"primary"	-666	"plasmacytoma"	"-666"	"unknown"	"-666"	NA	"-666"	"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"AMO-1, AMo1"	"F"	"CVCL_1806"	39.5979797464467	52	3.496529914
"AM38"	"central_nervous_system"	"brain cancer"	"CCLE, PRISM-HURON, PRISM-PR300"	"-666"	"EMEM ATCC catalog # 3-23"	"adherent"	"38.40"	"HSRRB"	"-666"	-666	"primary"	-666	"astrocytoma, glioblastoma"	"-666"	"-666"	"-666"	NA	"glioma"	"AM38_CENTRAL_NERVOUS_SYSTEM"	"AM, AM38"	"M"	"CVCL_1070"	33.2340187157677	48.5	3.235077179
"AN3CA"	"endometrium"	"endometrial cancer"	"CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"MEM (Invitrogen catalogue #12571-63)"	"adherent"	"48.00"	"ATCC"	"HTB-111"	-666	"metastatic"	-666	"adenocarcinoma"	"55"	"Caucasian"	"lymph_node"	NA	"carcinoma"	"AN3CA_ENDOMETRIUM"	"AN-3, AN3, AN3 Ca, AN3 CA, AN3CA"	"F"	"CVCL_0028"	NA	55	2.170906977
"ASPC1"	"pancreas"	"pancreatic cancer"	"ACHILLES, CCLE, PRISM-HURON, PRISM-PR500"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	"108.00"	"ATCC"	"CRL-1682"	-666	"metastatic"	-666	"adenocarcinoma"	"62"	"Caucasian"	"ascites"	NA	"carcinoma"	"ASPC1_PANCREAS"	"As-PC1, Aspc-1, AsPc-1, ASPC-1, Aspc1, AsPc1, AsPC1, ASPC1"	"F"	"CVCL_0152"	4.94974746830583	42.5	2.461243113
"AU565"	"breast"	"breast cancer"	"ACHILLES, CCLE, PRISM-PR300"	"-666"	"RPMI-164 ATCC catalog # 3-21"	"adherent"	">120"	"ATCC"	"CRL-2351"	-666	"metastatic"	-666	"adenocarcinoma"	"43"	"Caucasian"	"pleural_effusion"	NA	"carcinoma"	"AU565_BREAST"	"AU 565, AU-565"	"F"	"CVCL_1074"	NA	NA	3.614169561
