annotation_level,parent_cell_type,candidate_cell_type,plot_panel,marker_gene,marker_rank,marker_role,expected_in_nsg,reference,pmid,doi,marker_rationale,caveat
broad,All,Immune,broad,Ptprc,1,positive,present,"Kanaya et al. Communications Biology 2019",31701034,10.1038/s42003-019-0618-9,"Canonical mouse leukocyte marker used in mammary-gland scRNA-seq","Confirm with additional leukocyte genes; Ptprc-low myeloid states can occur"
broad,All,Immune,broad,Coro1a,2,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Pan-leukocyte cytoskeletal gene in mouse single-cell atlases","Not sufficient alone"
broad,All,Immune,broad,Lsp1,3,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Broad leukocyte-enriched transcript","Also observed in some endothelial contexts"
broad,All,Immune,broad,Tyrobp,4,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Core mouse tumor-myeloid transcript","Biased toward myeloid rather than all immune lineages"
broad,All,Immune,broad,Lyz2,5,positive,present,"Zilionis et al. Immunity 2019",30979687,10.1016/j.immuni.2019.03.009,"Canonical mouse myeloid transcript in tumors","Can be detected in dendritic cells and some epithelial contaminants"
broad,Stromal,Fibroblast,broad,Col1a1,1,positive,present,"Yoshitake et al. Frontiers in Cell and Developmental Biology 2022",35300413,10.3389/fcell.2022.850568,"Mouse mammary fibroblast collagen marker","Activated perivascular cells can express collagen"
broad,Stromal,Fibroblast,broad,Col1a2,2,positive,present,"Kanaya et al. Communications Biology 2019",31701034,10.1038/s42003-019-0618-9,"Fibrillar collagen expressed by mammary fibroblasts","Use with Pdgfra and matrix genes"
broad,Stromal,Fibroblast,broad,Dcn,3,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Canonical fibroblast extracellular-matrix marker","Can occur in other mesenchymal cells"
broad,Stromal,Fibroblast,broad,Lum,4,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Canonical fibroblast extracellular-matrix marker","Can occur in other mesenchymal cells"
broad,Stromal,Fibroblast,broad,Pdgfra,5,positive,present,"Yoshitake et al. Frontiers in Cell and Developmental Biology 2022",35300413,10.3389/fcell.2022.850568,"Mouse mammary fibroblast receptor marker","Distinguish from Pdgfrb-positive mural cells"
