cluster,n_cells,source_broad_cell_type,review_scope,samples_detected,dominant_sample,max_single_sample_fraction,top_10_positive_degs,reviewer_immune_lineage,reviewer_lineage_confidence,reviewer_immune_state,reviewer_state_confidence,lineage_support_markers,state_support_markers,reviewer_notes,review_status
0,17074,Neutrophil,confirmed_immune_broad_type,16,2N-A2-0,0.089024247393698,"Ero1a;Bnip3;P4ha1;Osbpl8;Fnip2;Mreg;Zfp292;Nceh1;Jun;Polr2a",Neutrophil,high,Hypoxic neutrophil,high,"Csf3r;Retnlg;S100a8;S100a9","Bnip3;P4ha1;Hk2;Ndrg1;Hmox1","Hypoxia program is the defining cluster DEG signal; approved at existing-cluster level on 2026-08-29.",manually_approved
1,13790,Neutrophil,confirmed_immune_broad_type,16,2N-A2-L,0.0917331399564902,"Mpp7;Wnk1;Nars2;Tgm2;Klhl6;Gpc3;Cytip;Bcl2l15;Pde4d;Stk17b",Neutrophil,high,CXCR4-high aged-like neutrophil,medium,"Csf3r;Retnlg;S100a8;S100a9","Cxcr4;Gm2a;Itgam;Icam1;Cd44","CXCR4 adhesion/aged-like program is supported but less dominant than the cluster 3 or 4 state programs; approved on 2026-08-29.",manually_approved
2,12230,Neutrophil,confirmed_immune_broad_type,16,2N-A2-L,0.0886345053147997,"Icam1;Tnfaip3;Marcksl1;Nfkb1;Ccrl2;Areg;Il1b;Dusp2;Nfkbia;Il23a",Neutrophil,high,Inflammatory neutrophil,high,"Csf3r;Retnlg;S100a8;S100a9","Il1b;Cxcl1;Cxcl2;Cxcl3;Nlrp3","NF-kappaB/IL1 inflammatory cluster DEG program; approved on 2026-08-29.",manually_approved
3,9135,Neutrophil,confirmed_immune_broad_type,16,2N-A1-R,0.103010399562124,"Rsad2;Ifit1;Isg15;Cxcl10;Herc6;Ifit2;Ifit3;Ifih1;Rnf213;Parp14",Neutrophil,high,IFN-responsive neutrophil,high,"Csf3r;Retnlg;S100a8;S100a9","Ifit1;Isg15;Rsad2;Ifit3;Slfn4","Coherent interferon cluster DEG program; approved on 2026-08-29.",manually_approved
4,7826,Neutrophil,confirmed_immune_broad_type,16,4N-A8-RR,0.101584462049578,"Cxcl3;Ccl3;Thbs1;Cstdc4;Cxcl2;Cxcl1;Ccl4;Hilpda;Ereg;Upp1",Neutrophil,high,Inflammatory neutrophil,high,"Csf3r;Retnlg;S100a8;S100a9","Il1b;Cxcl1;Cxcl2;Cxcl3;Nlrp3","Chemokine-rich inflammatory program with all five review markers represented among positive cluster DEGs; approved on 2026-08-29.",manually_approved
5,7557,Neutrophil,confirmed_immune_broad_type,16,A6-4N-O,0.0958052137091438,"Spp1;Cxcl3;Thbs1;Cstdc4;Ccl3;Alcam;Ccl4;Hilpda;Igf1r;Csta3",Neutrophil,high,Spp1-high inflammatory neutrophil,medium,"Csf3r;Retnlg;S100a8;S100a9","Spp1;Vegfa;Cxcl3;Ccl3;Thbs1","Retained as a neutrophil state rather than an Spp1 macrophage because neutrophil lineage core is present and macrophage lineage core is not; approved on 2026-08-29.",manually_approved
6,7139,Neutrophil,confirmed_immune_broad_type,16,A5-4N-R,0.0867068216837092,"Saa1;Saa3;Hp;Chil1;Mt1;Tnfaip2;Chil3;Lrg1;Adgre5;Marcksl1",Neutrophil,high,Saa/Chil-high inflammatory-like neutrophil,medium,"Csf3r;Retnlg;S100a8;S100a9","Saa3;Chil3;Cd14;Il1b","Dataset-specific Saa/Chil inflammatory program; not forced into the classic Ngp/Ltf/Camp immature category; approved on 2026-08-29.",manually_approved
7,6967,Neutrophil,confirmed_immune_broad_type,16,4N-A5-RR,0.110090426295393,"Retnlg;Wfdc17;S100a8;Wfdc21;S100a9;Mmp8;Ccl6;Ifitm1;Pglyrp1;Alox5ap",Neutrophil,high,Granule-high neutrophil,high,"Csf3r;Retnlg;S100a8;S100a9","Mmp8;Mmp9;Retnlg;Wfdc17;Wfdc21","Coherent granule-high program; approved on 2026-08-29.",manually_approved
8,6238,Macrophage,confirmed_immune_broad_type,16,4N-A5-0,0.1131773004168,"C1qa;Apoe;C1qb;C1qc;Ms4a7;Lyz2;Lgmn;Mafb;Ctss;Cd74",Macrophage,high,C1q-TREM2 macrophage,high,"Adgre1;Csf1r;Mertk;Mafb;Ms4a7","C1qa;C1qb;C1qc;Trem2;Apoe","Complement/lipid-associated macrophage program is dominant; Mrc1-Folr2 overlap is retained in notes rather than used as a second label; approved on 2026-08-29.",manually_approved
9,5709,Neutrophil,confirmed_immune_broad_type,16,2N-A1-R,0.0882816605359958,"Stfa2;Cstdc5;Cstdc4;Stfa2l1;Stfa3;Cstdc6;Csta3;Retnlg;S100a8;Wfdc17",Neutrophil,high,Granule-high neutrophil,high,"Csf3r;Retnlg;S100a8;S100a9","Mmp8;Mmp9;Retnlg;Wfdc17;Wfdc21","Granule/protease-inhibitor-rich neutrophil program; approved on 2026-08-29.",manually_approved
