"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	11	839	1008.5	226	"Alive"
"2"	12	864	994.5	218	"Alive"
"3"	13	854.5	982	250	"Alive"
"4"	14	858	970	230	"Alive"
"5"	15	868.5	976	241	"Alive"
"6"	16	877	948	237	"Alive"
"7"	17	887	927.5	262	"Alive"
"8"	18	897	949.5	176	"Alive"
"9"	19	882	937	268	"Alive"
"10"	20	869	933.5	244	"Alive"
"11"	21	858	925.5	257	"Alive"
"12"	22	854.5	915.5	394	"Alive"
"13"	23	845.5	909.5	322	"Alive"
"14"	24	839	911	294	"Alive"
"15"	25	829.5	909.5	337	"Alive"
