"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	11	574.5	112.5	223	"Alive"
"2"	12	557	126	293	"Alive"
"3"	13	537.5	134.5	317	"Alive"
"4"	14	532	133.5	348	"Alive"
"5"	15	529.5	120.5	340	"Alive"
"6"	16	540	115.5	346	"Alive"
"7"	17	562	113	343	"Alive"
"8"	18	565	101.5	334	"Alive"
"9"	19	556.5	82	294	"Alive"
"10"	20	546.5	66.5	268	"Alive"
"11"	21	546.5	93.5	105	"Alive"
"12"	22	559.5	87.5	114	"Alive"
"13"	23	565	91	156	"Alive"
"14"	24	575	72	160	"Alive"
"15"	25	583.5	89	180	"Dead"
"16"	26	580.5	68	161	"Alive"
"17"	27	588.5	58.5	114	"Alive"
"18"	28	593.5	55	221	"Alive"
"19"	29	584.5	44.5	180	"Transitional"
"20"	30	591.5	51.5	223	"Transitional"
"21"	31	583	31	56	"Dead"
