"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	14	897	1053	100	"Alive"
"2"	15	886	1038	120	"Dead"
"3"	16	880.5	1029	178	"Dead"
"4"	17	912.5	1037	130	"Alive"
"5"	18	910.5	1035	175	"Alive"
"6"	19	905.5	1038.5	110	"Alive"
"7"	20	905	1035.5	112	"Alive"
"8"	21	879	1043.5	89	"Alive"
"9"	22	872	1042	138	"Alive"
"10"	23	874	1042	157	"Alive"
"11"	24	870.5	1041	83	"Alive"
"12"	25	865.5	1038.5	141	"Alive"
"13"	26	868.5	1043	142	"Alive"
"14"	27	864	1041	112	"Alive"
"15"	28	883	1035	176	"Alive"
"16"	29	881	1032	204	"Alive"
"17"	30	871	1039.5	77	"Alive"
"18"	31	851.5	1050	145	"Alive"
"19"	32	852	1050	206	"Alive"
"20"	33	854.5	1039.5	62	"Alive"
"21"	34	836.5	1036.5	106	"Alive"
"22"	35	837	1037.5	204	"Alive"
"23"	36	834.5	1037.5	105	"Alive"
"24"	37	831	1037	198	"Alive"
"25"	38	829.5	1037.5	185	"Alive"
