"t"	"x"	"y"	"Size_in_pixels_0"	"Classifier.Phenotype"
"1"	18	444	315	124	"Alive"
"2"	19	443	317	116	"Alive"
"3"	20	446	306	145	"Alive"
"4"	21	428	295	112	"Alive"
"5"	22	431.5	291	119	"Alive"
"6"	23	433.5	294.5	96	"Alive"
"7"	24	436.5	295	109	"Alive"
"8"	25	454	301.5	87	"Alive"
"9"	26	455.5	288.5	101	"Alive"
"10"	27	460	292	177	"Alive"
"11"	28	458	289.5	85	"Alive"
"12"	29	451	273	150	"Dead"
"13"	30	450	270	195	"Alive"
"14"	31	445	273.5	96	"Alive"
"15"	32	443	278.5	89	"Alive"
"16"	33	442	271.5	305	"Dead"
"17"	34	441	273.5	95	"Alive"
"18"	35	446.5	269.5	175	"Alive"
"19"	36	452.5	266	101	"Alive"
"20"	37	452	269	111	"Alive"
"21"	38	455.5	270	113	"Alive"
"22"	39	461	267	182	"Alive"
