dataset_id	figures	path	role	availability	manager_module
gdsc_response	1B-C;2	Data/public_data/gdsc/raw/GDSC2_fitted_dose_response_24Jul22.txt	public_response_table	git	gdsc
gdsc_ploidy	1B-C;2	Data/public_data/gdsc/raw/ploidyAcrossCellLines_V1.txt	public_ploidy_table	git	gdsc
gdsc_classes	1B-C	Data/public_data/gdsc/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	curated_drug_classes	git	gdsc
ccle_inputs	2B	Data/public_data/ccle	public_and_curated_inputs	git	ccle
drug_response	3D-F;3H	Data/in-vitro/drug_response	measurements_and_frozen_ploidy_export	git	drug_response
imaging_well_counts	4;5;SI_fit_panels	Data/GemDelayKillTerm/processed/counts_by_well_time_wellAggregated.parquet	model_input_counts	git	pkpd
imaging_field_counts	4;5	Data/GemDelayKillTerm/processed/counts_by_well_time.parquet	preaggregation_counts	git	pkpd
imaging_platemap	4;5	Data/in-vitro/pkpd_live_dead_model/raw/Gemcitabine_PlateMap_20240111.xlsx	experimental_design	git	pkpd
pk_assay	4;5	Data/in-vitro/pkpd_live_dead_model/raw/drugKinetics/GemcitabineExposure_PKPD.xlsx	assay_measurements	git	pkpd
saved_model_fit	5;SI_fit_panels	Data/in-vitro/pkpd_live_dead_model/invitro_fitting_outputs/alsoGoodFit_20260514T093906	frozen_fit_summary	git	pkpd
metabolomics	6	Data/in-vitro/metabolomics/raw/Metabolomics_2N_4N_Full.xlsm	feature_abundance_workbook	git	metabolomics
tumor_growth	7;SI8	Data/in-vivo/dt_Gem_VT_20241223_v4.xlsx	growth_measurements	git	in_vivo_figure7
tumor_metadata	7;SI4-8	Data/in-vivo/sample_info.xlsx	sample_design	git	in_vivo_figure7
cell_ploidy	7;SI4-8	Data/in-vivo/all_ploidy.tsv	cell_ploidy_input	git	in_vivo_figure7
cell_tables	7;SI4-8	Data/in-vivo/figure7/processed	frozen_cell_tables_and_panel_7I_pathway_results	git	in_vivo_figure7
state_pathway_reference	7	Data/in-vivo/figure7/saved_state_pathway/state_pathway_grch_human_only_initial_ploidy_day17_pointwise_v4	frozen_reviewed_reference	git	in_vivo_figure7
tgi_sensitivity	SI8	Data/in-vivo/figure7/saved_tgi_sensitivity	frozen_sensitivity_reference	git	in_vivo_figure7
si_plot_tables	7;SI4-7	Data/in-vivo/SIfigures	frozen_plot_tables	git	si_figures
numbat_cbs	7J;7L;SI6;SI8	Data/in-vivo/scRNAseq_Numbat	copy_number_and_injected_reference	git	in_vivo_figure7
endpoint_flow	SI9	Data/in-vivo/flow_cytometry/endpoint_tumors_20250128	fcs_workspace_and_metadata	git	in_vivo_endpoint_flow
scrna_download_manifest	7;SI4-7;SI10	Code/in-vivo/figure7/zenodo_required_files.tsv	zenodo_21463392_pinned_downloads	git	in_vivo_figure7
scrna_download_cache	7;SI4-7;SI10	Results/in-vivo/figure7/raw/zenodo_21463392	large_download_cache	optional_local	in_vivo_figure7
velocity_frozen_table	SI10	Data/in-vivo/figure7/processed/cellcycle_velocity_pseudotime_umap.tsv	reviewed_velocity_bundle_currently_missing	optional_local	in_vivo_velocity_pseudotime
velocity_frozen_provenance	SI10	Data/in-vivo/figure7/processed/cellcycle_velocity_pseudotime_umap.provenance.tsv	reviewed_velocity_bundle_currently_missing	optional_local	in_vivo_velocity_pseudotime
imaging_original_exports	4;5	Data/GemDelayKillTerm/raw/object_tables	large_imaging_exports_no_configured_deposit	optional_local	legacy_preprocessing
imaging_tracking_archive	imaging_provenance	Data/in-vitro/Archive	large_tracking_archive_no_configured_deposit	optional_local	legacy_preprocessing
