fig3h_group	ploidy_class	dose_response_label	cloneid_origin	analysis_cloneid_origin	target_genome_perspective_alias	analysis_genome_perspective_alias	target_passaging_id	target_cellLine	target_event	target_passage	target_date	analysis_event	analysis_passage	analysis_date	origin_resolution_status	origin_resolution_distance_edges	origin_resolution_mrca	origin_resolution_target_depth	origin_resolution_candidate_depth	origin_resolution_candidate_count	mapping_status	mean_population_ploidy	median_population_ploidy	q90_population_ploidy	q10_population_ploidy	q75_population_ploidy	max_population_ploidy	min_population_ploidy	unweighted_mean_clone_ploidy	n_perspective_records	n_leaf_clones	leaf_size_sum	sampleSource	rootID	ploidy_status	notes
HGC	Low	HGC-27_MRCA_harvest	HGC-27_MRCA_harvest	HGC-27_MRCA_harvest	HGC27-C-A0	HGC27-C-A0	HGC-27_MRCA_harvest	HGC-27	harvest	12	2025-10-28 13:17:09	harvest	12	2025-10-28 13:17:09	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	0	0	1	exact	3.14258718660847	3.130822360151	3.30592453751932	2.94611806593414	3.25987300238504	3.35183243007983	2.85678118658185	3.14257949996658	14	13	0.6500401	HGC-27	484743	ok	Exact CLONEID GenomePerspective origin found. Used exact mapped CLONEID GenomePerspective origin.
HGC	High	HGC-27_G1_A10_harvesT3		HGC-27_G1_A9_harvesT155	NA	HGC27-G1-A9	HGC-27_G1_A10_harvesT3	HGC-27	harvest	23	2024-04-29 18:18:51	harvest	22	2024-04-16 21:28:19	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	2	0	16	unresolved	3.24002981121058	3.33912142528887	3.53697061407773	2.79759424218525	3.46769422736355	3.65403622143074	2.74152758510204	3.24003672111022	21	20	0.999999	HGC-27	483988	ok	No exact CLONEID GenomePerspective origin found for this dose-response label. Candidate related origins include HGC-27_G1_A9_harvesT155 and HGC-27_G1_A9-F_seed, but these are not the same real ID. No exact GenomePerspective origin for requested ID; using closest same-cell-line GenomePerspective origin HGC-27_G1_A9_harvesT155 by passaged_from_id1 pedigree distance (2 edge(s), MRCA HGC-27_G1_A9_harvesT155), matching the lineage edge used by cloneid::getPedigreeTree()/pedigree_dist(). Candidate event=harvest, passage=22, date=2024-04-16 21:28:19.
MDA	Low	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_O1_A23-K_harvest	MDAMB231-O1-A23	MDAMB231-O1-A23	MDA-MB-231_O1_A23-K_harvest	MDAMB231	harvest	34	2025-10-28 13:34:23	harvest	34	2025-10-28 13:34:23	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	0	0	1	exact	4.2564460599923	4.29143274528103	4.43978131141376	4.0900237658932	4.3964699387803	4.60757698230523	3.43096316050803	4.25644663349479	21	20	1.0000439	MDAMB231	483757	ok	Exact CLONEID GenomePerspective origin found. Used exact mapped CLONEID GenomePerspective origin.
MDA	High	MDA-MB-231_G2_A3_harvesT8		MDA-MB-231_G2_A4_seed	NA	MDAMB231-G2-A4	MDA-MB-231_G2_A3_harvesT8	MDAMB231	harvest	13	2025-04-09 15:36:17	seeding	14	2025-04-11 21:19:10	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A3_harvesT8	0	1	7	unresolved	4.46978632843667	4.50289517773805	4.7965362953181	4.1336745783739	4.64270170251053	4.8231775261434	4.02963973580451	4.46977957469347	21	20	1.0000285	MDAMB231	484167	ok	No exact CLONEID GenomePerspective origin found for this dose-response label. Candidate related origin MDA-MB-231_G2_A4_seed is not the same real ID. No exact GenomePerspective origin for requested ID; using closest same-cell-line GenomePerspective origin MDA-MB-231_G2_A4_seed by passaged_from_id1 pedigree distance (1 edge(s), MRCA MDA-MB-231_G2_A3_harvesT8), matching the lineage edge used by cloneid::getPedigreeTree()/pedigree_dist(). Candidate event=seeding, passage=14, date=2025-04-11 21:19:10.
SNU	Low	SNU-668_P1_A19kT_harvest		SNU-668_P1_A18K_seed	NA	SNU668-P1-A18	SNU-668_P1_A19kT_harvest	SNU-668	harvest	34	2025-03-27 19:09:22	seeding	34	2025-01-07 15:24:29	nearest_pedigree_genome_perspective	3	SNU-668_P1_A17k_harvest	2	1	23	unresolved	2.6439661686584	2.63702306715585	2.73771499250356	2.50609319803332	2.67269271450368	3.46076257435524	2.41313766882995	2.64394449348261	21	20	0.9999771	SNU-668	483862	ok	No exact CLONEID GenomePerspective origin found for this dose-response label. No exact GenomePerspective origin for requested ID; using closest same-cell-line GenomePerspective origin SNU-668_P1_A18K_seed by passaged_from_id1 pedigree distance (3 edge(s), MRCA SNU-668_P1_A17k_harvest), matching the lineage edge used by cloneid::getPedigreeTree()/pedigree_dist(). Candidate event=seeding, passage=34, date=2025-01-07 15:24:29.
SNU	High	SNU-668_r2_GFP_VT_A7_harvesT3		SNU-668_r2_A55_seedT1	NA	SNU668-r2-A55	SNU-668_r2_GFP_VT_A7_harvesT3	SNU-668	harvest	83	2026-01-15 14:38:14	harvest	71	2024-04-05 16:05:07	nearest_pedigree_genome_perspective	24	SNU-668_r2_A55_seedT1	24	0	23	unresolved	2.92137790322248	2.59262476255055	4.97514390527785	2.48275924398514	2.65374098879052	5.09050049325221	2.42301142675315	2.92137294821652	22	21	0.9999393	SNU-668	483663	ok	No exact CLONEID GenomePerspective origin found for this dose-response label. No exact GenomePerspective origin for requested ID; using closest same-cell-line GenomePerspective origin SNU-668_r2_A55_seedT1 by passaged_from_id1 pedigree distance (24 edge(s), MRCA SNU-668_r2_A55_seedT1), matching the lineage edge used by cloneid::getPedigreeTree()/pedigree_dist(). Candidate event=harvest, passage=71, date=2024-04-05 16:05:07.
SUM	Low	SUM159_NLS_2N_O1_A7K_harvest	SUM159_NLS_2N_O1_A7K_harvest	SUM159_NLS_2N_O1_A7K_harvest	N2SUM159-O1-A7K	N2SUM159-O1-A7K	SUM159_NLS_2N_O1_A7K_harvest	SUM-159	harvest	16	2025-03-05 15:26:45	harvest	16	2025-03-05 15:26:45	exact_mapped_genome_perspective	0	SUM159_NLS_2N_O1_A7K_harvest	0	0	1	exact	2.15918128360122	2.14000554096575	2.28162016600755	2.10475606490833	2.16579138037905	2.33228089514092	2.09900013754716	2.15918320886789	20	19	1.0000222	SUM-159	484397	ok	Exact CLONEID GenomePerspective origin found. Used exact mapped CLONEID GenomePerspective origin.
SUM	High	SUM-159_NLS_2N_O2_A24_seedT2		SUM-159_NLS_2N_O2_A19_seed	NA	N2SUM159-O2-A19	SUM-159_NLS_2N_O2_A24_seedT2	SUM-159	harvest	29	2025-10-06 12:36:12	seeding	24	2025-08-22 12:34:03	nearest_pedigree_genome_perspective	11	SUM-159_NLS_2N_O2_A19_seed	11	0	12	unresolved	3.88616087506525	4.2111026941188	4.31542900512825	2.5855265534481	4.26090110814365	4.36058359684821	2.19104435329445	3.88613799585119	21	20	0.9999928	SUM-159	483820	ok	No exact CLONEID GenomePerspective origin found for this dose-response label. Candidate related origins include SUM159_NLS_2N_O2_A7K_harvest and SUM-159_NLS_2N_O2_A19_seed, but these are not the same real ID. No exact GenomePerspective origin for requested ID; using closest same-cell-line GenomePerspective origin SUM-159_NLS_2N_O2_A19_seed by passaged_from_id1 pedigree distance (11 edge(s), MRCA SUM-159_NLS_2N_O2_A19_seed), matching the lineage edge used by cloneid::getPedigreeTree()/pedigree_dist(). Candidate event=seeding, passage=24, date=2025-08-22 12:34:03.
SUMOld	Low	SUM-159_2N			NA	NA	SUM-159_2N	NA	NA	NA	NA	NA	NA	NA	target_not_in_passaging	NA	NA	NA	NA	0	unresolved	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	target_not_in_passaging	Legacy dose-response label; real CLONEID origin still needs curation. Dose-response label is not a Passaging.id, so no pedigree-nearest GenomePerspective origin could be selected.
SUMOld	High	SUM-159_4N			NA	NA	SUM-159_4N	NA	NA	NA	NA	NA	NA	NA	target_not_in_passaging	NA	NA	NA	NA	0	unresolved	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	target_not_in_passaging	Legacy dose-response label; real CLONEID origin still needs curation. Dose-response label is not a Passaging.id, so no pedigree-nearest GenomePerspective origin could be selected.
