fig3h_group	ploidy_class	dose_response_label	analysis_cloneid_origin	origin_resolution_status	origin_resolution_distance_edges	origin	cloneID	profile_label	profile_size	db_size	weight_used	autosomal_ploidy	marker_chromosome_count	marker_chromosome_ploidy	clone_ploidy	state	alias	parent	sampleSource	rootID
HGC	Low	HGC-27_MRCA_harvest	HGC-27_MRCA_harvest	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	484733	SP_0.0500048_ID484733	0.0500048	0.0500048	0.0500048	2.61947202230276	12	0.64714027389949	3.26661229620226	1	HGC27-C-A0	484743	HGC-27	484743
HGC	Low	HGC-27_MRCA_harvest	HGC-27_MRCA_harvest	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	484734	SP_0.0500071_ID484734	0.0500071	0.0500071	0.0500071	2.37154947573903	10	0.485231710842823	2.85678118658185	8	HGC27-C-A0	484743	HGC-27	484743
HGC	Low	HGC-27_MRCA_harvest	HGC-27_MRCA_harvest	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	484739	SP_0.0500007_ID484739	0.0500007	0.0500007	0.0500007	2.39507176558182	13	0.701672715105952	3.09674448068777	20	HGC27-C-A0	484743	HGC-27	484743
HGC	Low	HGC-27_MRCA_harvest	HGC-27_MRCA_harvest	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	484732	SP_0.0500058_ID484732	0.0500058	0.0500058	0.0500058	2.52714160450002	11	0.585522188237589	3.11266379273761	9	HGC27-C-A0	484743	HGC-27	484743
HGC	Low	HGC-27_MRCA_harvest	HGC-27_MRCA_harvest	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	484736	SP_0.0499803_ID484736	0.0499803	0.0499803	0.0499803	2.1988638846292	12	0.838793329935128	3.03765721456433	13	HGC27-C-A0	484743	HGC-27	484743
HGC	Low	HGC-27_MRCA_harvest	HGC-27_MRCA_harvest	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	484742	SP_0.0500102_ID484742	0.0500102	0.0500102	0.0500102	2.1731113814004	13	0.9577109787506	3.130822360151	19	HGC27-C-A0	484743	HGC-27	484743
HGC	Low	HGC-27_MRCA_harvest	HGC-27_MRCA_harvest	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	484735	SP_0.0500064_ID484735	0.0500064	0.0500064	0.0500064	2.56872755270208	13	0.737196984817247	3.30592453751932	4	HGC27-C-A0	484743	HGC-27	484743
HGC	Low	HGC-27_MRCA_harvest	HGC-27_MRCA_harvest	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	484737	SP_0.050007_ID484737	0.050007	0.050007	0.050007	2.45074701056404	15	0.901085419515786	3.35183243007983	17	HGC27-C-A0	484743	HGC-27	484743
HGC	Low	HGC-27_MRCA_harvest	HGC-27_MRCA_harvest	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	484738	SP_0.0500006_ID484738	0.0500006	0.0500006	0.0500006	2.21940238700873	11	0.726715678925411	2.94611806593414	2	HGC27-C-A0	484743	HGC-27	484743
HGC	Low	HGC-27_MRCA_harvest	HGC-27_MRCA_harvest	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	484731	SP_0.0500034_ID484731	0.0500034	0.0500034	0.0500034	2.67435081414745	11	0.585522188237589	3.25987300238504	3	HGC27-C-A0	484743	HGC-27	484743
