filename	bytes	sha256	source_revision	notes
si_figure4_cluster_context_composition.csv	1822	706c366fd57b92495afedcc5a491e88eb7acb76ce1c9db5b8e5c0436c99f7ca0	TaoLi_Figure_Whole@07d193fc5b1aaeabd31cc58d1c88d1816f6ff30f	frozen plot-facing table
si_figure4_cluster_initial_ploidy_composition.csv	1890	8d25f7f21a9f3d2471b2e3bb82608e5eb7aa1646b955b84beaeaf4707433fbb7	TaoLi_Figure_Whole@07d193fc5b1aaeabd31cc58d1c88d1816f6ff30f	frozen plot-facing table
si_figure5_cluster_composition_by_mouse.csv	21446	40043d3582474eb49ae3e035f33e1386b053c77f110521c6d978817f87244b57	TaoLi_Figure_Whole@07d193fc5b1aaeabd31cc58d1c88d1816f6ff30f	frozen plot-facing table
si_figure5_cluster_dose_composition.csv	2556	9556d22a98c1905b6689c4bab6c2438810159edebca3e9a25209725355cf058f	TaoLi_Figure_Whole@07d193fc5b1aaeabd31cc58d1c88d1816f6ff30f	frozen plot-facing table
si_figure5_cluster_initial_ploidy_composition.csv	1857	de96cefbbaa97e799e3fae0712dd40b2d3486324cc7e20b698ced7a9f40daaa1	TaoLi_Figure_Whole@07d193fc5b1aaeabd31cc58d1c88d1816f6ff30f	frozen plot-facing table
si_figure5_mouse_weighted_composition_by_initial_ploidy_dose.csv	6797	1bf1b5f6ce1f3ef30757dd87be0bec1b45eb5df635e5eefbb7a0dc70c45d58f2	TaoLi_Figure_Whole@07d193fc5b1aaeabd31cc58d1c88d1816f6ff30f	frozen plot-facing table
si_figure6_endpoint_ploidy_join_audit.csv	3584704	8b5a32853e095a86798fa029ea2dd121129e8eff67d6f637e6023a1ea64b78f5	TaoLi_Figure_Whole@07d193fc5b1aaeabd31cc58d1c88d1816f6ff30f	frozen plot-facing table
si_figure7_cluster_Hallmark_GSEA_NES_heatmap_top20_matrix.tsv	2810	55e5a7ff2cc02fe2433b05b284b0c7600c5775e82ef1ba89539b538b40bdcd04	raw-generated-human-only@47eecab971eadcdea508fbe6375bc0255729da99;reviewed=2026-07-30	reviewed exact output from grch_human_only_v2_20260729_raw_refit_retry3; exact GRCh38 counts retained before fresh normalization, DE, and GSEA; GRCm39 excluded; MSigDB 2026.1.Hs
si_figure7_cluster_Hallmark_ORA_annotation_score_heatmap_top20_matrix.tsv	1428	82497382c184928606df15ba9f6c2ffb40ade8cc91506df3fa7ad60d26f0ecb5	raw-generated-human-only@47eecab971eadcdea508fbe6375bc0255729da99;reviewed=2026-07-30	reviewed exact output from grch_human_only_v2_20260729_raw_refit_retry3; exact GRCh38 counts retained before fresh normalization, DE, and ORA; GRCm39 excluded; MSigDB 2026.1.Hs
si_figures_cell_metadata.csv	8950555	0db9d6a2b5e465451992faf31befb42b1369ebc53afec4c33268f62b920c5315	TaoLi_Figure_Whole@07d193fc5b1aaeabd31cc58d1c88d1816f6ff30f	frozen plot-facing table
si_figures_cluster_key.tsv	627	c6314716506e63d899c781283d1b006f70f3b5a7d020b19a78a5319f98b0e611	TaoLi_Figure_Whole@07d193fc5b1aaeabd31cc58d1c88d1816f6ff30f	frozen plot-facing table
