"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","gene_symbol","cluster","gene_key","lfc_value","p_val_adj_num","delta_pct","abs_logfc","abs_delta_pct"
3.58167223350154e-216,3.25617488361207,0.815,0.403,2.58962065826629e-211,"GRCh38-ADM","ADM",13,"ADM",3.25617488361207,2.58962065826629e-211,0.412,3.25617488361207,0.412
2.00070085880959e-156,3.19629157506697,0.72,0.313,1.44654673493651e-151,"GRCh38-CXCL8","CXCL8",13,"CXCL8",3.19629157506697,1.44654673493651e-151,0.407,3.19629157506697,0.407
1.23520132056671e-271,3.18212260510737,0.766,0.278,8.93075258796143e-267,"GRCh38-NDRG1","NDRG1",13,"NDRG1",3.18212260510737,8.93075258796143e-267,0.488,3.18212260510737,0.488
9.05003081157631e-107,3.14979752571592,0.378,0.118,6.5433532773859e-102,"GRCh38-MMP1","MMP1",13,"MMP1",3.14979752571592,6.5433532773859e-102,0.26,3.14979752571592,0.26
2.26860204571946e-177,2.85910725480417,0.81,0.487,1.64024465109608e-172,"GRCh38-SLC2A1","SLC2A1",13,"SLC2A1",2.85910725480417,1.64024465109608e-172,0.323,2.85910725480417,0.323
3.33734762252162e-208,2.80264613458197,0.984,0.867,2.41296907803558e-203,"GRCh38-VEGFA","VEGFA",13,"VEGFA",2.80264613458197,2.41296907803558e-203,0.117,2.80264613458197,0.117
1.60926059107178e-216,2.79952678258793,0.766,0.342,1.16352759255672e-211,"GRCh38-NRN1","NRN1",13,"NRN1",2.79952678258793,1.16352759255672e-211,0.424,2.79952678258793,0.424
1.71655619564677e-188,2.73664083321517,0.875,0.543,1.24110446057653e-183,"GRCh38-STC1","STC1",13,"STC1",2.73664083321517,1.24110446057653e-183,0.332,2.73664083321517,0.332
1.72351582533402e-168,2.65195812750247,0.766,0.417,1.246136412033e-163,"GRCh38-HILPDA","HILPDA",13,"HILPDA",2.65195812750247,1.246136412033e-163,0.349,2.65195812750247,0.349
2.40701477382826e-195,2.60651645967344,0.513,0.137,1.74031982177331e-190,"GRCh38-PTGS2","PTGS2",13,"PTGS2",2.60651645967344,1.74031982177331e-190,0.376,2.60651645967344,0.376
2.15562366658723e-210,2.6035757154662,0.594,0.183,1.5585590234159e-205,"GRCh38-MME","MME",13,"MME",2.6035757154662,1.5585590234159e-205,0.411,2.6035757154662,0.411
1.13884201085294e-185,2.56825806479402,0.949,0.796,8.23405550686893e-181,"GRCh38-GRB10","GRB10",13,"GRB10",2.56825806479402,8.23405550686893e-181,0.153,2.56825806479402,0.153
2.52276136882346e-188,2.49960471492141,0.774,0.382,1.82400692488673e-183,"GRCh38-HK2","HK2",13,"HK2",2.49960471492141,1.82400692488673e-183,0.392,2.49960471492141,0.392
1.61789908192609e-182,2.49476004011552,0.891,0.649,1.1697733942142e-177,"GRCh38-ERO1A","ERO1A",13,"ERO1A",2.49476004011552,1.1697733942142e-177,0.242,2.49476004011552,0.242
1.21319213479851e-119,2.44483812746531,0.386,0.11,8.77162177302018e-115,"GRCh38-CCL20","CCL20",13,"CCL20",2.44483812746531,8.77162177302018e-115,0.276,2.44483812746531,0.276
