"pathway","hallmark_label","set_size","query_size","overlap","p_value","overlap_genes","p_adj","expression_score_raw","detection_score_raw","overlap_score_raw","expression_score_scaled","detection_score_scaled","overlap_score_scaled","annotation_score","annotation_rank","cluster"
"HALLMARK_FATTY_ACID_METABOLISM","Fatty Acid Metabolism",122,100,4,0.0136467319924065,"CD36;FMO1;HPGD;TDO2",0.0334225958633792,0.455723745332544,0.46275,0.0363934426229508,1,0,1,0.666666666666667,1,"0"
"HALLMARK_UV_RESPONSE_DN","Uv Response Dn",130,100,4,0.0168650422544255,"CDON;DBP;PDGFRB;PLPP3",0.0334225958633792,0.410469927825644,0.7085,0.0353846153846154,0,1,0.360946745562134,0.453648915187378,2,"0"
"HALLMARK_APOPTOSIS","Apoptosis",129,100,4,0.0164390576420766,"BMF;HMOX1;MMP2;PDGFRB",0.0334225958633792,0.415832933691929,0.6185,0.0355038759689923,0.118509468631399,0.633774160732452,0.436493738819323,0.396259122727725,3,"0"
"HALLMARK_XENOBIOTIC_METABOLISM","Xenobiotic Metabolism",135,100,4,0.0190986262076452,"CD36;FMO1;HMOX1;TDO2",0.0334225958633792,0.431749278522619,0.549,0.0348148148148148,0.470222223655064,0.350966429298067,0,0.273729550984377,4,"0"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Epithelial Mesenchymal Transition",170,100,12,5.36573968224063e-09,"DKK1;GADD45A;INHBA;LAMC2;MYL9;NT5E;PVR;TAGLN;TIMP3;TNC;TNFRSF12A;VEGFC",9.65833142803313e-08,0.897071915403928,0.649,0.0952941176470588,0.487786342010258,0.482899184728574,1,0.656895175579611,1,"2"
"HALLMARK_APOPTOSIS","Apoptosis",129,100,7,5.34200053773435e-05,"FEZ1;GADD45A;IL18;NEDD9;TGFB2;TIMP3;TNFRSF12A",0.000408189373708477,0.912228151600622,0.847857142857143,0.0621317829457364,0.544392962805017,0.898091071783655,0.459075538909626,0.633853191166099,2,"2"
"HALLMARK_COAGULATION","Coagulation",79,100,3,0.0218560495691821,"CSRP1;F3;TIMP3",0.0327840743537731,0.972074339909356,0.896666666666667,0.0339873417721519,0.767910889263778,1,0,0.589303629754593,3,"2"
"HALLMARK_P53_PATHWAY","P53 Pathway",172,100,7,0.000320614482352749,"CDH13;GADD45A;ITGB4;KRT17;SFN;SLC3A2;TRIB3",0.00126606303505476,0.887862736698189,0.781428571428571,0.0553488372093023,0.453391227018541,0.759395506064824,0.348436125245558,0.520407619442974,4,"2"
"HALLMARK_KRAS_SIGNALING_DN","Kras Signaling Dn",64,100,4,0.0013752905069393,"EDN1;KRT5;TENM2;TGFB2",0.00309440364061342,1.03421543456598,0.4655,0.05125,1,0.0997713263074171,0.281578308131414,0.460449878146277,5,"2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","Tnfa Signaling via Nfkb",180,100,7,0.000422021011684921,"EDN1;F3;GADD45A;IL18;INHBA;PDLIM5;TNC",0.00126606303505476,0.875130531093089,0.683142857142857,0.0544444444444444,0.405838053182015,0.554185722807715,0.333684203423682,0.431235993137804,6,"2"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","Unfolded Protein Response",106,100,5,0.0012325362564206,"CEBPG;EIF4EBP1;IARS1;PSAT1;STC2",0.00309440364061342,0.766468729606387,0.8122,0.0485849056603774,0,0.823642871346192,0.238106859803082,0.353916577049758,7,"2"
