panel_id	more_positive_origin	collection	collection_label	pathway	pathway_label	NES	padj	selected_direction	selected_rank_within_direction	selection_scope
negative_interaction	2N	C5:GO:BP	go_bp	GOBP_HOMOPHILIC_CELL_CELL_ADHESION	Homophilic Cell Cell Adhesion	-2.407673041068023	3.182960250274233e-8	negative	1	Top negative formal treatment-by-origin interaction NES across collections
negative_interaction	2N	H	hallmark	HALLMARK_INTERFERON_ALPHA_RESPONSE	Interferon Alpha Response	-2.2173147181822617	3.559118146818588e-7	negative	2	Top negative formal treatment-by-origin interaction NES across collections
negative_interaction	2N	C5:GO:BP	go_bp	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	Antigen Processing and Presentation of Peptide Antigen via Mhc Class i	-2.182523350362855	5.712347885398365e-4	negative	3	Top negative formal treatment-by-origin interaction NES across collections
negative_interaction	2N	C5:GO:BP	go_bp	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	Antigen Processing and Presentation of Endogenous Peptide Antigen	-2.1522883005514384	0.00111018734738609	negative	4	Top negative formal treatment-by-origin interaction NES across collections
negative_interaction	2N	C2:CP:REACTOME	reactome	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Interferon Alpha Beta Signaling	-2.1115399393877654	1.0702480123614756e-4	negative	5	Top negative formal treatment-by-origin interaction NES across collections
negative_interaction	2N	C5:GO:BP	go_bp	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	Antigen Processing and Presentation of Endogenous Antigen	-2.0670932999403844	0.00602208471453146	negative	6	Top negative formal treatment-by-origin interaction NES across collections
negative_interaction	2N	C5:GO:BP	go_bp	GOBP_EMBRYONIC_PLACENTA_MORPHOGENESIS	Embryonic Placenta Morphogenesis	-2.055375977472825	0.00412617163500645	negative	7	Top negative formal treatment-by-origin interaction NES across collections
negative_interaction	2N	C5:GO:BP	go_bp	GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	Regulation of Natural Killer Cell Mediated Immunity	-2.0429808106356395	0.00349279338174662	negative	8	Top negative formal treatment-by-origin interaction NES across collections
negative_interaction	2N	C5:GO:BP	go_bp	GOBP_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	Cyclic Nucleotide Metabolic Process	-2.021330931304096	0.00262401881396266	negative	9	Top negative formal treatment-by-origin interaction NES across collections
negative_interaction	2N	C5:GO:BP	go_bp	GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	Negative Regulation of Viral Genome Replication	-2.002864443682908	0.00255373899724507	negative	10	Top negative formal treatment-by-origin interaction NES across collections
positive_interaction	4N	H	hallmark	HALLMARK_MYC_TARGETS_V1	Myc Targets V1	2.800211874687	1.3039623816392816e-20	positive	1	Top positive formal treatment-by-origin interaction NES across collections
positive_interaction	4N	C5:GO:BP	go_bp	GOBP_RIBOSOME_BIOGENESIS	Ribosome Biogenesis	2.699469530935053	8.84894984643274e-23	positive	2	Top positive formal treatment-by-origin interaction NES across collections
positive_interaction	4N	C5:GO:BP	go_bp	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Ribonucleoprotein Complex Biogenesis	2.661001483218021	4.6255695549221834e-30	positive	3	Top positive formal treatment-by-origin interaction NES across collections
positive_interaction	4N	C5:GO:BP	go_bp	GOBP_RRNA_PROCESSING	Rrna Processing	2.6135253552021283	1.4596811453582835e-16	positive	4	Top positive formal treatment-by-origin interaction NES across collections
positive_interaction	4N	C5:GO:BP	go_bp	GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	Ribosomal Small Subunit Biogenesis	2.599820679134806	1.500075734203567e-10	positive	5	Top positive formal treatment-by-origin interaction NES across collections
positive_interaction	4N	C2:CP:REACTOME	reactome	REACTOME_RRNA_PROCESSING	Rrna Processing	2.5877326206623334	5.423077334770358e-14	positive	6	Top positive formal treatment-by-origin interaction NES across collections
positive_interaction	4N	C5:GO:BP	go_bp	GOBP_RRNA_METABOLIC_PROCESS	Rrna Metabolic Process	2.5630630652773947	6.157140574604886e-18	positive	7	Top positive formal treatment-by-origin interaction NES across collections
positive_interaction	4N	C5:GO:BP	go_bp	GOBP_MATURATION_OF_SSU_RRNA	Maturation of Ssu Rrna	2.548877463474802	3.970231989002759e-8	positive	8	Top positive formal treatment-by-origin interaction NES across collections
positive_interaction	4N	C2:CP:REACTOME	reactome	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Eukaryotic Translation Initiation	2.336494315160205	1.727561486567951e-7	positive	9	Top positive formal treatment-by-origin interaction NES across collections
positive_interaction	4N	C5:GO:BP	go_bp	GOBP_MITOCHONDRIAL_TRANSLATION	Mitochondrial Translation	2.323418804714878	3.5953725225035274e-8	positive	10	Top positive formal treatment-by-origin interaction NES across collections
