collection_id	collection_label	collection_display_order	pathway_id	pathway_label	pathway_display_order	selected_direction	selected_rank_within_direction	pseudotime	standardized_activity
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0	-0.942918090897576
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.002	-0.934153165162271
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.004	-0.925388239426966
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.006	-0.91662331369166
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.008	-0.907858387956355
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.01	-0.899093462221049
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.012	-0.890328536485744
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.014	-0.881563610750439
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.016	-0.872798685015133
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.018	-0.864033759279828
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.02	-0.855268833544522
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.022	-0.846503907809217
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.024	-0.837738982073912
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.026	-0.828974003248296
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.028	-0.820207697164929
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.03	-0.811437568579236
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.032	-0.802661069156333
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.034	-0.793875650561336
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.036	-0.785078764459362
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.038	-0.776267862515527
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.04	-0.767440396394946
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.042	-0.758593817762737
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.044	-0.749725578284014
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.046	-0.740833129623894
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.048	-0.731913923447494
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.05	-0.722965411419929
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.052	-0.713985045206316
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.054	-0.70497027647177
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.056	-0.695918556881408
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.058	-0.686827338100346
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.06	-0.6776940717937
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.062	-0.668516209626586
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.064	-0.65929120326412
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.066	-0.650016504371419
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.068	-0.640689564613598
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.07	-0.631307835655774
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.072	-0.621868769163062
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.074	-0.612369816800579
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.076	-0.602808430233441
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.078	-0.593182061126765
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.08	-0.583488161145665
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.082	-0.573724181955259
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.084	-0.563887575220662
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.086	-0.553975792606991
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.088	-0.543986285779361
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.09	-0.533916506402889
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.092	-0.523763906142691
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.094	-0.513525936663883
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.096	-0.503200049631582
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.098	-0.492783696710902
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.1	-0.482274329566961
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.102	-0.471669399864875
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.104	-0.460966359269759
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.106	-0.45016265944673
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.108	-0.439255752060904
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.11	-0.428243088777397
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.112	-0.417122121261325
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.114	-0.405890301177804
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.116	-0.39454508019195
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.118	-0.38308390996888
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.12	-0.37150424217371
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.122	-0.359803528471555
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.124	-0.347979220527533
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.126	-0.336028770006758
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.128	-0.323949628574347
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.13	-0.311739247895417
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.132	-0.299395079635083
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.134	-0.286914575458461
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.136	-0.274295187030668
