collection_id	collection_label	collection_display_order	pathway_id	pathway_label	pathway_display_order	NES	padj	selected_direction	selected_rank_within_direction
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	1.39884410299216	0.0443242764061877	positive	1
H	Hallmark	1	HALLMARK_MYC_TARGETS_V1	Myc Targets V1	2	-4.5476510177494	4.33252097608889e-74	negative	1
H	Hallmark	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Oxidative Phosphorylation	3	-4.20709988270476	7.00352003021672e-59	negative	2
H	Hallmark	1	HALLMARK_E2F_TARGETS	E2f Targets	4	-3.95695745986251	1.19862207185254e-49	negative	3
H	Hallmark	1	HALLMARK_DNA_REPAIR	Dna Repair	5	-3.36314100921505	2.20940630817177e-25	negative	4
C2:CP:REACTOME	Reactome	2	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	Class a 1 Rhodopsin Like Receptors	6	1.92940263254759	2.01083131856433e-08	positive	1
C2:CP:REACTOME	Reactome	2	REACTOME_GPCR_LIGAND_BINDING	Gpcr Ligand Binding	7	1.75450473199411	6.59557423490004e-07	positive	2
C2:CP:REACTOME	Reactome	2	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	Peptide Ligand Binding Receptors	8	1.81658734380828	0.000102498620943951	positive	3
C2:CP:REACTOME	Reactome	2	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Olfactory Signaling Pathway	9	1.91289411543027	0.000623708969818807	positive	4
C2:CP:REACTOME	Reactome	2	REACTOME_TRANSLATION	Translation	10	-4.55536229216239	1.81477231791461e-106	negative	1
C2:CP:REACTOME	Reactome	2	REACTOME_RRNA_PROCESSING	Rrna Processing	11	-4.22275992611356	5.06573748538859e-59	negative	2
C2:CP:REACTOME	Reactome	2	REACTOME_DNA_REPAIR	Dna Repair	12	-3.59947944370831	4.13347386982182e-57	negative	3
C2:CP:REACTOME	Reactome	2	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Processing of Capped Intron Containing Pre Mrna	13	-3.56195557499539	7.6985991372025e-52	negative	4
C5:GO:BP	GO biological process	3	GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	Detection of Stimulus Involved in Sensory Perception	14	1.85258406275701	5.01023211713417e-05	positive	1
C5:GO:BP	GO biological process	3	GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	Sensory Perception of Chemical Stimulus	15	1.87379455243162	0.00015163422292056	positive	2
C5:GO:BP	GO biological process	3	GOBP_SENSORY_PERCEPTION	Sensory Perception	16	1.42768231116599	0.00103311500341316	positive	3
C5:GO:BP	GO biological process	3	GOBP_SENSORY_PERCEPTION_OF_SMELL	Sensory Perception of Smell	17	1.72945041269677	0.0134127948500912	positive	4
C5:GO:BP	GO biological process	3	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Ribonucleoprotein Complex Biogenesis	18	-4.4509197218741	1.79740153724579e-113	negative	1
C5:GO:BP	GO biological process	3	GOBP_RIBOSOME_BIOGENESIS	Ribosome Biogenesis	19	-4.37879602937335	4.38335902478293e-86	negative	2
C5:GO:BP	GO biological process	3	GOBP_DNA_REPLICATION	Dna Replication	20	-4.12196054696383	3.54915644440874e-70	negative	3
C5:GO:BP	GO biological process	3	GOBP_RRNA_METABOLIC_PROCESS	Rrna Metabolic Process	21	-4.19588971475621	1.04984082723278e-68	negative	4
