collection_id	collection_label	pathway_id	pathway_label	ranking_id	pval	padj	log2err	ES	NES	size	direction	nPermSimple	retry_round	leading_edge_genes	model_id
H	Hallmark	HALLMARK_MYC_TARGETS_V1	Myc Targets V1	primary_adjacent_state	8.66504195217779e-76	4.33252097608889e-74	2.27529933693615	-0.761989859267417	-4.5476510177494	200	negative	10000	0	MCM5;PCNA;MCM6;KPNB1;TYMS;LSM7;SNRPG;DUT;TFDP1;SRM;MCM7;NDUFAB1;MCM2;PPM1G;SRSF2;TXNL4A;PSMA4;RANBP1;USP1;NME1;MCM4;SNRPD1;NOP56;H2AZ1;PRDX4;HSPE1;PHB2;RFC4;SET;PSMA7;EIF1AX;NHP2;SNRPD3;SSBP1;GLO1;RAN;ABCE1;CDC45;PSMB2;MRPL9;NAP1L1;ERH;PSMA1;PA2G4;PHB1;SRSF7;C1QBP;HPRT1;XRCC6;HSP90AB1;CTPS1;UBE2L3;PSMA2;SNRPD2;CCT2;SNRPA;SERBP1;COX5A;PTGES3;PRDX3;CDK4;NPM1;VDAC3;SLC25A3;EIF4A1;EIF2S2;FBL;LSM2;SRSF3;TUFM;EIF4E;DEK;VDAC1;POLE3;HNRNPR;PSMB3;CCT7;TRIM28;CCT3;PSMD8;HNRNPD;NOLC1;EEF1B2;PCBP1;GNL3;PSMD3;SRPK1;SSB;TOMM70;HDAC2;CYC1;RPS10;RRP9;PSMD1;PPIA;AIMP2;HSPD1;G3BP1;PSMA6;SNRPA1;HDDC2;SRSF1;EPRS1;RNPS1;APEX1;EIF2S1;PSMC4;XPO1;RPL18;RPS5;RPS3;POLD2;PABPC4;SYNCRIP;CCT5;RSL1D1;EIF3D;SNRPB2;SF3B3;PSMD7;ACP1;CCT4;PRPS2;RRM1;NOP16;CLNS1A;DDX18;RPL22;PSMC6;EIF3J;RPL6;CDK2;PWP1;RACK1;CBX3;COPS5;AP3S1;RPS6;U2AF1;DDX21;GSPT1;CUL1;CAD;EXOSC7;YWHAQ;RPL14	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Oxidative Phosphorylation	primary_adjacent_state	2.80140801208669e-60	7.00352003021672e-59	2.02488858003307	-0.704928200302555	-4.20709988270476	200	negative	10000	0	UQCR10;BAX;NDUFAB1;UQCRFS1;MRPL11;MRPS15;MPC1;ATP5F1D;MRPL34;TIMM8B;ATP5MC1;CYCS;NDUFA6;ATP5MC3;NDUFS8;MRPL15;LDHB;SLC25A11;PHB2;ATP5PF;TIMM9;FXN;POLR2F;NDUFB2;HSD17B10;TOMM22;COX7B;ATP5ME;NDUFC2;NDUFS6;TIMM13;MRPS12;NDUFA4;COX5A;ATP5MF;PRDX3;VDAC3;SLC25A3;ISCU;UQCRH;COX15;ATP5MG;UQCRB;NDUFA1;SUCLG1;MRPL35;SDHA;ATP5F1B;VDAC1;IMMT;NDUFS3;SLC25A5;NDUFA8;ATP5F1C;CPT1A;PDHA1;TIMM10;ATP6V0B;COX5B;NDUFS7;TIMM50;ATP5PO;SDHD;ATP5F1E;TOMM70;ATP5F1A;FDX1;CYC1;VDAC2;COX11;NDUFB8;ECI1;ATP5PB;HCCS;NDUFB7;NDUFA9;GRPEL1;CYB5R3;COX4I1;SDHB;NDUFB3;OXA1L;AFG3L2;ATP6V1F;FH;UQCR11;ECHS1;UQCRC2;NDUFV2;NDUFC1;PDHB;SLC25A6;DLAT;HSPA9;NDUFA2;ACAT1;NDUFB4;NDUFB1;ETFB;UQCRQ;IDH3G;ATP6AP1;ALAS1;COX7C;ACAA1;NDUFA7;MRPS30;NDUFA5;MRPS11;ATP6V0E1;IDH1;CS;COX7A2;CYB5A;COX6C;COX10;NDUFB6;MTX2;ETFA;MDH2;COX8A;PMPCA;GPX4;TCIRG1;ATP1B1;NDUFV1;COX6B1;DLD;ATP6V1E1;UQCRC1;TIMM17A;COX17;OGDH;ACAA2;COX7A2L;MDH1;NDUFB5	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_E2F_TARGETS	E2f Targets	primary_adjacent_state	7.19173243111526e-51	1.19862207185254e-49	1.85963097536535	-0.663015135989915	-3.95695745986251	200	negative	10000	0	POLD3;MCM5;PCNA;LIG1;MCM6;MCM3;UNG;DUT;MCM7;POLE;POLA2;GINS3;MCM2;SLBP;TCF19;DONSON;RAD51C;MMS22L;CDC25A;CNOT9;SRSF2;TIPIN;RANBP1;USP1;RAD51AP1;NME1;MCM4;UBE2T;GINS1;RFC2;NOP56;H2AZ1;ATAD2;PRDX4;HELLS;MSH2;RAN;CSE1L;CCNE1;NAP1L1;SNRPB;DSCC1;BRCA1;H2AX;NASP;PA2G4;SMC3;DNMT1;RFC3;XRCC6;CTPS1;SMC6;PRKDC;CDK4;RRM2;DCK;RPA1;SSRP1;E2F8;RPA2;DCTPP1;LYAR;BARD1;DEK;SMC1A;POP7;BRCA2;HMGA1;CENPM;CHEK2;HNRNPD;NOLC1;DCLRE1B;TUBB;TMPO;DDX39A;ORC6;POLD1;EED;ASF1B;MELK;PSIP1;RAD1;PSMC3IP;PAICS;POLE4;CCP110;IPO7;SRSF1;EIF2S1;MYBL2;XPO1;POLD2;RPA3;ZW10;SYNCRIP;LUC7L3;PHF5A;TBRG4;CDC25B;NUP107;TUBG1;PNN;EZH2;MLH1;PDS5B;TIMELESS;CHEK1;RBBP7;AK2;RAD50;SUV39H1;LMNB1;RFC1;PRIM2;CTCF;PPM1D;HUS1;JPT1;NAA38;NBN;GSPT1;TP53;PRPS1;KIF18B;PLK4;UBR7;CBX5;SHMT1;MRE11	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_DNA_REPAIR	Dna Repair	primary_adjacent_state	1.76752504653741e-26	2.20940630817177e-25	1.33449749081658	-0.577027082054702	-3.36314100921505	148	negative	10000	0	POLD3;PCNA;LIG1;FEN1;TYMS;SAC3D1;DUT;POLA2;CDA;RAD51;NME1;ADRM1;RFC2;PRIM1;PNP;RFC4;POLR1H;POLR2F;ITPA;POLR2I;GTF2H5;RFC3;HPRT1;RFC5;CSTF3;POLR2J;DGCR8;CCNO;NUDT9;POLA1;SSRP1;RPA2;NFX1;ALYREF;ZWINT;GTF3C5;UMPS;EDF1;AK3;NT5C3A;POLD1;APRT;DDB2;NME4;GUK1;SUPT4H1;POLE4;DAD1;RPA3;NELFCD;NELFE;POLR2E;POLR2K;SNAPC5;TARBP2;SF3A3;NME3;POLR2G;CANT1;TAF9;POLR2H;RBX1;SMAD5;NT5C;MRPL40;DGUOK;POLH;TP53;GPX4;RAE1;BCAP31;POLR2D;COX17;ERCC4;MPC2;NCBP2;DCTN4;IMPDH2;CLP1;SURF1	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_G2M_CHECKPOINT	G2m Checkpoint	primary_adjacent_state	4.77574510895555e-25	4.77574510895555e-24	1.29512308741004	-0.492179759183267	-2.92474881395366	198	negative	10000	0	MCM5;MCM6;KPNB1;CHAF1A;MCM3;GINS2;RBL1;TFDP1;CCND1;E2F1;POLE;POLA2;MCM2;CDC25A;NSD2;SRSF2;SQLE;SNRPD1;H2AZ1;CDC6;EXO1;CDC45;H2AX;NASP;CDK4;DKC1;FANCC;TNPO2;RPA2;BARD1;SRSF10;CDC7;POLQ;SMC1A;BRCA2;HMGA1;CASP8AP2;HNRNPD;NOLC1;RAD54L;STIL;ORC5;TMPO;DDX39A;ORC6;FBXO5;E2F2;DTYMK;E2F3;LIG3;G3BP1;SRSF1;MYBL2;XPO1;CUL5;AMD1;SYNCRIP;CDC25B;EZH2;PDS5B;HSPA8;ATF5;CHEK1;NCL;MAPK14;UCK2;PAFAH1B1;SUV39H1;MEIS2;LMNB1;PRIM2;CTCF;HUS1;JPT1;E2F4;GSPT1;CUL1;MTF2;UPF1;CHMP1A;PLK4	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_MTORC1_SIGNALING	Mtorc1 Signaling	primary_adjacent_state	9.99384751783585e-25	8.32820626486321e-24	1.28710367230144	-0.498000692609123	-2.94994609578961	197	negative	10000	0	UNG;MCM2;CDC25A;PSMA4;SQLE;MCM4;ATP5MC1;PNP;PRDX1;TOMM40;SLC1A5;HSPE1;GSR;ELOVL6;PSME3;PSAT1;GMPS;SLC37A4;TMEM97;HPRT1;HMBS;PSMB5;RRM2;CACYBP;EIF2S2;RPA1;DHFR;CCT6A;DHCR24;EBP;SDF2L1;HMGCR;IMMT;UCHL5;QDPR;PSMA3;POLR3G;DDX39A;EEF1E1;PPA1;PITPNB;RRP9;ACLY;PPIA;NFYC;PSMD12;ARPC5L;HSPD1;NMT1;PSMG1;RPN1;EPRS1;PDAP1;PSMC4;CYP51A1;SSR1;LDLR;STIP1;SCD;TXNRD1;RDH11;SEC11A;ACTR3;TUBG1;IFI30;HSPA9;DHCR7;FADS1;SKAP2;FADS2;PSMC6;TRIB3;G6PD;IDH1;COPS5;ME1;PSMD13;CORO1A;NUFIP1;HSPA4;ACACA;SRD5A1;SORD;INSIG1;WARS1;CYB5B	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_MYC_TARGETS_V2	Myc Targets V2	primary_adjacent_state	5.23577728540961e-19	3.73984091814972e-18	1.12391496374483	-0.728355892767414	-3.59704629502943	58	negative	10000	0	MCM5;UNG;SRM;MRTO4;MCM4;NOP56;SLC19A1;HSPE1;PA2G4;PHB1;TMEM97;RABEPK;IMP4;EXOSC5;CDK4;NPM1;DCTPP1;NOLC1;LAS1L;NDUFAF4;GNL3;UTP20;FARSA;RRP9;AIMP2;HSPD1;TCOF1;NIP7;NOC4L;TBRG4;PUS1;PPAN;NOP16;WDR43;DDX18;BYSL;CBX3;IPO4;GRWD1;SORD;PLK4;MPHOSPH10	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_ADIPOGENESIS	Adipogenesis	primary_adjacent_state	4.60133853314917e-14	2.87583658321823e-13	0.965327754226083	-0.402584878159387	-2.38651766341664	191	negative	10000	0	UQCR10;NDUFAB1;SAMM50;SLC1A5;MRPL15;SLC19A1;ELOVL6;CHCHD10;COX7B;REEP5;SOD1;PRDX3;JAGN1;RAB34;PREB;SUCLG1;RTN3;TALDO1;IMMT;NDUFS3;COQ9;QDPR;SLC25A10;ATP5PO;SLC5A6;DNAJC15;CYC1;ACLY;NDUFB7;MYLK;GRPEL1;SLC25A1;NMT1;PEMT;MTCH2;SDHB;ESRRA;DHRS7B;GHITM;UQCR11;ECHS1;GPAT4;GPHN;TKT;DLAT;DHCR7;ETFB;AK2;PEX14;UQCRQ;IDH3G;RMDN3;ATL2;ATP1B3;NDUFA5;CMBL;IDH1;ELMOD3;CS;ME1;DRAM2;NKIRAS1;MDH2;COX8A;DHRS7;GPX4;COQ3;ITSN1;SCARB1;SLC66A3;STAT5A;DDT;DLD;UQCRC1;ACADS;ACAA2;RNF11;CMPK1;CD151;PPARG;FAH;STOM;RETSAT;PTCD3	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_FATTY_ACID_METABOLISM	Fatty Acid Metabolism	primary_adjacent_state	8.69973975036563e-14	4.83318875020313e-13	0.954541630725724	-0.452146423550946	-2.62776119325744	138	negative	10000	0	ACAT2;H2AZ1;ADSL;HSD17B10;CBR1;NSDHL;DHCR24;GRHPR;RAP1GDS1;SUCLG1;SDHA;MIX23;CPT1A;PDHA1;HSDL2;ACOT8;PRDX6;SDHD;PCBD1;NTHL1;SMS;ECI1;HCCS;UROD;YWHAH;APEX1;FH;ECHS1;CBR3;S100A10;PDHB;RDH11;HSP90AA1;ERP29;NCAPH2;UROS;IDH3G;ECI2;ACAA1;IDH1;ME1;MDH2;NBN;CRYZ;BCKDHB;DLD;ACOT2;ACADS;HMGCS1;ACAA2;ALDH9A1;MDH1;FASN;METAP1;IDI1;ALAD;RETSAT;SUCLG2;PTPRG;UBE2L6;PTS;PSME1;ALDH3A2;AADAT;IDH3B;CA2	ETP_reference_balanced_threshold_2_24
H	Hallmark	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Unfolded Protein Response	primary_adjacent_state	6.23922888674085e-13	3.11961444337043e-12	0.921426003494898	-0.48057375908061	-2.67529001148268	110	negative	10000	0	EIF4EBP1;NOP56;BANF1;NHP2;PSAT1;EXOSC4;H2AX;EXOSC9;EXOSC5;NPM1;DKC1;EIF4A1;PREB;EIF4E;LSM4;SPCS1;NOLC1;EXOC2;CEBPG;RRP9;EEF2;EIF4G1;EIF2S1;GOSR2;SSR1;POP4;YIF1A;SEC11A;KHSRP;SRPRB;SDAD1;HSPA9;EIF4A3;DDX10;EXOSC1;TARS1;NFYA;EXOSC2;GEMIN4;LSM1;PDIA5;SPCS3;EDC4;ATP6V0D1;RPS14;CXXC1;WFS1	ETP_reference_balanced_threshold_2_24
