key	value
reference_kind	reviewed_human_only_initial_ploidy_computed_pointwise_interval
canonical_publication_allowed	true
canonical_reference_id	state_pathway_grch_human_only_initial_ploidy_day17_pointwise_v4
reviewed_source_reference_id	state_pathway_grch_human_only_initial_ploidy_day17_pointwise_v4_candidate
reviewed_source_run_id	20260802_figure7_pointwise_v4_candidate_review_figure7
reviewed_source_provenance_sha256	c5192325e7c6ebd8531c0dfc2c8343c7032817e891f5f27a69efd2c42fdb384c
reviewed_source_panel_contract_sha256	42e3ddbc6fa843d208ac2f7716853da22be2bad06b4eeb822c5288a6c965d869
reviewed_source_run_config_sha256	c3187132f434b1645c4ee8f03b0ca64fb7b25d5fb506ae75a200a1420d5bd904
reviewed_source_panel_7F_pdf_sha256	0743f7cfa10e4d50f1dccb199c0548684343c165c5c8add29c560e1bcd8ba622
reviewed_source_panel_7F_png_sha256	1227c8a06152befdafe4658deea6a5cd8860cf4fce342bd041e7c9a20d6b5ea9
reviewed_source_composite_png_sha256	0a35f3427e11bc5adf72d9793e54ce6d112f811dc8d8d9f7d1c48a174b721fa7
reviewed_on	2026-08-02
reviewed_decision	Approved exact GRCh-only, injected-initial-ploidy-adjusted pointwise-interval v4 after confirming direct derivation of the 0.296--0.486 interval and equal-width flanks from exact density-localization support, an exact 2,881-cell localization-to-expression match, a full-rank mouse-aware design, collection-wide BH-adjusted P <= 0.05, and no nonsignificant pathway backfill.
source_results_id	generated_pseudotime_state_pathways
source_code_revision	sha256:4e1de76b215f2be1657ef8d4ee25463d841e9d6949ac4ec514b6a9c7cd33a0dd
exporter_script_sha256	433f371a1bc9160205fa95e5bfa633fd969e3f4037e51e961479fd5a91d2bec2
exporter_common_io_sha256	f09240a4944b18f55dc27d90577231aac60da7728dc16470d6af57d317057e12
seurat_rds_sha256	727b8a5e5868da911c3b0873838fb1b0023377ed21ea5498dc6493acbbef6d98
cellcycle_metadata_sha256	bd0c6fcf3f6691114445a7c8a9fb8de7e55ef6580a9737284cd38f5bba216186
noncellcycle_metadata_sha256	1e44794fb2b2c402b49cf9d17abcc54cd7690dc5d1d611e38a6aa3b996093d3c
interval_definition_sha256	2fa4958abe9f6994c7c196bdc6661affb7b46a44f5292df8779d3492d68a8dfb
interval_localization_grid_sha256	c8632f85006f3e23700921bad24058fd4db68a9d886678719c75279e42c77da9
interval_localization_support_sha256	381c82c744fb07dd3dd6250325852bda72b61c851affafbfd44a7686b4608229
interval_localization_test_sha256	8fb764192ce604ac1d99cdb5b9a7dcb481056325e42188fe482c43584cc21705
cell_expression_match_audit_sha256	f7717f9c69f92ecb071790e91a071a35d7bc0cc088b02a82cfb1cc04f981163f
localization_and_expression_n_cells	2881
metadata_to_expression_match_rate	1
interval_selection_rule	unique connected grid region with positive equal-mouse treated-minus-vehicle density contrast and two-sided exact injected-origin-stratified pointwise permutation P <= 0.05
interval_pointwise_p_min	0.0024489795918367298
interval_pointwise_p_max	0.049387755102040819
assay	RNA
counts_layer	counts
nuisance_policy	injected_initial_ploidy_only_no_endpoint_cn_score
initial_ploidy_levels	2N,4N
endpoint_cn_score_covariate_prohibited	true
spline_df	5
pseudotime_bins	20
minimum_cells_per_sample_bin	5
grid_size	501
seed	1
gene_set_source	pinned msigdbr runtime query
gene_set_release	2026.1.Hs
gene_set_species	Homo sapiens
gene_set_collections	H,C2:CP:REACTOME,C5:GO:BP
gene_set_membership_sha256	f328f21f45aec19a1e1b4d17bbd50dd80408404fdcd0cda7376d3653a14ecc1d
gene_set_min_size	15
gene_set_max_size	500
expression_filter	CPM > 1 in at least 14 retained sample-bin observations
normalization	TMM
observation_model	voom
mouse_block	duplicateCorrelation
nuisance_terms	dose_mg_factor,initial_ploidy_factor
treatment_by_pseudotime_interaction	false
empirical_bayes	robust
contrast	mean(primary grid) - 0.5 * mean(left grid) - 0.5 * mean(right grid)
gsea_rank_statistic	moderated_t
gsea_nperm_simple	10000
gsea_nperm_simple_max	1000000
gsea_nperm_simple_multiplier	10
gsea_nperm_simple_usage	10000:4826,100000:45
gsea_adaptive_retry_rule	retry only unresolved pathways at geometric nPermSimple increments; merge by pathway; recompute collection-wide BH; fail closed at cap
pathway_activity	row-standardize fitted expression per leading-edge gene, then average genes
feature_species_policy_id	grch_human_tumor_only_v2
feature_species_policy	Retain exact GRCh38-prefixed counts and exclude exact GRCm39-prefixed counts before pseudobulk construction, expression filtering, model fitting, symbol cleanup, duplicate resolution, and Homo sapiens GSEA; reject unrecognized feature prefixes.
human_feature_prefix	GRCh38-
mouse_feature_prefix	GRCm39-
unknown_feature_policy	reject
n_input_features	72302
n_human_features_retained	38606
n_mouse_features_excluded	33696
n_ambiguous_features	0
feature_species_audit_sha256	3c8ac2b642db6e380e9a81deb18f18235cf42b10aa8aa19c4081a36f86f38b2c
feature_species_policy_code_sha256	9c4461e6c826472c6c24dd820758a41033f3cae861e1404cec56d0fe49abbd3c
support_common_io_sha256	f09240a4944b18f55dc27d90577231aac60da7728dc16470d6af57d317057e12
density_localization_config_sha256	c7e7f308975cac21733f435de4aa02d3f00e335d6165e6ab587b6f8dfad12f57
density_localization_code_sha256	d32f0806e837804832f965f7878585c505904d069075f9d9b4226157a5ce419c
gsea_ranking_rule	one row per cleaned gene symbol; descending moderated t; ties retain cleaned-symbol order
pathway_selection_fdr_threshold	0.05
pathway_selection_rule	BH-adjusted P <= 0.05; up to top four per sign and collection
activity_table_sha256	7d16e7e0ef4a3258c413a43307437282d5d0cdd7f0ec84baabd15c2bbbeefae3
state_pathway_interval_definition_sha256	8f51b4c24ebdbb3da6c391be03acaacded60c01acf29c6dde77387bd2a6c8b99
panel_7F_pathway_activity_plot_data_sha256	7d16e7e0ef4a3258c413a43307437282d5d0cdd7f0ec84baabd15c2bbbeefae3
panel_7F_selected_pathway_gsea_sha256	1350e2ed472d0be0a9c809eb85ebb7a4ca05a8d8fb704567ddd65b2e87ebf5bf
panel_7F_leading_edge_genes_sha256	888c75f988c29f39271db03aae1089df894f847b2ec656320abe21e999569a2e
state_pathway_gene_ranking_complete_sha256	150d8f3ce96eade2926b6dd27fae859f36c5bcf3dbaa83f856cdcd73aa4c67b0
state_pathway_gsea_complete_sha256	9659891bc273677832355dbf85a17805e62bbcb10884f6a698ee637d389f540d
state_pathway_sample_bin_coverage_sha256	0ef5470eca70272bacdbbd0d416b21a9ad4f9e448ac172cad4ba06cb7f2719aa
state_pathway_design_qc_sha256	b430aafcb4f00c6e1ac42bd380ed540eb84c585c5556e3d724680ddd99a8300d
figure7_config_sha256	026c4fa198b5a9107ac8f3409e8a4bea9b2336e8271bdd8c3851f901f5c953c3
figure7_config_contract_sha256	ddca5907c5271a444b8291ced03843f47c600d2deb3b3f4518b509faff2e4282
generated_reference_id	state_pathway_grch_human_only_initial_ploidy_day17_pointwise_v4_candidate
workflow_id	binning
model_id	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
accumulated_interval	[0.296,0.486]
left_neighbor_interval	[0.106,0.296)
right_neighbor_interval	(0.486,0.676]
recorded_cell_metadata_locator	Data/in-vivo/figure7/processed/CellCycleCells_pseudotime_distribution_per_sample_cell_level_with_ploidy_dose_tgi.csv
recorded_noncell_metadata_locator	Data/in-vivo/figure7/processed/NonCellCycleCells_pseudotime_distribution_per_sample_cell_level_with_ploidy_dose_tgi.csv
recorded_seurat_rds_locator	Results/in-vivo/figure7/raw/zenodo_21463392/integrated_sct_cca_seurat_final_reclustered.rds
msigdbr_package_version	26.1.0
fgsea_package_version	1.34.2
source_activity_sha256	2542b4ad2e4339ca3385cde2d8282b3b6c58b3705e69abbc8e68cbfafd5bee0a
source_primary_gsea_sha256	14205feb2dcbf6b79acd3a5f34dd71e85772d7326f00071772286b1ab6ff7f8b
source_leading_edge_sha256	6c1f17515a3d0dde697ec6837eba20d93a0750dc68139ef0b088cacf967ab0ba
source_gene_contrast_sha256	8f8728929bd01da79988bccd582145579fb3fbf6d4c3e119ee090c62c000d76d
source_gene_resolution_sha256	7f5d409375b61c729fb74541fda955f10356918b48550094808212c421db0f23
source_sample_bin_metadata_sha256	498acf26bc561085b923e11f58387d6bea0d581c5f66af4b983a5bbf5b2c2d8d
source_design_audit_sha256	86d0935b11bb0070c76b5019716087978f04925ef5430e7c9ab9a5629f411d13
source_primary_coverage_sha256	9fecc5339a86cf2e072dccfb05358580fc0db25fd3a8e9f71af301a8ea423141
