rank	gene_id	gene_symbol	moderated_t	p_value	fdr	fitted_log_expr_difference	average_expression	B	contrast_id	model_id	symbol_resolution_rank	retained_for_gsea
1	GRCh38-NUP93-DT	NUP93-DT	5.73095355950442	3.30706584343789e-08	0.00022265581205247	0.940434447413778	0.285966380156692	8.41918050456225	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
2	GRCh38-ENSG00000248100	ENSG00000248100	5.64609994682795	5.09575614585078e-08	0.00022265581205247	0.882982987303959	0.0929341329661495	8.01328124318007	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
3	GRCh38-PTGER3	PTGER3	5.60824681277746	6.1708849014496e-08	0.00022265581205247	0.959083381871924	0.249263199691476	7.84479649380024	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
4	GRCh38-ENSG00000253181	ENSG00000253181	5.57024216108071	7.47186675146918e-08	0.000231083490432223	1.01507560288421	0.0306095943017774	7.66062714521929	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
5	GRCh38-DARS1-AS1	DARS1-AS1	5.51270880399141	9.96446925535777e-08	0.000231157245267998	0.852623321595929	1.75342594941866	7.47308495796695	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
6	GRCh38-XK	XK	5.49883405315064	1.06775022064759e-07	0.000231157245267998	0.879754264213328	0.10257737571582	7.34054814040264	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
7	GRCh38-ENSG00000269938	ENSG00000269938	5.44660259020329	1.38352742080347e-07	0.000255363235154035	0.838031244794121	-0.0724347100985853	7.09502618470392	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
8	GRCh38-ENSG00000286379	ENSG00000286379	5.40450190922961	1.70267846055759e-07	0.000255363235154035	0.85183365169357	-0.00529984455593859	6.90897542293734	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
9	GRCh38-ENSG00000289990	ENSG00000289990	5.36698341680445	2.04668297094533e-07	0.000260639056694091	0.819827900144379	-0.126734746043764	6.73722193655255	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
10	GRCh38-LINC00222	LINC00222	5.34903994462369	2.23425514494509e-07	0.000262574417675152	0.856314268423503	-0.0180786294358858	6.66275836144589	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
11	GRCh38-ANXA9	ANXA9	5.34269931469156	2.30445467958238e-07	0.000262574417675152	0.859116018904162	0.00393016767205137	6.63059222462475	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
12	GRCh38-GRTP1-AS1	GRTP1-AS1	5.29530555743442	2.90157973758281e-07	0.000314081498694652	0.918429296261439	0.00924844046549444	6.42339305394269	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
13	GRCh38-TILRLS	TILRLS	5.26388941203689	3.37766443921369e-07	0.000334616629938172	0.813465006262857	-0.0308574143158329	6.28332603383469	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
14	GRCh38-ENSG00000290117	ENSG00000290117	5.25564131290936	3.51474054677022e-07	0.000334616629938172	0.941526526195248	0.606446680867143	6.26935067835756	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
15	GRCh38-ARHGEF2-AS2	ARHGEF2-AS2	5.253279183188	3.55498290386529e-07	0.000334616629938172	0.863498962541593	0.0722011153549785	6.23828151413647	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
16	GRCh38-LNP1	LNP1	5.21615421118639	4.24948544604734e-07	0.000367988441685915	0.798834731244096	2.49091721721458	6.12563258927056	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
17	GRCh38-LINC02050	LINC02050	5.19643235352103	4.67031354768003e-07	0.000378519295900533	0.903585194001957	0.101878542708514	5.99153179449675	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
18	GRCh38-ENSG00000287402	ENSG00000287402	5.16814874143554	5.34520867391775e-07	0.000385728075272151	0.852351033648086	0.00326425556490813	5.86662450816159	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
19	GRCh38-ANKK1	ANKK1	5.13430153838062	6.27786283673597e-07	0.000437021585898408	0.815355616338682	0.00445638242270889	5.72104745141732	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
20	GRCh38-ENSG00000287170	ENSG00000287170	5.12827429127993	6.45973982574209e-07	0.000437021585898408	0.799689103299631	0.0518270072165344	5.6957413545369	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
21	GRCh38-INHBC	INHBC	5.08145208606298	8.05768735659479e-07	0.000493146046190526	0.856406091731665	0.0572338188334358	5.49574669051416	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
22	GRCh38-ENSG00000260710	ENSG00000260710	5.07477911552306	8.31456703930947e-07	0.000493146046190526	0.786371482864147	0.0813474749440029	5.46758728503788	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
23	GRCh38-ENSG00000288025	ENSG00000288025	5.07188856224393	8.42828939399024e-07	0.000493146046190526	0.941212176322756	0.57341065441452	5.46535164690848	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
24	GRCh38-LINC02054	LINC02054	5.0652729444955	8.6942711349669e-07	0.000495321778423417	0.834886782310968	-0.0503698682731278	5.42320831755701	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
25	GRCh38-ENSG00000273445	ENSG00000273445	5.0273977119926	1.03810407434857e-06	0.000547160838108857	0.922188301813344	0.0342026814468426	5.26277864642283	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
26	GRCh38-LILRA6	LILRA6	5.0269171645095	1.0404357115124e-06	0.000547160838108857	0.78862288728457	-0.0296092427405119	5.26063306584322	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
27	GRCh38-LGR6	LGR6	5.02461099038355	1.06151578366539e-06	0.000547160838108857	0.974193838131669	1.99572716681341	5.27834031109368	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
28	GRCh38-ENSG00000287214	ENSG00000287214	4.97775331188836	1.30780138470224e-06	0.000658432376219042	0.825302072742005	0.0166529078344781	5.05354484578067	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
29	GRCh38-ENSG00000227388	ENSG00000227388	4.91166544602213	1.77393784024999e-06	0.000823946677996808	0.779231170387903	-0.0406136412944804	4.77625092538199	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4	1	TRUE
