collection_id	collection_label	pathway_id	pathway_label	ranking_id	pval	padj	log2err	ES	NES	size	direction	nPermSimple	retry_round	leading_edge_genes	model_id
H	Hallmark	HALLMARK_MYC_TARGETS_V1	Myc Targets V1	primary_adjacent_state	1.42532219704996e-74	7.12661098524982e-73	2.25702354429445	-0.756694828283392	-4.52133266126602	200	negative	10000	0	MCM5;PCNA;MCM6;KPNB1;TFDP1;DUT;SNRPG;TYMS;LSM7;SRM;MCM7;MCM2;NDUFAB1;PPM1G;SRSF2;MCM4;USP1;RANBP1;PSMA4;TXNL4A;NOP56;NME1;SNRPD1;H2AZ1;PSMA7;HSPE1;PHB2;RFC4;SET;PRDX4;SNRPD3;GLO1;EIF1AX;NHP2;CDC45;ABCE1;SSBP1;NAP1L1;RAN;PA2G4;PSMB2;MRPL9;SRSF7;PHB1;ERH;XRCC6;CTPS1;C1QBP;PSMA1;HPRT1;PSMA2;HSP90AB1;SERBP1;UBE2L3;PTGES3;VDAC3;COX5A;SNRPD2;CCT2;CDK4;SNRPA;SLC25A3;PRDX3;LSM2;FBL;EIF4A1;NPM1;EIF2S2;SRSF3;DEK;EIF4E;POLE3;CCT7;TUFM;VDAC1;CCT3;NOLC1;HNRNPR;PSMD8;PSMB3;TRIM28;EEF1B2;HNRNPD;SRPK1;GNL3;PCBP1;PSMD1;PSMD3;SSB;HDAC2;AIMP2;TOMM70;CYC1;RRP9;RPS10;HSPD1;XPO1;EIF2S1;SRSF1;PPIA;APEX1;SNRPA1;EPRS1;RNPS1;G3BP1;POLD2;RPL18;HDDC2;PSMA6;PSMC4;CCT5;PABPC4;SYNCRIP;RPS3;RPS5;RRM1;EIF3D;RSL1D1;CCT4;PSMD7;ACP1;SF3B3;NOP16;EIF3J;CDK2;DDX18;SNRPB2;RPL22;DDX21;RPL6;PRPS2;PWP1;CLNS1A;CBX3;PSMC6;COPS5;U2AF1;CUL1;RPS6;CAD;AP3S1;RACK1;EXOSC7;GSPT1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
H	Hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Oxidative Phosphorylation	primary_adjacent_state	3.87611589666822e-59	9.69028974167055e-58	2.00948996431344	-0.700131863124684	-4.18336288503499	200	negative	10000	0	UQCR10;BAX;NDUFAB1;MRPL11;UQCRFS1;MRPS15;MPC1;ATP5F1D;MRPL34;CYCS;TIMM8B;ATP5MC1;NDUFA6;MRPL15;ATP5MC3;LDHB;NDUFS8;SLC25A11;PHB2;TIMM9;ATP5PF;FXN;NDUFB2;POLR2F;TOMM22;MRPS12;COX7B;HSD17B10;NDUFC2;ATP5ME;NDUFA4;TIMM13;NDUFS6;VDAC3;COX5A;ATP5MF;SLC25A3;COX15;PRDX3;SUCLG1;ATP5MG;UQCRH;ISCU;UQCRB;ATP5F1B;NDUFA1;MRPL35;VDAC1;NDUFS3;IMMT;SLC25A5;TIMM10;SDHA;ATP5F1C;ATP5F1A;COX5B;NDUFS7;NDUFA8;TIMM50;ATP6V0B;ATP5PO;NDUFB8;ATP5F1E;TOMM70;CYC1;FDX1;VDAC2;SDHD;ECI1;COX11;PDHA1;NDUFB7;CPT1A;ATP5PB;NDUFA9;GRPEL1;HCCS;CYB5R3;UQCR11;AFG3L2;COX4I1;ATP6V1F;ECHS1;FH;NDUFV2;NDUFB1;NDUFB3;SDHB;OXA1L;NDUFC1;SLC25A6;DLAT;ATP6AP1;HSPA9;UQCRC2;ACAT1;PDHB;CS;NDUFB4;IDH1;COX10;ALAS1;ETFB;NDUFA5;MRPS30;ACAA1;COX7C;MRPS11;IDH3G;UQCRQ;NDUFA7;MDH2;ETFA;CYB5A;NDUFA2;DLD;ATP6V0E1;PMPCA;ATP1B1;COX7A2;GPX4;MTX2;NDUFV1;COX6C;NDUFB6;COX8A;TIMM17A;OGDH;TCIRG1;COX6B1;ATP6V1E1;SLC25A12;ACAA2;COX17;COX7A2L;GOT2;UQCRC1;ATP6V0C;SURF1;RETSAT;MDH1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
H	Hallmark	HALLMARK_E2F_TARGETS	E2f Targets	primary_adjacent_state	2.04105451275765e-51	3.40175752126275e-50	1.87073334848117	-0.667521250162435	-3.98851097911592	200	negative	10000	0	POLD3;MCM5;PCNA;MCM6;LIG1;MCM3;UNG;DUT;POLE;MCM7;GINS3;MCM2;POLA2;SLBP;SRSF2;DONSON;TCF19;CDC25A;CNOT9;MMS22L;MCM4;RAD51C;USP1;RANBP1;TIPIN;UBE2T;NOP56;NME1;RAD51AP1;GINS1;HELLS;RFC2;ATAD2;H2AZ1;PRDX4;MSH2;SNRPB;NAP1L1;CSE1L;RAN;SMC6;PA2G4;DSCC1;SMC3;BRCA1;NASP;CCNE1;RFC3;H2AX;DNMT1;XRCC6;CTPS1;PRKDC;CDK4;BARD1;LYAR;RPA1;RRM2;SSRP1;DCTPP1;DCK;DEK;POP7;E2F8;HMGA1;BRCA2;RPA2;SMC1A;NOLC1;TMPO;HNRNPD;ORC6;CHEK2;CENPM;DCLRE1B;DDX39A;MELK;TUBB;RAD1;POLD1;IPO7;PAICS;EED;PSIP1;PSMC3IP;POLE4;XPO1;EIF2S1;SRSF1;ASF1B;POLD2;RPA3;CCP110;LUC7L3;SYNCRIP;MYBL2;TBRG4;PHF5A;NUP107;PNN;ZW10;MLH1;CDC25B;EZH2;PDS5B;TUBG1;CHEK1;PRIM2;TIMELESS;RBBP7;AK2;SUV39H1;RFC1;NAA38;LMNB1;RAD50;CTCF;PLK4;CBX5;NBN;HUS1;PPM1D;UBR7;GSPT1;SHMT1;PRPS1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
H	Hallmark	HALLMARK_MTORC1_SIGNALING	Mtorc1 Signaling	primary_adjacent_state	6.86432341186919e-26	8.58040426483649e-25	1.31888879607587	-0.506565345543972	-3.02204164732413	197	negative	10000	0	UNG;MCM2;CDC25A;MCM4;PSMA4;ATP5MC1;TOMM40;SQLE;PNP;PRDX1;SLC1A5;GSR;HSPE1;ELOVL6;PSME3;PSAT1;GMPS;SLC37A4;TMEM97;HPRT1;HMBS;PSMB5;EBP;CCT6A;CACYBP;DHFR;RPA1;RRM2;EIF2S2;QDPR;DHCR24;SDF2L1;HMGCR;UCHL5;IMMT;POLR3G;EEF1E1;PSMA3;DDX39A;PITPNB;ACLY;PPA1;RRP9;HSPD1;PPIA;CYP51A1;PDAP1;PSMG1;EPRS1;PSMD12;TXNRD1;ARPC5L;NMT1;ACTR3;PSMC4;SCD;NFYC;LDLR;RPN1;SEC11A;STIP1;RDH11;SSR1;SKAP2;TUBG1;IFI30;HSPA9;DHCR7;TRIB3;IDH1;FADS1;G6PD;PSMC6;COPS5;ME1;NUFIP1;FADS2;PSMD13;ACACA;SRD5A1;WARS1;HSPA4;HMGCS1;CYB5B;SORD;NUP205;INSIG1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
H	Hallmark	HALLMARK_G2M_CHECKPOINT	G2m Checkpoint	primary_adjacent_state	3.80991890076683e-25	3.80991890076683e-24	1.30309315086572	-0.499716139957692	-2.97905199109911	198	negative	10000	0	MCM5;MCM6;KPNB1;MCM3;CHAF1A;GINS2;TFDP1;RBL1;POLE;CCND1;E2F1;MCM2;POLA2;SRSF2;CDC25A;NSD2;SQLE;SNRPD1;H2AZ1;CDC6;EXO1;CDC45;NASP;H2AX;CDK4;BARD1;DKC1;FANCC;TNPO2;SRSF10;HMGA1;POLQ;BRCA2;RPA2;CDC7;SMC1A;NOLC1;TMPO;CASP8AP2;HNRNPD;STIL;ORC6;ORC5;DDX39A;RAD54L;E2F2;FBXO5;E2F3;DTYMK;XPO1;SRSF1;LIG3;AMD1;G3BP1;CUL5;SYNCRIP;MYBL2;CDC25B;EZH2;PDS5B;CHEK1;PRIM2;NCL;HSPA8;ATF5;MAPK14;UCK2;SUV39H1;MEIS2;PAFAH1B1;LMNB1;E2F4;CTCF;CUL1;PLK4;HUS1;UPF1;MTF2	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
H	Hallmark	HALLMARK_DNA_REPAIR	Dna Repair	primary_adjacent_state	5.39684037787218e-25	4.49736698156015e-24	1.29512308741004	-0.569607949606194	-3.3192834903725	148	negative	10000	0	POLD3;PCNA;FEN1;LIG1;DUT;SAC3D1;TYMS;POLA2;CDA;RAD51;NME1;ADRM1;PNP;RFC2;PRIM1;RFC4;POLR1H;POLR2F;ITPA;RFC3;POLR2I;HPRT1;DGCR8;GTF2H5;RFC5;POLR2J;CSTF3;NUDT9;SSRP1;CCNO;RPA2;POLA1;NFX1;UMPS;ALYREF;ZWINT;NT5C3A;EDF1;GTF3C5;NME4;AK3;POLD1;APRT;POLE4;GUK1;DDB2;RPA3;SUPT4H1;DAD1;SNAPC5;POLR2E;NELFCD;POLR2K;NELFE;SF3A3;TARBP2;CANT1;NME3;SMAD5;TAF9;RBX1;POLR2G;POLR2H;MRPL40;DGUOK;POLH;NT5C;GPX4;TP53;BCAP31;ERCC4;POLR2D;COX17;RAE1;IMPDH2;TAF6;DCTN4;NCBP2;CLP1;SURF1;ERCC2	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
H	Hallmark	HALLMARK_MYC_TARGETS_V2	Myc Targets V2	primary_adjacent_state	4.78087634746031e-20	3.41491167675737e-19	1.16017957183021	-0.742669885662821	-3.67501625880681	58	negative	10000	0	MCM5;UNG;SRM;MRTO4;MCM4;NOP56;HSPE1;SLC19A1;PA2G4;PHB1;TMEM97;RABEPK;IMP4;CDK4;EXOSC5;NPM1;DCTPP1;NOLC1;UTP20;NDUFAF4;GNL3;LAS1L;AIMP2;FARSA;RRP9;HSPD1;TCOF1;TBRG4;NIP7;NOC4L;PPAN;PUS1;WDR43;NOP16;DDX18;BYSL;CBX3;GRWD1;IPO4;PLK4	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
H	Hallmark	HALLMARK_ADIPOGENESIS	Adipogenesis	primary_adjacent_state	1.50213451338019e-15	9.38834070862618e-15	1.01754479730988	-0.408624167478792	-2.44884435314103	191	negative	10000	0	UQCR10;NDUFAB1;SAMM50;SLC1A5;MRPL15;SLC19A1;ELOVL6;CHCHD10;COX7B;REEP5;SOD1;PRDX3;RAB34;SUCLG1;TALDO1;JAGN1;QDPR;PREB;RTN3;NDUFS3;IMMT;COQ9;SLC25A10;ACLY;SLC5A6;ATP5PO;DNAJC15;CYC1;GHITM;NDUFB7;MYLK;GRPEL1;SLC25A1;MTCH2;PEMT;NMT1;UQCR11;GPHN;ECHS1;SDHB;GPAT4;ESRRA;TKT;DLAT;CMBL;DHRS7B;DHCR7;ATP1B3;CS;AK2;IDH1;RMDN3;ETFB;NDUFA5;PEX14;ATL2;IDH3G;UQCRQ;ME1;MDH2;DLD;NKIRAS1;ITSN1;ELMOD3;DRAM2;SLC66A3;GPX4;DHRS7;COQ3;COX8A;RNF11;SCARB1;DDT;STAT5A;CMPK1;CHUK;PTCD3;ACAA2;ACADS;PPARG;CD151;UQCRC1	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
H	Hallmark	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Unfolded Protein Response	primary_adjacent_state	1.44960455886393e-13	8.05335866035516e-13	0.943632225232838	-0.489170868832838	-2.7287098457331	110	negative	10000	0	EIF4EBP1;NOP56;BANF1;NHP2;EXOSC4;PSAT1;EXOSC9;H2AX;DKC1;EXOSC5;EIF4A1;NPM1;EIF4E;PREB;LSM4;NOLC1;SPCS1;EXOC2;CEBPG;EIF4G1;EEF2;RRP9;EIF2S1;GOSR2;YIF1A;SEC11A;KHSRP;POP4;SSR1;SDAD1;DDX10;SRPRB;HSPA9;TARS1;EIF4A3;EXOSC1;GEMIN4;NFYA;EXOSC2;LSM1;SPCS3;EDC4;PDIA5;EXOSC10;WFS1;ATP6V0D1;SRPRA;CXXC1;RPS14	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
H	Hallmark	HALLMARK_FATTY_ACID_METABOLISM	Fatty Acid Metabolism	primary_adjacent_state	2.71163966436401e-13	1.355819832182e-12	0.932595211336209	-0.442278913445174	-2.57271644188341	138	negative	10000	0	ACAT2;H2AZ1;ADSL;HSD17B10;CBR1;NSDHL;SUCLG1;RAP1GDS1;DHCR24;GRHPR;SDHA;MIX23;HSDL2;PCBD1;ACOT8;PRDX6;YWHAH;NTHL1;SDHD;ECI1;PDHA1;UROD;APEX1;CPT1A;SMS;HCCS;CBR3;S100A10;ECHS1;FH;RDH11;HSP90AA1;UROS;ERP29;PDHB;NCAPH2;ECI2;IDH1;ACAA1;IDH3G;ME1;MDH2;DLD;NBN;HMGCS1;METAP1;BCKDHB;CRYZ;IDI1;ACOT2;PTPRG;ACAA2;FASN;ACADS;SUCLG2;ALDH9A1;RETSAT;MDH1;CA2;ALAD;PSME1;PTS;AADAT	initial_ploidy_adjusted_grch_human_only_pointwise_interval_v4
