collection_id	collection_label	collection_display_order	pathway_id	pathway_label	pathway_display_order	NES	padj	selected_direction	selected_rank_within_direction
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	1.45875751202517	0.0207662755684768	positive	1
H	Hallmark	1	HALLMARK_MYC_TARGETS_V1	Myc Targets V1	2	-4.50977555413684	7.06183938275144e-72	negative	1
H	Hallmark	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Oxidative Phosphorylation	3	-4.16821964595162	5.96703601766474e-57	negative	2
H	Hallmark	1	HALLMARK_E2F_TARGETS	E2f Targets	4	-4.00105491576451	3.36566207645777e-51	negative	3
H	Hallmark	1	HALLMARK_DNA_REPAIR	Dna Repair	5	-3.33234858607536	6.71706243712459e-25	negative	4
C2:CP:REACTOME	Reactome	2	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	Class a 1 Rhodopsin Like Receptors	6	1.96858695187508	4.79482349794671e-09	positive	1
C2:CP:REACTOME	Reactome	2	REACTOME_GPCR_LIGAND_BINDING	Gpcr Ligand Binding	7	1.77097421872725	3.07734165638928e-07	positive	2
C2:CP:REACTOME	Reactome	2	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	Peptide Ligand Binding Receptors	8	1.85814694004474	3.14788266075847e-05	positive	3
C2:CP:REACTOME	Reactome	2	REACTOME_OLFACTORY_SIGNALING_PATHWAY	Olfactory Signaling Pathway	9	1.98793071193147	0.000125817920455806	positive	4
C2:CP:REACTOME	Reactome	2	REACTOME_TRANSLATION	Translation	10	-4.51013017523799	6.35396360472866e-107	negative	1
C2:CP:REACTOME	Reactome	2	REACTOME_RRNA_PROCESSING	Rrna Processing	11	-4.26900170489076	9.67926781006473e-59	negative	2
C2:CP:REACTOME	Reactome	2	REACTOME_DNA_REPAIR	Dna Repair	12	-3.60433419935909	1.64946539840374e-57	negative	3
C2:CP:REACTOME	Reactome	2	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Processing of Capped Intron Containing Pre Mrna	13	-3.57886813380699	7.01058448212037e-54	negative	4
C5:GO:BP	GO biological process	3	GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	Detection of Stimulus Involved in Sensory Perception	14	1.87372679834418	4.37611853839894e-05	positive	1
C5:GO:BP	GO biological process	3	GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	Sensory Perception of Chemical Stimulus	15	1.91102576660545	0.000128553335052165	positive	2
C5:GO:BP	GO biological process	3	GOBP_SENSORY_PERCEPTION	Sensory Perception	16	1.43169706846168	0.00107609630377524	positive	3
C5:GO:BP	GO biological process	3	GOBP_SENSORY_PERCEPTION_OF_SMELL	Sensory Perception of Smell	17	1.80878653237868	0.00364980315596092	positive	4
C5:GO:BP	GO biological process	3	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Ribonucleoprotein Complex Biogenesis	18	-4.44916084869386	5.41126773562793e-115	negative	1
C5:GO:BP	GO biological process	3	GOBP_RIBOSOME_BIOGENESIS	Ribosome Biogenesis	19	-4.40753365798252	2.05665384557019e-86	negative	2
C5:GO:BP	GO biological process	3	GOBP_DNA_REPLICATION	Dna Replication	20	-4.21210387580861	8.14962852605397e-71	negative	3
C5:GO:BP	GO biological process	3	GOBP_RRNA_METABOLIC_PROCESS	Rrna Metabolic Process	21	-4.20920002143673	2.82525040555105e-69	negative	4
