key	value
reference_kind	reviewed_human_only_initial_ploidy_frozen
canonical_publication_allowed	true
canonical_reference_id	state_pathway_grch_human_only_initial_ploidy_day17_v3
reviewed_source_reference_id	state_pathway_grch_human_only_initial_ploidy_day17_v3_candidate
reviewed_source_run_id	20260731_figure7_v3_exact_candidate_review_figure7
reviewed_source_provenance_sha256	3824db8e7c3b9d3ff1bc0ad361644156a47e4e146ca4851101ea5b52ea04932a
reviewed_source_input_manifest_sha256	89bfe81d107ec22336608918d703fdaac596cca11ee61aa62aa1a7bc2af06085
reviewed_source_output_manifest_sha256	0f3b9e8f16f3c39541f702f422371f2694c8e90c8abae9288db83a485850eb7f
reviewed_source_run_config_sha256	8d3add2d01b0cf466a5d00649554d875da6ebe7d9b6f802b94c458bfa53c84a0
reviewed_source_panel_7F_pdf_sha256	b09c12d0aa0a38230c6879b506810da138ebde6576cd4a39a57025a70138713f
reviewed_source_panel_7F_png_sha256	a84e8cfdf92832ca5ed245fdd9652dbfa2f5ae6ff7a9bffe07bf7defa7505ea1
reviewed_on	2026-07-31
reviewed_decision	Approved exact GRCh-only, injected-initial-ploidy-adjusted v3 result after confirming a full-rank mouse-aware design, no endpoint-CN-score nuisance term, collection-wide BH-adjusted P <= 0.05, no nonsignificant pathway backfill, and unchanged selected-pathway directions relative to v2.
source_results_id	generated_pseudotime_state_pathways
source_code_revision	sha256:9cd68de5433863586629b48631a3aa092354eac7d889234f075a4bf35dce4513
exporter_script_sha256	42dd9755261d7279bedf121451547549e0d935f12be5585008dd031ab42bf7dd
exporter_common_io_sha256	e54056f48b15b9cb1f8b03ae4b3d572b17c7c166d7d27e94102f04d30e9b438d
seurat_rds_sha256	727b8a5e5868da911c3b0873838fb1b0023377ed21ea5498dc6493acbbef6d98
cellcycle_metadata_sha256	bd0c6fcf3f6691114445a7c8a9fb8de7e55ef6580a9737284cd38f5bba216186
noncellcycle_metadata_sha256	1e44794fb2b2c402b49cf9d17abcc54cd7690dc5d1d611e38a6aa3b996093d3c
interval_config_sha256	16af4e730fb1d2c2ade1beddef67755ded9b2a216dd8d5625f965116549e93a8
assay	RNA
counts_layer	counts
nuisance_policy	injected_initial_ploidy_only_no_endpoint_cn_score
initial_ploidy_levels	2N,4N
endpoint_cn_score_covariate_prohibited	true
spline_df	5
pseudotime_bins	20
minimum_cells_per_sample_bin	5
grid_size	501
seed	1
gene_set_source	pinned msigdbr runtime query
gene_set_release	2026.1.Hs
gene_set_species	Homo sapiens
gene_set_collections	H,C2:CP:REACTOME,C5:GO:BP
