sample_id	pseudotime_bin	sample_bin_id	cell_count	bin_start	bin_end	bin_midpoint	dose	dose_mg	initial_ploidy	n_cells	mean_pseudotime	retained_for_model	exclusion_reason	library_size
2N-A1-0	1	2N-A1-0__bin01	6	0	0.05	0.025	0mg/kg	0	2N	99	0.494258724595185	TRUE	NA	538801
2N-A1-0	2	2N-A1-0__bin02	11	0.05	0.1	0.075	0mg/kg	0	2N	99	0.494258724595185	TRUE	NA	884559
2N-A1-0	3	2N-A1-0__bin03	5	0.1	0.15	0.125	0mg/kg	0	2N	99	0.494258724595185	TRUE	NA	331823
2N-A1-0	4	2N-A1-0__bin04	2	0.15	0.2	0.175	0mg/kg	0	2N	99	0.494258724595185	FALSE	cell_count<5	130830
2N-A1-0	5	2N-A1-0__bin05	5	0.2	0.25	0.225	0mg/kg	0	2N	99	0.494258724595185	TRUE	NA	255323
2N-A1-0	6	2N-A1-0__bin06	2	0.25	0.3	0.275	0mg/kg	0	2N	99	0.494258724595185	FALSE	cell_count<5	11208
2N-A1-0	7	2N-A1-0__bin07	1	0.3	0.35	0.325	0mg/kg	0	2N	99	0.494258724595185	FALSE	cell_count<5	19830
2N-A1-0	8	2N-A1-0__bin08	3	0.35	0.4	0.375	0mg/kg	0	2N	99	0.494258724595185	FALSE	cell_count<5	194694
2N-A1-0	9	2N-A1-0__bin09	7	0.4	0.45	0.425	0mg/kg	0	2N	99	0.494258724595185	TRUE	NA	339600
2N-A1-0	10	2N-A1-0__bin10	3	0.45	0.5	0.475	0mg/kg	0	2N	99	0.494258724595185	FALSE	cell_count<5	72432
2N-A1-0	11	2N-A1-0__bin11	4	0.5	0.55	0.525	0mg/kg	0	2N	99	0.494258724595185	FALSE	cell_count<5	253918
2N-A1-0	12	2N-A1-0__bin12	9	0.55	0.6	0.575	0mg/kg	0	2N	99	0.494258724595185	TRUE	NA	497318
2N-A1-0	13	2N-A1-0__bin13	2	0.6	0.65	0.625	0mg/kg	0	2N	99	0.494258724595185	FALSE	cell_count<5	109384
2N-A1-0	14	2N-A1-0__bin14	7	0.65	0.7	0.675	0mg/kg	0	2N	99	0.494258724595185	TRUE	NA	363910
2N-A1-0	15	2N-A1-0__bin15	5	0.7	0.75	0.725	0mg/kg	0	2N	99	0.494258724595185	TRUE	NA	478507
2N-A1-0	16	2N-A1-0__bin16	9	0.75	0.8	0.775	0mg/kg	0	2N	99	0.494258724595185	TRUE	NA	640782
2N-A1-0	17	2N-A1-0__bin17	6	0.8	0.85	0.825	0mg/kg	0	2N	99	0.494258724595185	TRUE	NA	761667
2N-A1-0	18	2N-A1-0__bin18	9	0.85	0.9	0.875	0mg/kg	0	2N	99	0.494258724595185	TRUE	NA	737585
2N-A1-0	19	2N-A1-0__bin19	3	0.9	0.95	0.925	0mg/kg	0	2N	99	0.494258724595185	FALSE	cell_count<5	359489
2N-A1-0	20	2N-A1-0__bin20	0	0.95	1	0.975	0mg/kg	0	2N	99	0.494258724595185	FALSE	cell_count<5	0
2N-A1-LR	1	2N-A1-LR__bin01	3	0	0.05	0.025	0mg/kg	0	2N	125	0.523321824155748	FALSE	cell_count<5	266959
2N-A1-LR	2	2N-A1-LR__bin02	15	0.05	0.1	0.075	0mg/kg	0	2N	125	0.523321824155748	TRUE	NA	1563840
2N-A1-LR	3	2N-A1-LR__bin03	3	0.1	0.15	0.125	0mg/kg	0	2N	125	0.523321824155748	FALSE	cell_count<5	234053
2N-A1-LR	4	2N-A1-LR__bin04	4	0.15	0.2	0.175	0mg/kg	0	2N	125	0.523321824155748	FALSE	cell_count<5	327114
2N-A1-LR	5	2N-A1-LR__bin05	5	0.2	0.25	0.225	0mg/kg	0	2N	125	0.523321824155748	TRUE	NA	272325
2N-A1-LR	6	2N-A1-LR__bin06	6	0.25	0.3	0.275	0mg/kg	0	2N	125	0.523321824155748	TRUE	NA	23919
2N-A1-LR	7	2N-A1-LR__bin07	7	0.3	0.35	0.325	0mg/kg	0	2N	125	0.523321824155748	TRUE	NA	223784
2N-A1-LR	8	2N-A1-LR__bin08	5	0.35	0.4	0.375	0mg/kg	0	2N	125	0.523321824155748	TRUE	NA	427766
2N-A1-LR	9	2N-A1-LR__bin09	1	0.4	0.45	0.425	0mg/kg	0	2N	125	0.523321824155748	FALSE	cell_count<5	216946
