rank	gene_id	gene_symbol	moderated_t	p_value	fdr	fitted_log_expr_difference	average_expression	B	contrast_id	model_id	symbol_resolution_rank	retained_for_gsea
1	GRCh38-NUP93-DT	NUP93-DT	5.7596891252768	2.85378569702049e-08	0.000230582360758995	0.946136140703982	0.285966380156692	8.55918432935702	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
2	GRCh38-ENSG00000248100	ENSG00000248100	5.63030454381448	5.52011201217356e-08	0.000230582360758995	0.881372383232746	0.0929341329661495	7.94498849189562	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
3	GRCh38-PTGER3	PTGER3	5.57164011524778	7.41959171797639e-08	0.000230582360758995	0.953666619846806	0.249263199691476	7.68071281029026	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
4	GRCh38-ENSG00000253181	ENSG00000253181	5.57067445860475	7.45566319605048e-08	0.000230582360758995	1.01613429079573	0.0306095943017774	7.66726885912397	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
5	GRCh38-XK	XK	5.52528165351512	9.35857031365919e-08	0.00025325461090051	0.884825442763168	0.10257737571582	7.46530367498393	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
6	GRCh38-DARS1-AS1	DARS1-AS1	5.46736593445247	1.24838646136757e-07	0.000261572876002576	0.846434523009633	1.75342594941866	7.26486205114237	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
7	GRCh38-ENSG00000269938	ENSG00000269938	5.45704804536202	1.31385118306832e-07	0.000261572876002576	0.840373090229476	-0.0724347100985853	7.14650264553106	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
8	GRCh38-ENSG00000286379	ENSG00000286379	5.42743107474786	1.52089179114851e-07	0.00027438155322145	0.856246279293961	-0.00529984455593859	7.01604594528619	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
9	GRCh38-LINC00222	LINC00222	5.3875126896977	1.85084457189786e-07	0.00027677475086775	0.863201008947739	-0.0180786294358858	6.83837467600347	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
10	GRCh38-ENSG00000289990	ENSG00000289990	5.37011024734825	2.01560370543051e-07	0.00027677475086775	0.821072556605211	-0.126734746043764	6.75519544342668	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
11	GRCh38-ANXA9	ANXA9	5.32648207814959	2.4939062715124e-07	0.000299947649288732	0.857301400117306	0.00393016767205137	6.56248344754143	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
12	GRCh38-GRTP1-AS1	GRTP1-AS1	5.28916460329372	2.98919368953431e-07	0.000316981562286188	0.918231132944163	0.00924844046549444	6.39989404305	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
13	GRCh38-ENSG00000290117	ENSG00000290117	5.25482275383621	3.52863552139869e-07	0.000336423121682621	0.942347680127172	0.606446680867143	6.26840227355771	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
14	GRCh38-TILRLS	TILRLS	5.25216178126169	3.57417515760556e-07	0.000336423121682621	0.812363017084948	-0.0308574143158329	6.23540809633394	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
15	GRCh38-LNP1	LNP1	5.23752822129014	3.83500361372559e-07	0.000345933305139772	0.802767346673798	2.49091721721458	6.22096261980028	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
16	GRCh38-ARHGEF2-AS2	ARHGEF2-AS2	5.21837619873326	4.20444787225166e-07	0.000364088367945505	0.858607137688564	0.0722011153549785	6.08885651116395	primary_adjacent_state	initial_ploidy_adjusted_grch_human_only_v3	1	TRUE
