collection_id	collection_label	collection_display_order	pathway_id	pathway_label	pathway_display_order	selected_direction	selected_rank_within_direction	pseudotime	standardized_activity
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0	-0.673331440305232
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.002	-0.668432108245054
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.004	-0.663532776184876
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.006	-0.658633444124698
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.008	-0.65373411206452
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.01	-0.648834780004343
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.012	-0.643935447944164
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.014	-0.639036115883987
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.016	-0.634136783823809
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.018	-0.629237451763631
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.02	-0.624338119703453
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.022	-0.619438787643275
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.024	-0.614539455583097
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.026	-0.609640048300209
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.028	-0.604738760449553
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.03	-0.599832056563726
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.032	-0.594916325952614
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.034	-0.589987957926105
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.036	-0.585043341794083
H	Hallmark	1	HALLMARK_HEDGEHOG_SIGNALING	Hedgehog Signaling	1	positive	1	0.038	-0.580078866866436
