collection_id	pathway_id	leading_edge_gene_id	leading_edge_rank
H	HALLMARK_HEDGEHOG_SIGNALING	ACHE	1
H	HALLMARK_HEDGEHOG_SIGNALING	L1CAM	2
H	HALLMARK_HEDGEHOG_SIGNALING	AMOT	3
H	HALLMARK_HEDGEHOG_SIGNALING	VEGFA	4
H	HALLMARK_HEDGEHOG_SIGNALING	SLIT1	5
H	HALLMARK_HEDGEHOG_SIGNALING	CRMP1	6
H	HALLMARK_HEDGEHOG_SIGNALING	NKX6-1	7
H	HALLMARK_HEDGEHOG_SIGNALING	VLDLR	8
H	HALLMARK_HEDGEHOG_SIGNALING	NRCAM	9
H	HALLMARK_KRAS_SIGNALING_DN	CDH16	1
H	HALLMARK_KRAS_SIGNALING_DN	ITGB1BP2	2
H	HALLMARK_KRAS_SIGNALING_DN	YPEL1	3
H	HALLMARK_KRAS_SIGNALING_DN	EDN2	4
H	HALLMARK_KRAS_SIGNALING_DN	TGM1	5
H	HALLMARK_KRAS_SIGNALING_DN	EPHA5	6
H	HALLMARK_KRAS_SIGNALING_DN	GDNF	7
H	HALLMARK_KRAS_SIGNALING_DN	STAG3	8
H	HALLMARK_KRAS_SIGNALING_DN	IL5	9
H	HALLMARK_KRAS_SIGNALING_DN	UPK3B	10
H	HALLMARK_KRAS_SIGNALING_DN	PKP1	11
H	HALLMARK_KRAS_SIGNALING_DN	FGFR3	12
H	HALLMARK_KRAS_SIGNALING_DN	DLK2	13
H	HALLMARK_KRAS_SIGNALING_DN	GPRC5C	14
H	HALLMARK_KRAS_SIGNALING_DN	SLC5A5	15
H	HALLMARK_KRAS_SIGNALING_DN	EFHD1	16
H	HALLMARK_KRAS_SIGNALING_DN	SMPX	17
H	HALLMARK_KRAS_SIGNALING_DN	IGFBP2	18
H	HALLMARK_KRAS_SIGNALING_DN	FGF22	19
H	HALLMARK_KRAS_SIGNALING_DN	TCF7L1	20
H	HALLMARK_KRAS_SIGNALING_DN	CACNA1F	21
H	HALLMARK_KRAS_SIGNALING_DN	TFCP2L1	22
H	HALLMARK_KRAS_SIGNALING_DN	PDK2	23
H	HALLMARK_KRAS_SIGNALING_DN	KCNN1	24
H	HALLMARK_KRAS_SIGNALING_DN	CD80	25
H	HALLMARK_KRAS_SIGNALING_DN	EGF	26
H	HALLMARK_KRAS_SIGNALING_DN	CALCB	27
H	HALLMARK_KRAS_SIGNALING_DN	ARPP21	28
H	HALLMARK_KRAS_SIGNALING_DN	GAMT	29
H	HALLMARK_KRAS_SIGNALING_DN	TFAP2B	30
H	HALLMARK_KRAS_SIGNALING_DN	SLC6A3	31
H	HALLMARK_KRAS_SIGNALING_DN	TG	32
H	HALLMARK_KRAS_SIGNALING_DN	KRT5	33
H	HALLMARK_KRAS_SIGNALING_DN	MACROH2A2	34
H	HALLMARK_KRAS_SIGNALING_DN	ABCB11	35
H	HALLMARK_KRAS_SIGNALING_DN	SIDT1	36
H	HALLMARK_KRAS_SIGNALING_DN	TAS2R4	37
H	HALLMARK_KRAS_SIGNALING_DN	MYO15A	38
H	HALLMARK_KRAS_SIGNALING_DN	RYR1	39
H	HALLMARK_KRAS_SIGNALING_DN	NPHS1	40
H	HALLMARK_KRAS_SIGNALING_DN	GRID2	41
H	HALLMARK_KRAS_SIGNALING_DN	THRB	42
H	HALLMARK_KRAS_SIGNALING_DN	CELSR2	43
H	HALLMARK_KRAS_SIGNALING_DN	SGK1	44
H	HALLMARK_KRAS_SIGNALING_DN	SLC30A3	45
H	HALLMARK_KRAS_SIGNALING_DN	P2RX6	46
H	HALLMARK_KRAS_SIGNALING_DN	HSD11B2	47
H	HALLMARK_KRAS_SIGNALING_DN	DCC	48
H	HALLMARK_KRAS_SIGNALING_DN	EDN1	49
H	HALLMARK_KRAS_SIGNALING_DN	KRT15	50
H	HALLMARK_KRAS_SIGNALING_DN	CAMK1D	51
H	HALLMARK_KRAS_SIGNALING_DN	CPA2	52
H	HALLMARK_KRAS_SIGNALING_DN	FGGY	53
H	HALLMARK_KRAS_SIGNALING_DN	BTG2	54
H	HALLMARK_KRAS_SIGNALING_DN	C5	55
H	HALLMARK_KRAS_SIGNALING_DN	BMPR1B	56
H	HALLMARK_KRAS_SIGNALING_DN	SLC29A3	57
H	HALLMARK_KRAS_SIGNALING_DN	MAGIX	58
H	HALLMARK_KRAS_SIGNALING_DN	RSAD2	59
H	HALLMARK_KRAS_SIGNALING_DN	ENTPD7	60
H	HALLMARK_KRAS_SIGNALING_DN	SLC25A23	61
H	HALLMARK_KRAS_SIGNALING_DN	ZBTB16	62
H	HALLMARK_KRAS_SIGNALING_DN	NUDT11	63
H	HALLMARK_MYOGENESIS	LDB3	1
H	HALLMARK_MYOGENESIS	MYOM2	2
H	HALLMARK_MYOGENESIS	PTGIS	3
H	HALLMARK_MYOGENESIS	ACHE	4
H	HALLMARK_MYOGENESIS	VIPR1	5
H	HALLMARK_MYOGENESIS	ACTN3	6
H	HALLMARK_MYOGENESIS	SPDEF	7
H	HALLMARK_MYOGENESIS	ERBB3	8
H	HALLMARK_MYOGENESIS	LSP1	9
H	HALLMARK_MYOGENESIS	ITGA7	10
H	HALLMARK_MYOGENESIS	MYOM1	11
H	HALLMARK_MYOGENESIS	IGF1	12
H	HALLMARK_MYOGENESIS	EFS	13
H	HALLMARK_MYOGENESIS	REEP1	14
H	HALLMARK_MYOGENESIS	TNNT3	15
H	HALLMARK_MYOGENESIS	DTNA	16
H	HALLMARK_MYOGENESIS	CTF1	17
H	HALLMARK_MYOGENESIS	SGCG	18
H	HALLMARK_MYOGENESIS	MYBPC3	19
H	HALLMARK_MYOGENESIS	EIF4A2	20
H	HALLMARK_MYOGENESIS	PPP1R3C	21
H	HALLMARK_MYOGENESIS	TNNI2	22
H	HALLMARK_MYOGENESIS	EPHB3	23
H	HALLMARK_MYOGENESIS	FXYD1	24
H	HALLMARK_MYOGENESIS	SLC6A8	25
H	HALLMARK_MYOGENESIS	FST	26
H	HALLMARK_MYOGENESIS	MB	27
H	HALLMARK_MYOGENESIS	HDAC5	28
H	HALLMARK_MYOGENESIS	CHRNA1	29
H	HALLMARK_MYOGENESIS	MYH3	30
H	HALLMARK_MYOGENESIS	NOTCH1	31
H	HALLMARK_MYOGENESIS	MYL11	32
H	HALLMARK_MYOGENESIS	MEF2D	33
H	HALLMARK_MYOGENESIS	TNNC2	34
H	HALLMARK_MYOGENESIS	KCNH1	35
H	HALLMARK_MYOGENESIS	BHLHE40	36
H	HALLMARK_MYOGENESIS	CD36	37
H	HALLMARK_MYOGENESIS	PPFIA4	38
H	HALLMARK_MYOGENESIS	FKBP1B	39
H	HALLMARK_MYOGENESIS	PYGM	40
H	HALLMARK_MYOGENESIS	FOXO4	41
H	HALLMARK_MYOGENESIS	COL3A1	42
H	HALLMARK_MYOGENESIS	KCNH2	43
H	HALLMARK_MYOGENESIS	MYL3	44
H	HALLMARK_MYOGENESIS	ATP2A1	45
H	HALLMARK_APICAL_SURFACE	PCSK9	1
H	HALLMARK_APICAL_SURFACE	CD160	2
H	HALLMARK_APICAL_SURFACE	GHRL	3
H	HALLMARK_APICAL_SURFACE	RTN4RL1	4
H	HALLMARK_APICAL_SURFACE	GAS1	5
H	HALLMARK_APICAL_SURFACE	CROCC	6
H	HALLMARK_APICAL_SURFACE	SCUBE1	7
H	HALLMARK_APICAL_SURFACE	RHCG	8
H	HALLMARK_MYC_TARGETS_V1	PCNA	1
H	HALLMARK_MYC_TARGETS_V1	MCM5	2
H	HALLMARK_MYC_TARGETS_V1	KPNB1	3
H	HALLMARK_MYC_TARGETS_V1	MCM6	4
H	HALLMARK_MYC_TARGETS_V1	TYMS	5
H	HALLMARK_MYC_TARGETS_V1	LSM7	6
H	HALLMARK_MYC_TARGETS_V1	SNRPG	7
H	HALLMARK_MYC_TARGETS_V1	DUT	8
H	HALLMARK_MYC_TARGETS_V1	SRM	9
H	HALLMARK_MYC_TARGETS_V1	TFDP1	10
H	HALLMARK_MYC_TARGETS_V1	NDUFAB1	11
H	HALLMARK_MYC_TARGETS_V1	MCM7	12
H	HALLMARK_MYC_TARGETS_V1	PPM1G	13
H	HALLMARK_MYC_TARGETS_V1	MCM2	14
H	HALLMARK_MYC_TARGETS_V1	SRSF2	15
H	HALLMARK_MYC_TARGETS_V1	RANBP1	16
H	HALLMARK_MYC_TARGETS_V1	PSMA4	17
H	HALLMARK_MYC_TARGETS_V1	TXNL4A	18
H	HALLMARK_MYC_TARGETS_V1	USP1	19
H	HALLMARK_MYC_TARGETS_V1	NME1	20
H	HALLMARK_MYC_TARGETS_V1	MCM4	21
H	HALLMARK_MYC_TARGETS_V1	SNRPD1	22
H	HALLMARK_MYC_TARGETS_V1	H2AZ1	23
H	HALLMARK_MYC_TARGETS_V1	NOP56	24
H	HALLMARK_MYC_TARGETS_V1	SET	25
H	HALLMARK_MYC_TARGETS_V1	PRDX4	26
H	HALLMARK_MYC_TARGETS_V1	PSMA7	27
H	HALLMARK_MYC_TARGETS_V1	PHB2	28
H	HALLMARK_MYC_TARGETS_V1	HSPE1	29
H	HALLMARK_MYC_TARGETS_V1	EIF1AX	30
H	HALLMARK_MYC_TARGETS_V1	RFC4	31
H	HALLMARK_MYC_TARGETS_V1	NHP2	32
H	HALLMARK_MYC_TARGETS_V1	GLO1	33
H	HALLMARK_MYC_TARGETS_V1	SSBP1	34
H	HALLMARK_MYC_TARGETS_V1	SNRPD3	35
H	HALLMARK_MYC_TARGETS_V1	ABCE1	36
H	HALLMARK_MYC_TARGETS_V1	RAN	37
H	HALLMARK_MYC_TARGETS_V1	NAP1L1	38
H	HALLMARK_MYC_TARGETS_V1	CDC45	39
H	HALLMARK_MYC_TARGETS_V1	PSMB2	40
H	HALLMARK_MYC_TARGETS_V1	PA2G4	41
H	HALLMARK_MYC_TARGETS_V1	MRPL9	42
H	HALLMARK_MYC_TARGETS_V1	ERH	43
H	HALLMARK_MYC_TARGETS_V1	PSMA1	44
H	HALLMARK_MYC_TARGETS_V1	PHB1	45
H	HALLMARK_MYC_TARGETS_V1	C1QBP	46
H	HALLMARK_MYC_TARGETS_V1	SRSF7	47
H	HALLMARK_MYC_TARGETS_V1	XRCC6	48
H	HALLMARK_MYC_TARGETS_V1	HSP90AB1	49
H	HALLMARK_MYC_TARGETS_V1	HPRT1	50
H	HALLMARK_MYC_TARGETS_V1	SERBP1	51
H	HALLMARK_MYC_TARGETS_V1	CTPS1	52
H	HALLMARK_MYC_TARGETS_V1	SNRPD2	53
H	HALLMARK_MYC_TARGETS_V1	PSMA2	54
H	HALLMARK_MYC_TARGETS_V1	PTGES3	55
H	HALLMARK_MYC_TARGETS_V1	CCT2	56
H	HALLMARK_MYC_TARGETS_V1	UBE2L3	57
H	HALLMARK_MYC_TARGETS_V1	COX5A	58
H	HALLMARK_MYC_TARGETS_V1	SNRPA	59
H	HALLMARK_MYC_TARGETS_V1	CDK4	60
H	HALLMARK_MYC_TARGETS_V1	SLC25A3	61
H	HALLMARK_MYC_TARGETS_V1	VDAC3	62
H	HALLMARK_MYC_TARGETS_V1	NPM1	63
H	HALLMARK_MYC_TARGETS_V1	PRDX3	64
H	HALLMARK_MYC_TARGETS_V1	FBL	65
H	HALLMARK_MYC_TARGETS_V1	EIF2S2	66
