key	value
module	in_vivo_figure7
mode	standard
panel_set	a-f
tgi_outcome	day
tgi_day	31
tgi_measure	TGI_percent_Day_31
matched_control_summary	mean
matched_control_group	initial_ploidy
ecdf_reference_group_column	initial_ploidy
ecdf_reference_definition	untreated_equal_sample_mean_ecdf
etp_method	reference_balanced
etp_threshold	2.24
state_pathway_reference_id	state_pathway_grch_human_only_initial_ploidy_day17_v3
state_pathway_reference_kind	reviewed_human_only_initial_ploidy_frozen
canonical_publication_allowed	true
state_interval_start	0.3
state_interval_end	0.49
state_pathway_source_results_root	not_recorded
config_sha256	8258a958feb7c422cf5b3f8fc3084f297d05b6c8ba02fb7a5052f866b39416f3
cellcycle_input	Data/in-vivo/figure7/processed/CellCycleCells_pseudotime_distribution_per_sample_cell_level_with_ploidy_dose_tgi.csv
cellcycle_sha256	bd0c6fcf3f6691114445a7c8a9fb8de7e55ef6580a9737284cd38f5bba216186
noncellcycle_input	Data/in-vivo/figure7/processed/NonCellCycleCells_pseudotime_distribution_per_sample_cell_level_with_ploidy_dose_tgi.csv
noncellcycle_sha256	1e44794fb2b2c402b49cf9d17abcc54cd7690dc5d1d611e38a6aa3b996093d3c
endpoint_ploidy_input	Data/in-vivo/scRNAseq_Numbat/all_ploidy.csv
endpoint_ploidy_sha256	80f4e6b78e7b6d8b73030da4889ecb5c09ee97c9f83fb771aec4d3908511b569
endpoint_ploidy_n_cells	14125
endpoint_ploidy_n_files	16
endpoint_ploidy_score_policy	arithmetic_mean_of_all_finite_postprocessed_cell_ploidy_per_cbs_file
endpoint_ploidy_mapping_policy	exact_sample_growth_curve_harvest_plus_.sps.cbs
main_composite_panel_set	a-k
main_composite_filename	Figure7_reviewed_GRCh.png
main_composite_panel_order	A=7A;B=7C;C=SI4A;D=SI4B;E=SI4C;F=SI4E;G=SI7B;H=7B;I=7F;J=7D;K=7E
si_context_cache_policy	reviewed
si_context_cache_kind	reviewed_human_only_frozen
si_context_cache_manifest	Data/in-vivo/SIfigures/manifest.tsv
si_context_cache_manifest_sha256	b624c3f3ff945c51f09b9e6e512a97df57eb4e514b3fba28a65e97a38207f135
si_context_cache_canonical_publication_allowed	true
si_context_upstream_input_manifest	not_recorded
si_context_upstream_input_manifest_sha256	not_applicable
si_context_source_run_config	not_recorded
si_context_source_run_config_sha256	not_applicable
si_context_source_provenance	not_recorded
si_context_source_provenance_sha256	not_applicable
reviewed_si_cache_manifest	Data/in-vivo/SIfigures/manifest.tsv
reviewed_si_cache_manifest_sha256	b624c3f3ff945c51f09b9e6e512a97df57eb4e514b3fba28a65e97a38207f135
