sample_id,bin_id,sample_bin_id,cell_count,bin_start,bin_end,bin_midpoint,dose,dose_mg,initial_ploidy,n_cells,mean_pseudotime,n_endpoint_ploidy_cells,sample_mean_endpoint_ploidy,sample_median_endpoint_ploidy,sample_max_endpoint_ploidy,sample_mean_endpoint_ploidy_scaled,ETP_fixed_threshold_2_25_group,ETP_boundary_stress_threshold_2_375_group,ETP_reference_balanced_threshold_2_24_group,retained_for_model,exclusion_reason,library_size
2N-A1-0,1,2N-A1-0__bin01,6,0,0.05,0.025,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,TRUE,,545813
2N-A1-0,2,2N-A1-0__bin02,11,0.05,0.1,0.07500000000000001,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,TRUE,,900573
2N-A1-0,3,2N-A1-0__bin03,5,0.1,0.15000000000000002,0.125,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,TRUE,,336244
2N-A1-0,4,2N-A1-0__bin04,2,0.15000000000000002,0.2,0.17500000000000002,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,137553
2N-A1-0,5,2N-A1-0__bin05,5,0.2,0.25,0.225,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,TRUE,,258930
2N-A1-0,6,2N-A1-0__bin06,2,0.25,0.30000000000000004,0.275,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,11496
2N-A1-0,7,2N-A1-0__bin07,1,0.30000000000000004,0.35000000000000003,0.32500000000000007,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,20102
2N-A1-0,8,2N-A1-0__bin08,3,0.35000000000000003,0.4,0.375,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,196987
2N-A1-0,9,2N-A1-0__bin09,7,0.4,0.45,0.42500000000000004,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,TRUE,,343864
2N-A1-0,10,2N-A1-0__bin10,3,0.45,0.5,0.475,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,73513
2N-A1-0,11,2N-A1-0__bin11,4,0.5,0.55,0.525,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,257171
2N-A1-0,12,2N-A1-0__bin12,9,0.55,0.6000000000000001,0.5750000000000001,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,TRUE,,504151
2N-A1-0,13,2N-A1-0__bin13,2,0.6000000000000001,0.65,0.625,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,FALSE,cell_count<5,110917
2N-A1-0,14,2N-A1-0__bin14,7,0.65,0.7000000000000001,0.675,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,TRUE,,368833
2N-A1-0,15,2N-A1-0__bin15,5,0.7000000000000001,0.75,0.7250000000000001,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,TRUE,,484672
2N-A1-0,16,2N-A1-0__bin16,9,0.75,0.8,0.775,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,TRUE,,657879
2N-A1-0,17,2N-A1-0__bin17,6,0.8,0.8500000000000001,0.8250000000000001,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,TRUE,,770861
2N-A1-0,18,2N-A1-0__bin18,9,0.8500000000000001,0.9,0.875,0mg/kg,0,2N,99,0.4942587245951852,413,2.124763482010055,2.1187227183587054,2.220680653062113,-0.64922875255777035,ETP-lower,ETP-lower,ETP-lower,TRUE,,747570
