gene,gene_symbol,contrast_id,fitted_log_expr_difference,average_expression,t_statistic,p_value,fdr,B,model_id
GRCh38-ENSG00000253181,ENSG00000253181,primary_adjacent_state,1.0978467116497557,0.005048393030066601,6.0027140464841,7.777609636389114e-9,1.216429702434965e-4,9.771406581366861,ETP_reference_balanced_threshold_2_24
GRCh38-POLD3,POLD3,primary_adjacent_state,-0.5303064751938052,6.153442556915712,-5.955696306698476,9.973780214547108e-9,1.216429702434965e-4,9.500008688368593,ETP_reference_balanced_threshold_2_24
GRCh38-NUP93-DT,NUP93-DT,primary_adjacent_state,0.9799084409248572,0.26040517888498055,5.909440113360514,1.272221286142091e-8,1.216429702434965e-4,9.33192010433027,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000248100,ENSG00000248100,primary_adjacent_state,0.9207472011046032,0.06737293169443861,5.856028723388733,1.6823590380125372e-8,1.216429702434965e-4,9.062535045434448,ETP_reference_balanced_threshold_2_24
GRCh38-XK,XK,primary_adjacent_state,0.9350088224019653,0.07701617444410992,5.764077386338217,2.7106479994194564e-8,1.5003168993167948e-4,8.628835202966894,ETP_reference_balanced_threshold_2_24
GRCh38-LINC00222,LINC00222,primary_adjacent_state,0.9185418710554442,-0.043639830707596625,5.725927309562878,3.298813922146465e-8,1.5003168993167948e-4,8.442425205151025,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000286379,ENSG00000286379,primary_adjacent_state,0.9047043585486615,-0.03086104582764941,5.701111645255459,3.7464785311452446e-8,1.5003168993167948e-4,8.323012392620157,ETP_reference_balanced_threshold_2_24
GRCh38-MCM10,MCM10,primary_adjacent_state,-0.7064401970656777,5.026488441596902,-5.686567434182138,4.149967220294018e-8,1.5003168993167948e-4,8.208518792563897,ETP_reference_balanced_threshold_2_24
GRCh38-ANXA9,ANXA9,primary_adjacent_state,0.9084585409953869,-0.021631033599659455,5.657186675930036,4.688541110278175e-8,1.5066887332385043e-4,8.113331898447719,ETP_reference_balanced_threshold_2_24
GRCm39-Polr2m,Polr2m,primary_adjacent_state,0.9190092603231234,0.4279584057322777,5.631871740360862,5.332635457564408e-8,1.542304827036778e-4,8.027739140347112,ETP_reference_balanced_threshold_2_24
GRCh38-DARS1-AS1,DARS1-AS1,primary_adjacent_state,0.8607125240384752,1.7278647481469471,5.581931673457799,6.866158458692465e-8,1.8053003176573043e-4,7.829429471855696,ETP_reference_balanced_threshold_2_24
GRCh38-PTGER3,PTGER3,primary_adjacent_state,0.9594859496415594,0.2237019984197656,5.516932793056663,9.518302582838006e-8,1.99373870560105e-4,7.476142545720108,ETP_reference_balanced_threshold_2_24
GRCh38-MCM5,MCM5,primary_adjacent_state,-0.522421784636044,5.271456957142108,-5.5095923473262625,9.874270632430013e-8,1.99373870560105e-4,7.352252403662952,ETP_reference_balanced_threshold_2_24
GRCh38-PCNA,PCNA,primary_adjacent_state,-0.5292840955288045,7.133606966009918,-5.509796433609554,1.0161298636361745e-7,1.99373870560105e-4,7.1780809482382395,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000287402,ENSG00000287402,primary_adjacent_state,0.9092094992020515,-0.02229694570680263,5.490246650141396,1.0875711938994892e-7,1.99373870560105e-4,7.343630943556547,ETP_reference_balanced_threshold_2_24
GRCh38-TILRLS,TILRLS,primary_adjacent_state,0.8509295841692726,-0.05641861558754389,5.487428729228821,1.1029603516221838e-7,1.99373870560105e-4,7.32948262295696,ETP_reference_balanced_threshold_2_24
GRCm39-Etv1,Etv1,primary_adjacent_state,0.8786506215623063,0.0516570457900698,5.456587018964249,1.2858875460803725e-7,2.0126296396520525e-4,7.199880671619125,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000290117,ENSG00000290117,primary_adjacent_state,0.9690160132463259,0.5808854795954317,5.441688690038881,1.3845234757655832e-7,2.0126296396520525e-4,7.146880230798582,ETP_reference_balanced_threshold_2_24
GRCm39-Pmpcb,Pmpcb,primary_adjacent_state,0.903117594082576,0.08207760852229393,5.441169406904801,1.388091071025409e-7,2.0126296396520525e-4,7.127461531138324,ETP_reference_balanced_threshold_2_24
GRCh38-INHBC,INHBC,primary_adjacent_state,0.9114027847115086,0.031672617561724965,5.440636175975433,1.3917638058585524e-7,2.0126296396520525e-4,7.121956452075178,ETP_reference_balanced_threshold_2_24
GRCh38-KPNB1,KPNB1,primary_adjacent_state,-0.26097700884041253,8.07452741219631,-5.398210440730777,1.7163869713165248e-7,2.0966149138115225e-4,6.573543952360184,ETP_reference_balanced_threshold_2_24
GRCm39-Cdc25b,Cdc25b,primary_adjacent_state,0.8285492651412578,0.0355518628903335,5.390783644869279,1.780335170254305e-7,2.0966149138115225e-4,6.894784174968786,ETP_reference_balanced_threshold_2_24
GRCh38-ENSG00000289990,ENSG00000289990,primary_adjacent_state,0.8370110661664014,-0.15229594731547513,5.384689608855834,1.8345342822992867e-7,2.0966149138115225e-4,6.860100753649138,ETP_reference_balanced_threshold_2_24
GRCh38-LIG1,LIG1,primary_adjacent_state,-0.4616476080138562,5.485359629007019,-5.381799292742243,1.8607982950798884e-7,2.0966149138115225e-4,6.738775903288921,ETP_reference_balanced_threshold_2_24
GRCh38-GMNN,GMNN,primary_adjacent_state,-0.40580203920980806,6.44779290823222,-5.379938062469481,1.877904401996796e-7,2.0966149138115225e-4,6.643888535576266,ETP_reference_balanced_threshold_2_24
GRCm39-Rfx3,Rfx3,primary_adjacent_state,0.921674062686523,0.18288191851876853,5.379193186926276,1.8847931595014032e-7,2.0966149138115225e-4,6.856201926252386,ETP_reference_balanced_threshold_2_24
GRCh38-FEN1,FEN1,primary_adjacent_state,-0.4815016434677771,6.084366697793026,-5.349520792879808,2.1801331247233368e-7,2.2682399398147443e-4,6.535355658745932,ETP_reference_balanced_threshold_2_24
GRCh38-GRTP1-AS1,GRTP1-AS1,primary_adjacent_state,0.9339363831020593,-0.016312760806216287,5.3480459852374604,2.1959310668284645e-7,2.2682399398147443e-4,6.699665523183312,ETP_reference_balanced_threshold_2_24
GRCm39-Ap4b1,Ap4b1,primary_adjacent_state,0.8450520167228036,0.019280350075949533,5.340099369867755,2.2829895833708317e-7,2.2768491286293514e-4,6.665793439603588,ETP_reference_balanced_threshold_2_24
GRCm39-2210408F21Rik,2210408F21Rik,primary_adjacent_state,0.9259144310273237,0.1863186017356854,5.3228720652816035,2.48340474941856e-7,2.299484746845029e-4,6.595592447924385,ETP_reference_balanced_threshold_2_24
GRCh38-MCM3,MCM3,primary_adjacent_state,-0.46257312038654463,6.411787101628882,-5.320233945522888,2.5155687718999765e-7,2.299484746845029e-4,6.358177296267557,ETP_reference_balanced_threshold_2_24
GRCh38-ARHGEF2-AS2,ARHGEF2-AS2,primary_adjacent_state,0.8847788240860356,0.04663991408326745,5.317912594749129,2.5442055147998383e-7,2.299484746845029e-4,6.565237970120121,ETP_reference_balanced_threshold_2_24
GRCh38-LINC02054,LINC02054,primary_adjacent_state,0.875197505169967,-0.07593106954483866,5.298220802725601,2.800221341536599e-7,2.454181867876409e-4,6.475199206006461,ETP_reference_balanced_threshold_2_24
GRCh38-MCM6,MCM6,primary_adjacent_state,-0.5417063685557896,5.269486880333924,-5.289615148942375,2.9198134850900647e-7,2.4837307534051424e-4,6.309857441960793,ETP_reference_balanced_threshold_2_24
GRCm39-4933433G15Rik,4933433G15Rik,primary_adjacent_state,0.8492404086775187,-0.006025432892418512,5.278925457088566,3.075295712557417e-7,2.5412486456738746e-4,6.392793708102563,ETP_reference_balanced_threshold_2_24
