gene,gene_symbol,contrast_id,t_statistic,p_value,fdr,resolution_rank,retained_for_gsea,model_id
GRCm39-0610010K14Rik,0610010K14Rik,primary_adjacent_state,2.6110444976106537,0.00963843937016269,0.03958576305933618,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-0610030E20Rik,0610030E20Rik,primary_adjacent_state,1.3221855224628831,0.18745959868409737,0.3202236437978539,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-0610040J01Rik,0610040J01Rik,primary_adjacent_state,2.190483703010393,0.02952440183656646,0.08510875146907083,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1110004F10Rik,1110004F10Rik,primary_adjacent_state,2.1777067020824004,0.030475802563361753,0.08704534482891059,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1110038B12Rik,1110038B12Rik,primary_adjacent_state,1.5008848750409975,0.13479848780319406,0.25275306640858075,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1110038F14Rik,1110038F14Rik,primary_adjacent_state,2.732013238351615,0.006798526179295472,0.031364966367456316,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1110059E24Rik,1110059E24Rik,primary_adjacent_state,3.430766150793042,7.169503404834244e-4,0.0077836478031012004,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1110059G10Rik,1110059G10Rik,primary_adjacent_state,2.937096659934841,0.0036601975453714776,0.0211340054715979,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1110065P20Rik,1110065P20Rik,primary_adjacent_state,2.6543667107079116,0.00851762656372686,0.036414899553009354,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1500011B03Rik,1500011B03Rik,primary_adjacent_state,1.3723797225111183,0.17132267593443365,0.301087344800127,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1600010M07Rik,1600010M07Rik,primary_adjacent_state,1.5079227262514294,0.13298829555264705,0.25039303977434135,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1600012H06Rik,1600012H06Rik,primary_adjacent_state,3.018528820380057,0.0028352750510439663,0.01784199848265744,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1600014C10Rik,1600014C10Rik,primary_adjacent_state,0.1038167214635523,0.9174080109537147,0.9497878899199362,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1600020E01Rik,1600020E01Rik,primary_adjacent_state,3.2296885147660217,0.0014260596414832284,0.01157450847889954,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1700016P03Rik,1700016P03Rik,primary_adjacent_state,2.537039335553085,0.011862191005686572,0.045501198461889235,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1700017B05Rik,1700017B05Rik,primary_adjacent_state,-0.029980610846151574,0.9761093044025735,0.9847684882065777,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1700025G04Rik,1700025G04Rik,primary_adjacent_state,3.295456963295427,0.0011428723445906911,0.010164253982242303,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1700054A03Rik,1700054A03Rik,primary_adjacent_state,3.453810978178087,6.612565946751124e-4,0.0074220144519887826,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1700096K18Rik,1700096K18Rik,primary_adjacent_state,1.6164439555979022,0.10741072312158283,0.2143027686342728,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1700109H08Rik,1700109H08Rik,primary_adjacent_state,2.38273938275147,0.01802282140512602,0.06065280223887276,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1700123O20Rik,1700123O20Rik,primary_adjacent_state,1.925731751587406,0.055408265326417405,0.13314372297861782,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1810009A15Rik,1810009A15Rik,primary_adjacent_state,1.9244206833455164,0.05557322608996675,0.13344033582183631,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1810030O07Rik,1810030O07Rik,primary_adjacent_state,3.97459710260255,9.520369479533821e-5,0.0027479852902901913,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-1810037I17Rik,1810037I17Rik,primary_adjacent_state,1.0238044928919479,0.30703585547430956,0.4536247566591884,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2210016F16Rik,2210016F16Rik,primary_adjacent_state,1.742654602837342,0.08277110740721873,0.17757181916114292,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2210408F21Rik,2210408F21Rik,primary_adjacent_state,5.3228720652816035,2.48340474941856e-7,2.299484746845029e-4,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2300009A05Rik,2300009A05Rik,primary_adjacent_state,3.562873342919713,4.4843031312331557e-4,0.006021529658776874,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2310001H17Rik,2310001H17Rik,primary_adjacent_state,2.404925956054233,0.016991399529108712,0.05833633157417879,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2310010J17Rik,2310010J17Rik,primary_adjacent_state,3.0732977713387872,0.002380597120250281,0.01587174502348516,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2310011J03Rik,2310011J03Rik,primary_adjacent_state,1.068974609341377,0.2862357209906746,0.4313521010052257,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2310015A10Rik,2310015A10Rik,primary_adjacent_state,3.0612508120615374,0.0024744200063803955,0.016275909807717488,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2310022B05Rik,2310022B05Rik,primary_adjacent_state,2.315361661760109,0.021501144244949647,0.06846970441902746,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2310039H08Rik,2310039H08Rik,primary_adjacent_state,2.3879314232804045,0.017776624488479456,0.06010469177645579,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2410002F23Rik,2410002F23Rik,primary_adjacent_state,3.2987830278500594,0.0011300450865393509,0.010096745132187552,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2410004B18Rik,2410004B18Rik,primary_adjacent_state,2.539318042206776,0.011787402876633572,0.045334476861435664,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2410006H16Rik,2410006H16Rik,primary_adjacent_state,1.6399810518042985,0.10241754448659841,0.20718473957063713,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2510009E07Rik,2510009E07Rik,primary_adjacent_state,2.4073499813916115,0.016881932359882904,0.05806611571707556,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2510039O18Rik,2510039O18Rik,primary_adjacent_state,1.9993978102833903,0.04677773216882272,0.11788999388172627,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2810001A02Rik,2810001A02Rik,primary_adjacent_state,2.0141098270049285,0.04519799742716274,0.11505180348749611,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2810004N23Rik,2810004N23Rik,primary_adjacent_state,3.5766215282556053,4.267206418583888e-4,0.005876959239918249,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2810013P06Rik,2810013P06Rik,primary_adjacent_state,3.8040887432644417,1.8377115314109656e-4,0.00376152108361415,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-2900026A02Rik,2900026A02Rik,primary_adjacent_state,4.534318820930611,9.428214068896703e-6,0.001090731229202522,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-3110056K07Rik,3110056K07Rik,primary_adjacent_state,3.271596277139696,0.0012389420077807644,0.010689940557588087,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-3110082I17Rik,3110082I17Rik,primary_adjacent_state,1.7516985203360604,0.08119898587882521,0.17519112790655594,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4632427E13Rik,4632427E13Rik,primary_adjacent_state,2.1279739923382928,0.03443566992379289,0.0948432002224491,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4732440D04Rik,4732440D04Rik,primary_adjacent_state,2.5253389544715406,0.012252913981060619,0.04648809893220979,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4732465J04Rik,4732465J04Rik,primary_adjacent_state,2.1769543798935707,0.030532639242488363,0.08716464240166306,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4833407H14Rik,4833407H14Rik,primary_adjacent_state,1.32623120605044,0.1861184999849482,0.3187625825031369,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4833420G17Rik,4833420G17Rik,primary_adjacent_state,2.019125855797179,0.04466984483394095,0.11411278895482477,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4833438C02Rik,4833438C02Rik,primary_adjacent_state,1.1619675418639972,0.24648953858426684,0.38783448257339703,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4833439L19Rik,4833439L19Rik,primary_adjacent_state,4.063725304109567,6.691547009255899e-5,0.002287623198601644,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4930430E12Rik,4930430E12Rik,primary_adjacent_state,1.8016061547650553,0.07295675406641146,0.16233691653398616,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4930453N24Rik,4930453N24Rik,primary_adjacent_state,2.192607345520247,0.029368789509707716,0.08488947933237724,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4930523C07Rik,4930523C07Rik,primary_adjacent_state,3.057611387774324,0.002503427067477585,0.01640546159863563,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4930581F22Rik,4930581F22Rik,primary_adjacent_state,3.8663933434012394,1.4488719518321482e-4,0.003371220803772276,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4930599N23Rik,4930599N23Rik,primary_adjacent_state,3.540287916119142,4.863617315181742e-4,0.006285435915599464,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4933412O06Rik,4933412O06Rik,primary_adjacent_state,2.7480699540945666,0.006484859041267559,0.030383322381374134,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4933432I03Rik,4933432I03Rik,primary_adjacent_state,3.1933835364680543,0.0016090254240052465,0.012483155338146307,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4933433G15Rik,4933433G15Rik,primary_adjacent_state,5.278925457088566,3.075295712557417e-7,2.5412486456738746e-4,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-4933434E20Rik,4933434E20Rik,primary_adjacent_state,1.2975037004065983,0.19579723030131174,0.32988742250812875,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-5031425E22Rik,5031425E22Rik,primary_adjacent_state,1.315045068506371,0.18984408167418607,0.3229616216799488,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-5031439G07Rik,5031439G07Rik,primary_adjacent_state,1.569042722603607,0.11805441856326558,0.2296146532405358,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-5430405H02Rik,5430405H02Rik,primary_adjacent_state,3.157460766605767,0.0018112702769343607,0.013397841163553857,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-5430425K12Rik,5430425K12Rik,primary_adjacent_state,0.7064387166962145,0.48065206509198843,0.6219512291344487,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-5530601H04Rik,5530601H04Rik,primary_adjacent_state,3.3436815994109503,9.695025338453819e-4,0.009209050378873943,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-5830416I19Rik,5830416I19Rik,primary_adjacent_state,5.200752112826484,4.4839881391188915e-7,2.9474069308999223e-4,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-5830428M24Rik,5830428M24Rik,primary_adjacent_state,2.340979626491072,0.020114764064667574,0.06563908454003335,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-6430548M08Rik,6430548M08Rik,primary_adjacent_state,2.8856446260444164,0.004289164776626892,0.023359285775309997,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-6720427I07Rik,6720427I07Rik,primary_adjacent_state,3.3191137492518457,0.0010545057435451253,0.009715965312141483,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-6820431F20Rik,6820431F20Rik,primary_adjacent_state,3.018886520250525,0.002832062630376643,0.01782597529640471,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-8030462N17Rik,8030462N17Rik,primary_adjacent_state,2.991185852909288,0.00309098513608877,0.01889624332476226,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-8430422H06Rik,8430422H06Rik,primary_adjacent_state,2.7462329371500753,0.006520068962811636,0.03049376367115753,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-9130401M01Rik,9130401M01Rik,primary_adjacent_state,2.262772999519901,0.024611769500534193,0.07507962233444593,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-9530068E07Rik,9530068E07Rik,primary_adjacent_state,1.8830468167793823,0.06099445124281675,0.142863905188827,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-9930021J03Rik,9930021J03Rik,primary_adjacent_state,2.4363842571884,0.015618400833452848,0.05511412748964413,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-9930111J21Rik2,9930111J21Rik2,primary_adjacent_state,2.811616036971549,0.005367999099511102,0.027090083747349517,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-a,a,primary_adjacent_state,2.695131437566248,0.0075715908387532236,0.033690084652064724,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-A1BG,A1BG,primary_adjacent_state,-0.36987062792681896,0.7118295615090264,0.8091312127795968,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-A1BG-AS1,A1BG-AS1,primary_adjacent_state,-1.1714653399192214,0.24266069255531053,0.383730252857675,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-A330023F24Rik,A330023F24Rik,primary_adjacent_state,2.423940283859952,0.01614931268721725,0.05634613577555023,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-A3GALT2,A3GALT2,primary_adjacent_state,4.570536367008541,8.054103246869034e-6,0.0010307113898493194,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-A430005L14Rik,A430005L14Rik,primary_adjacent_state,2.776707602506319,0.005957783375901419,0.02880973261959887,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-A4GALT,A4GALT,primary_adjacent_state,1.3487224279619454,0.17882084203164894,0.3100819229713622,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-A530013C23Rik,A530013C23Rik,primary_adjacent_state,1.878691203873514,0.06159000122612206,0.14388578477075137,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-A530032D15Rik,A530032D15Rik,primary_adjacent_state,1.6143755345925108,0.10785864189113915,0.215018447806419,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-A630001O12Rik,A630001O12Rik,primary_adjacent_state,2.4873429619714917,0.013602108838196481,0.049961924284775035,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-A930005H10Rik,A930005H10Rik,primary_adjacent_state,3.969282218394501,9.720810547217839e-5,0.0027792557828487338,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-A930007I19Rik,A930007I19Rik,primary_adjacent_state,3.232348959915287,0.0014134416172104116,0.011500115527551438,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-A930015D03Rik,A930015D03Rik,primary_adjacent_state,2.7052457287589715,0.007352056128850993,0.033038559253982046,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-AA467197,AA467197,primary_adjacent_state,-0.25308993635662097,0.8004316428517438,0.8721989539504684,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Aaas,Aaas,primary_adjacent_state,3.548609965240868,4.72047570980854e-4,0.0062175859276509685,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AAAS,AAAS,primary_adjacent_state,-0.6606197985382536,0.5095373434929957,0.6470052706021172,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Aacs,Aacs,primary_adjacent_state,2.4536080432140035,0.014909085160046557,0.05340606403255716,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AACS,AACS,primary_adjacent_state,0.4539686476370674,0.650292466010036,0.763023193717484,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AACSP1,AACSP1,primary_adjacent_state,-1.3054231771467233,0.19309269687566807,0.3268731038360007,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AADAC,AADAC,primary_adjacent_state,-0.2529032921255284,0.8005847162086281,0.8723000462545479,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AADACL2,AADACL2,primary_adjacent_state,2.136197039257051,0.03375187775470846,0.0935568150682076,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AADACL2-AS1,AADACL2-AS1,primary_adjacent_state,1.5253326720160183,0.12859171909910116,0.24443836344293157,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AADACP1,AADACP1,primary_adjacent_state,-0.10091467671902128,0.9197141918295817,0.9512220660883695,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AADAT,AADAT,primary_adjacent_state,-0.9871597545000909,0.3246331351669316,0.47146628642722327,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Aagab,Aagab,primary_adjacent_state,3.9619786079811807,1.0002804549670669e-4,0.0028114782622504866,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AAGAB,AAGAB,primary_adjacent_state,-1.134009312822285,0.25800702515204804,0.400829667520055,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Aak1,Aak1,primary_adjacent_state,2.039632371538127,0.042564835977360965,0.11024090500020003,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AAK1,AAK1,primary_adjacent_state,-0.3794762979334636,0.7046949590547069,0.8033894755717701,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AAMDC,AAMDC,primary_adjacent_state,2.205568506705679,0.028434359116241956,0.08306014891020602,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Aamp,Aamp,primary_adjacent_state,1.1629755755267113,0.24608115999485605,0.38743275504177777,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AAMP,AAMP,primary_adjacent_state,-2.526938052848374,0.012198845053997162,0.04638030717125095,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AANAT,AANAT,primary_adjacent_state,2.928762233073582,0.003755983823598148,0.021464248991524527,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AAR2,AAR2,primary_adjacent_state,-1.4157215589565644,0.15825078900091666,0.28421071283435867,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCm39-Aars,Aars,primary_adjacent_state,1.928758680096523,0.055028980786965206,0.13248127924624228,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AARS1,AARS1,primary_adjacent_state,-0.9908015865202411,0.3228552645313365,0.46969919319795345,1,TRUE,ETP_reference_balanced_threshold_2_24
GRCh38-AARS2,AARS2,primary_adjacent_state,-1.1110088234689566,0.26775981937501336,0.41100464366649697,1,TRUE,ETP_reference_balanced_threshold_2_24
