ID	Drug Name	Targets	Z Score	Count
"1813"	"Fludarabine"	""	"-2.3961686599922878"	"195"
"1192"	"GSK269962A"	"ROCK1, ROCK2"	"-1.7368197869300943"	"195"
"1804"	"Acetalax"	""	"-1.673011678374311"	"195"
"1038"	"NU7441"	"DNAPK"	"-1.4075247434908655"	"195"
"1866"	"BDP-00009066"	"MRCKB_HUMAN"	"-1.2500412475036344"	"195"
"1940"	"WIKI4"	"TNKS1, TNKS2"	"-1.2447497223907933"	"195"
"1052"	"RO-3306"	"CDK1"	"-1.2445907100119551"	"195"
"1049"	"PD173074"	"FGFR1, FGFR2, FGFR3"	"-1.2081673601521761"	"195"
"2170"	"AT13148"	"AKT1"	"-1.1993408067761386"	"195"
"1034"	"Staurosporine"	"Broad spectrum kinase inhibitor"	"-1.1918306194356472"	"195"
"1625"	"RVX-208"	"BRD4"	"-1.1127524020955091"	"195"
"1998"	"BPD-00008900"	""	"-1.1047865036787188"	"195"
"1733"	"ULK1_4989"	"ULK1"	"-1.0806776250485972"	"195"
"1013"	"Nilotinib"	"ABL"	"-1.0121515893243074"	"195"
"1022"	"AZD7762"	"CHEK1, CHEK2"	"-.97920279405572852"	"195"
"1030"	"KU-55933"	"ATM"	"-.90298052504510962"	"195"
"1624"	"I-BET-762"	"BRD2, BRD3, BRD4"	"-.86582371661831758"	"195"
"1939"	"UMI-77"	"MCL1"	"-.86043146016262428"	"195"
"1080"	"Paclitaxel"	"Microtubule stabiliser"	"-.81765159999929615"	"195"
"1617"	"AZD5582"	"XIAP, cIAP"	"-.71364632059100852"	"195"
"1086"	"BI-2536"	"PLK1, PLK2, PLK3"	"-.6875664795213805"	"195"
"1594"	"OSI-027"	"MTORC1, MTORC2"	"-.6681407425871253"	"195"
"1927"	"GSK2578215A"	"LRRK2"	"-.66610083867603642"	"195"
"1928"	"I-BRD9"	"BRD9"	"-.66198369639616805"	"195"
"1046"	"Wee1 Inhibitor"	"WEE1, CHEK1"	"-.6514250559314374"	"195"
"1084"	"Rapamycin"	"MTORC1"	"-.64767325342064996"	"195"
"1053"	"MK-2206"	"AKT1, AKT2"	"-.63048963244803879"	"195"
"1059"	"AZD8055"	"MTORC1, MTORC2"	"-.6096677830170355"	"195"
"1615"	"CZC24832"	"PI3Kgamma"	"-.594810484021984"	"195"
"1096"	"Tozasertib"	"AURKA, AURKB, AURKC, others"	"-.58747316405742966"	"195"
"1021"	"Axitinib"	"PDGFR, KIT, VEGFR"	"-.583490477700633"	"195"
"1083"	"Crizotinib"	"MET, ALK, ROS1"	"-.5567163935287579"	"195"
"1854"	"MN-64"	"TNKS1, TNKS2"	"-.5326735823844011"	"195"
"1862"	"MG-132"	"Proteasome, CAPN1"	"-.52656065540749519"	"195"
"1057"	"Dactolisib"	"PI3K (class 1), MTORC1, MTORC2"	"-.5035396042099507"	"195"
"1917"	"AZD6738"	"ATR"	"-.48420444994625894"	"195"
"1557"	"LCL161"	"XIAP, IAP1, IAP2"	"-.48255410033595802"	"195"
"2046"	"MK-8776"	"CHEK1, CHEK2, CDK2"	"-.43695409826919046"	"195"
"1613"	"VE-822"	"ATR"	"-.43088270604626766"	"195"
"1050"	"ZM447439"	"AURKA, AURKB"	"-.41802245742949068"	"195"
"1593"	"Entinostat"	"HDAC1, HDAC3"	"-.40561974999745337"	"195"
"1924"	"Ipatasertib"	"AKT1, AKT, AKT3"	"-.39883509570174491"	"195"
"1912"	"Afuresertib"	"AKT1, AKT2, AKT3"	"-.38951932053389438"	"195"
"1922"	"Cediranib"	"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB"	"-.35814054283986257"	"195"
"2044"	"Pyridostatin"	"G-quadruplex stabiliser"	"-.34470436496718782"	"195"
"1734"	"VSP34_8731"	"VSP34"	"-.32648996084560594"	"195"
"1559"	"Luminespib"	"HSP90"	"-.24399644828687261"	"195"
"1079"	"Dasatinib"	"ABL, SRC, Ephrins, PDGFR, KIT"	"-.23621092060396331"	"195"
"1835"	"Elephantin"	""	"-.23526715675857879"	"195"
"1916"	"AZD5363"	"AKT1, AKT2, AKT3, ROCK2"	"-.22786100203629567"	"195"
"1191"	"Bortezomib"	"Proteasome"	"-.22350255306925451"	"195"
"1819"	"Docetaxel"	"Microtubule stabiliser"	"-.21022763888892126"	"195"
"1179"	"MK-1775"	"WEE1, PLK1"	"-.19998854516976458"	"195"
"1093"	"GSK1904529A"	"IGF1R, IR"	"-.19987324549060459"	"195"
"1011"	"Navitoclax"	"BCL2, BCL-XL, BCL-W"	"-.17944664415713349"	"195"
"1200"	"Fulvestrant"	"ESR"	"-.17432993891558304"	"195"
"1632"	"Ribociclib"	"CDK4, CDK6"	"-.16871555232079904"	"195"
"1918"	"AZD8186"	"PI3Kalpha, PI3Kbeta"	"-.13369913318533649"	"195"
"1025"	"SB216763"	"GSK3A, GSK3B"	"-.07654164022395249"	"195"
"1932"	"NVP-ADW742"	"IGF1R"	"-.059923238269622224"	"195"
"1558"	"Lapatinib"	"EGFR, ERBB2"	"-.029868254249619426"	"195"
"2045"	"AMG-319"	"PI3K (beta sparing)"	"-.0086108949912603629"	"195"
"1048"	"Mirin"	"MRE11"	".013724151750902304"	"195"
"1996"	"MIM1"	"MCL1"	".019683621533876115"	"195"
"1630"	"Entospletinib"	"SYK"	".023182753388131881"	"195"
"1926"	"GNE-317"	"PI3Kalpha"	".0398786103160782"	"195"
"2169"	"AZD6482"	"PI3Kbeta"	".05772921041774369"	"195"
"1073"	"5-Fluorouracil"	"Antimetabolite (DNA & RNA)"	".06547905979123099"	"195"
"1058"	"Pictilisib"	"PI3K (class 1)"	".07756918122440129"	"195"
"1511"	"Epirubicin"	"Anthracycline"	".081943462100682304"	"195"
"1032"	"Afatinib"	"ERBB2, EGFR"	".094499469669429292"	"195"
"1706"	"AZD5153"	"BRD4"	".10957241288524618"	"195"
"1268"	"XAV939"	"TNKS1, TNKS2"	".12083675574507476"	"195"
"1811"	"Dactinomycin"	""	".12734812164064793"	"195"
"2172"	"JQ1"	"BRD2, BRD3, BRD4, BRDT"	".13389944971028933"	"195"
"1553"	"Uprosertib"	"AKT1, AKT2, AKT3"	".13608655632403829"	"195"
"1085"	"Sorafenib"	"PDGFR, KIT, VEGFR, RAF"	".1442598864211157"	"195"
"2106"	"Uprosertib"	"AKT1, AKT2, AKT3"	".14771972913044454"	"195"
"2109"	"AZ6102"	"TNKS1, TNKS2"	".15090175574144779"	"195"
"1626"	"OTX015"	"BRD2, BRD3, BRD4"	".15384994768806953"	"195"
"1810"	"Mitoxantrone"	""	".16636145938989105"	"195"
"1738"	"IGF1R_3801"	"IGFR1"	".17278820976466588"	"195"
"1825"	"Podophyllotoxin bromide"	""	".17634427901499619"	"195"
"1930"	"Telomerase Inhibitor IX"	"Telomerase"	".18447953905620681"	"195"
"1250"	"AZ960"	"JAK2, JAK3"	".18512068884941585"	"195"
"1933"	"P22077"	"USP7, USP47"	".19428402420760107"	"195"
"1818"	"Vincristine"	""	".20840366342095459"	"195"
"1051"	"Alisertib"	"AURKA"	".21470577867351318"	"195"
"1036"	"PLX-4720"	"BRAF"	".22949425332602413"	"195"
"1129"	"PF-4708671"	"S6K1"	".24024499417465064"	"195"
"1716"	"IRAK4_4710"	"IRAK4"	".24465192641860808"	"195"
"1720"	"AZD5991"	"MCL1"	".24680273369452926"	"195"
"1088"	"Irinotecan"	"TOP1"	".24764628748048881"	"195"
"1713"	"ERK_2440"	"ERK1,ERK2"	".27900975446061721"	"195"
"1463"	"AZD1332"	"NTRK1, NTRK2, NTRK3"	".29300371123470925"	"195"
"1838"	"Sinularin"	""	".31859728950898974"	"195"
"1259"	"Talazoparib"	"PARP1, PARP2"	".32880373678470148"	"195"
"1635"	"Picolinici-acid"	"Inflammatory related"	".33217631807299086"	"195"
"1712"	"Eg5_9814"	"KSP11"	".33532809557028664"	"195"
"1561"	"Taselisib"	"PI3K (beta sparing)"	".341959614102821"	"195"
"1042"	"Doramapimod"	"p38, JNK2"	".35133689481983021"	"195"
"1830"	"Gallibiscoquinazole"	""	".35214518207064172"	"195"
"1852"	"LY2109761"	"TGFB1"	".35421701550576312"	"195"
"1855"	"KRAS (G12C) Inhibitor-12"	"KRAS (G12C)"	".3590000356649054"	"195"
"1091"	"BMS-536924"	"IGF1R, IR"	".36182951040101929"	"195"
"1849"	"Sabutoclax"	"BCL2,  BCL-XL,  BFL1, MCL1"	".36333404613220027"	"195"
"1997"	"WEHI-539"	"BCL-XL"	".36589050313376797"	"195"
"2111"	"VE821"	"ATR"	".36650555898675691"	"195"
"1560"	"Alpelisib"	"PI3Kalpha"	".39175634403063503"	"195"
"1931"	"MIRA-1"	"TP53"	".40698600220123055"	"195"
"1919"	"Osimertinib"	"EGFR"	".41950670923753991"	"195"
"1911"	"Dactinomycin"	"RNA polymerase"	".42070842036976835"	"195"
"1007"	"Docetaxel"	"Microtubule stabiliser"	".42277151592754286"	"195"
"1629"	"ML323"	"USP1, UAF1"	".42318222707800213"	"195"
"1401"	"AZD5438"	"CDK2"	".42604159061882996"	"195"
"1808"	"Topotecan"	""	".42626156368481594"	"195"
"1003"	"Camptothecin"	"TOP1"	".4264522492173049"	"195"
"1239"	"YK-4-279"	"RNA helicase A"	".43647501890348905"	"195"
"1627"	"GSK343"	"EZH2"	".43831610373683466"	"195"
"1512"	"Cyclophosphamide"	"Alkylating agent"	".4487728969112767"	"195"
"1449"	"AZD1208"	"PIM1, PIM2, PIM3"	".45473572533886752"	"195"
"1806"	"Oxaliplatin"	"DNA alkylating agent"	".46675820680940711"	"195"
"1730"	"PAK_5339"	"PAK1, PAK2"	".47864219700793947"	"195"
"1802"	"Zoledronate"	""	".47913144134256225"	"195"
