ID	Drug Name	Targets	Z Score	Count
"2045"	"AMG-319"	"PI3K (beta sparing)"	"-1.8698583990265056"	"122"
"2046"	"MK-8776"	"CHEK1, CHEK2, CDK2"	"-1.7834442614114117"	"122"
"1022"	"AZD7762"	"CHEK1, CHEK2"	"-1.6734709913481687"	"122"
"1049"	"PD173074"	"FGFR1, FGFR2, FGFR3"	"-1.6472315721933373"	"122"
"1786"	"AZD4547"	"FGFR1, FGFR2, FGFR3"	"-1.5480687381538425"	"122"
"1199"	"Tamoxifen"	"ESR1"	"-1.4801342569765654"	"122"
"1918"	"AZD8186"	"PI3Kalpha, PI3Kbeta"	"-1.3252361603200533"	"122"
"1924"	"Ipatasertib"	"AKT1, AKT, AKT3"	"-1.2735020253923024"	"122"
"1912"	"Afuresertib"	"AKT1, AKT2, AKT3"	"-1.2564144419572183"	"122"
"1021"	"Axitinib"	"PDGFR, KIT, VEGFR"	"-1.2149552428365635"	"122"
"1096"	"Tozasertib"	"AURKA, AURKB, AURKC, others"	"-1.2080392798758572"	"122"
"1922"	"Cediranib"	"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB"	"-1.1292973332528746"	"122"
"1093"	"GSK1904529A"	"IGF1R, IR"	"-1.1161484068723153"	"122"
"1034"	"Staurosporine"	"Broad spectrum kinase inhibitor"	"-1.1005848407156726"	"122"
"2111"	"VE821"	"ATR"	"-1.088176133760836"	"122"
"1053"	"MK-2206"	"AKT1, AKT2"	"-1.0513077539125995"	"122"
"2106"	"Uprosertib"	"AKT1, AKT2, AKT3"	"-.96708578531633016"	"122"
"1632"	"Ribociclib"	"CDK4, CDK6"	"-.94673227421330064"	"122"
"1030"	"KU-55933"	"ATM"	"-.93478105789690724"	"122"
"1046"	"Wee1 Inhibitor"	"WEE1, CHEK1"	"-.92893013424750304"	"122"
"1998"	"BPD-00008900"	""	"-.92168079954858984"	"122"
"1916"	"AZD5363"	"AKT1, AKT2, AKT3, ROCK2"	"-.91036413607930022"	"122"
"1917"	"AZD6738"	"ATR"	"-.87090761332609368"	"122"
"2169"	"AZD6482"	"PI3Kbeta"	"-.85133263967240569"	"122"
"1913"	"AGI-5198"	"IDH1 (R132H)"	"-.85123383528158059"	"122"
"1866"	"BDP-00009066"	"MRCKB_HUMAN"	"-.79899658108040594"	"122"
"1017"	"Olaparib"	"PARP1, PARP2"	"-.78047858164119521"	"122"
"1038"	"NU7441"	"DNAPK"	"-.77068893614602985"	"122"
"1129"	"PF-4708671"	"S6K1"	"-.77021661058308899"	"122"
"1004"	"Vinblastine"	"Microtubule destabiliser"	"-.75414264932593156"	"122"
"1058"	"Pictilisib"	"PI3K (class 1)"	"-.73940724306061578"	"122"
"1873"	"Buparlisib"	"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"	"-.71383593431890546"	"122"
"1192"	"GSK269962A"	"ROCK1, ROCK2"	"-.70570618658109796"	"122"
"2170"	"AT13148"	"AKT1"	"-.70268361719133199"	"122"
"1932"	"NVP-ADW742"	"IGF1R"	"-.67247859942176091"	"122"
"1237"	"EPZ004777"	"DOT1L"	"-.67143424282295416"	"122"
"1594"	"OSI-027"	"MTORC1, MTORC2"	"-.66579461483775193"	"122"
"1052"	"RO-3306"	"CDK1"	"-.66009550315665078"	"122"
"1050"	"ZM447439"	"AURKA, AURKB"	"-.631039909187457"	"122"
"1940"	"WIKI4"	"TNKS1, TNKS2"	"-.55673548430522768"	"122"
"2110"	"GSK591"	"PMRT5"	"-.55577663721307757"	"122"
"1553"	"Uprosertib"	"AKT1, AKT2, AKT3"	"-.55074315495754778"	"122"
"1013"	"Nilotinib"	"ABL"	"-.53231220025288928"	"122"
"1083"	"Crizotinib"	"MET, ALK, ROS1"	"-.51048923926524725"	"122"
"1558"	"Lapatinib"	"EGFR, ERBB2"	"-.44893388348509267"	"122"
"1091"	"BMS-536924"	"IGF1R, IR"	"-.4139680768763962"	"122"
"1005"	"Cisplatin"	"DNA crosslinker"	"-.36078610098540731"	"122"
"1179"	"MK-1775"	"WEE1, PLK1"	"-.34781257602168325"	"122"
"1059"	"AZD8055"	"MTORC1, MTORC2"	"-.30405936147302126"	"122"
"1598"	"LGK974"	"PORCN"	"-.27751453090695272"	"122"
"1079"	"Dasatinib"	"ABL, SRC, Ephrins, PDGFR, KIT"	"-.26761735233814793"	"122"
"2043"	"BIBR-1532"	"TERT"	"-.26183099836929435"	"122"
