ID	Drug Name	Targets	Z Score	Count
"1997"	"WEHI-539"	"BCL-XL"	"-3.1209879720997624"	"194"
"1804"	"Acetalax"	""	"-2.774339962462645"	"194"
"1915"	"AZD3759"	"EGFR"	"-2.3899533004268267"	"194"
"1058"	"Pictilisib"	"PI3K (class 1)"	"-2.317494022232415"	"194"
"2107"	"LJI308"	"RSK2, RSK1, RSK3"	"-2.1077585922210909"	"194"
"1919"	"Osimertinib"	"EGFR"	"-2.0583305730830781"	"194"
"1933"	"P22077"	"USP7, USP47"	"-2.0140354193819587"	"194"
"1079"	"Dasatinib"	"ABL, SRC, Ephrins, PDGFR, KIT"	"-2.0119989456769884"	"194"
"1940"	"WIKI4"	"TNKS1, TNKS2"	"-1.9930079625144554"	"194"
"1549"	"Sapitinib"	"EGFR, ERBB2, ERBB3"	"-1.8918278707329543"	"194"
"2109"	"AZ6102"	"TNKS1, TNKS2"	"-1.7840787154418007"	"194"
"1010"	"Gefitinib"	"EGFR"	"-1.6630928107103982"	"194"
"1168"	"Erlotinib"	"EGFR"	"-1.5686033835411755"	"194"
"1918"	"AZD8186"	"PI3Kalpha, PI3Kbeta"	"-1.5483510246192538"	"194"
"1617"	"AZD5582"	"XIAP, cIAP"	"-1.4509952469870493"	"194"
"2170"	"AT13148"	"AKT1"	"-1.4290034986956714"	"194"
"1911"	"Dactinomycin"	"RNA polymerase"	"-1.3548904017023551"	"194"
"1428"	"IAP_5620"	"IAP"	"-1.3423975038790401"	"194"
"1510"	"Linsitinib"	"IGF1R"	"-1.328388099333401"	"194"
"1561"	"Taselisib"	"PI3K (beta sparing)"	"-1.3020610822497896"	"194"
"1910"	"ABT737"	"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1"	"-1.3018415617984265"	"194"
"1594"	"OSI-027"	"MTORC1, MTORC2"	"-1.2923108970768515"	"194"
"1926"	"GNE-317"	"PI3Kalpha"	"-1.2856614031341467"	"194"
"1627"	"GSK343"	"EZH2"	"-1.2424501636793117"	"194"
"1558"	"Lapatinib"	"EGFR, ERBB2"	"-1.2361354518780803"	"194"
"1011"	"Navitoclax"	"BCL2, BCL-XL, BCL-W"	"-1.1822117828550478"	"194"
"2096"	"VX-11e"	"ERK2"	"-1.1508482746261055"	"194"
"1237"	"EPZ004777"	"DOT1L"	"-1.1084709651455531"	"194"
"1799"	"Ibrutinib"	"BTK"	"-1.1007417336016172"	"194"
"1932"	"NVP-ADW742"	"IGF1R"	"-1.0233612289049376"	"194"
"1873"	"Buparlisib"	"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"	"-.95637107727447346"	"194"
"1802"	"Zoledronate"	""	"-.91702621546555318"	"194"
"1512"	"Cyclophosphamide"	"Alkylating agent"	"-.8667277250694031"	"194"
"1131"	"PRIMA-1MET"	"TP53 activation"	"-.83980339883464783"	"194"
"1032"	"Afatinib"	"ERBB2, EGFR"	"-.82435691786634957"	"194"
"1916"	"AZD5363"	"AKT1, AKT2, AKT3, ROCK2"	"-.78848492341497778"	"194"
"2106"	"Uprosertib"	"AKT1, AKT2, AKT3"	"-.78814273821825787"	"194"
"1917"	"AZD6738"	"ATR"	"-.77524301110273564"	"194"
"1091"	"BMS-536924"	"IGF1R, IR"	"-.75224793144337809"	"194"
"1936"	"Savolitinib"	"MET"	"-.74958197009293548"	"194"
"1908"	"Ulixertinib"	"ERK1, ERK2"	"-.74011976857331774"	"194"
"1191"	"Bortezomib"	"Proteasome"	"-.73473305665082744"	"194"
"1912"	"Afuresertib"	"AKT1, AKT2, AKT3"	"-.73168262421510888"	"194"
"1268"	"XAV939"	"TNKS1, TNKS2"	"-.72850758196761123"	"194"
"1036"	"PLX-4720"	"BRAF"	"-.71444368876419551"	"194"
"1013"	"Nilotinib"	"ABL"	"-.68051358168800558"	"194"
"1806"	"Oxaliplatin"	"DNA alkylating agent"	"-.65635490988170331"	"194"
"2169"	"AZD6482"	"PI3Kbeta"	"-.63179671421363992"	"194"
"1034"	"Staurosporine"	"Broad spectrum kinase inhibitor"	"-.62818249873574539"	"194"
"1372"	"Trametinib"	"MEK1, MEK2"	"-.59785318314073288"	"194"
"1924"	"Ipatasertib"	"AKT1, AKT, AKT3"	"-.59218436440455646"	"194"
"1057"	"Dactolisib"	"PI3K (class 1), MTORC1, MTORC2"	"-.58414357162788932"	"194"
"1563"	"EPZ5676"	"DOT1L"	"-.57738392963337581"	"194"
"1559"	"Luminespib"	"HSP90"	"-.56124443208637265"	"194"
"1634"	"AGI-6780"	"IDH2 R140Q mutant"	"-.53944340035364602"	"194"
"1025"	"SB216763"	"GSK3A, GSK3B"	"-.53794042545440168"	"194"
"1560"	"Alpelisib"	"PI3Kalpha"	"-.53160278118401094"	"194"
"1635"	"Picolinici-acid"	"Inflammatory related"	"-.48460015468332029"	"194"
"2110"	"GSK591"	"PMRT5"	"-.42250080193386502"	"194"
"2040"	"Foretinib"	"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR"	"-.41896815459622039"	"194"
"1093"	"GSK1904529A"	"IGF1R, IR"	"-.40248925431584159"	"194"
"1922"	"Cediranib"	"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB"	"-.39442902004181812"	"194"
"1853"	"OF-1"	"BRPF1B, BRPF2"	"-.36794525572347248"	"194"
"1048"	"Mirin"	"MRE11"	"-.33943319748383682"	"194"
"1930"	"Telomerase Inhibitor IX"	"Telomerase"	"-.32222953778362806"	"194"
"1615"	"CZC24832"	"PI3Kgamma"	"-.32143834016461581"	"194"
"1017"	"Olaparib"	"PARP1, PARP2"	"-.31294452355808955"	"194"
"1052"	"RO-3306"	"CDK1"	"-.30887286859631591"	"194"
"1998"	"BPD-00008900"	""	"-.29049461100396484"	"194"
