ID	Drug Name	Targets	Z Score	Count
"1032"	"Afatinib"	"ERBB2, EGFR"	"-2.9395432667820756"	"63"
"1561"	"Taselisib"	"PI3K (beta sparing)"	"-2.6087629592446451"	"63"
"1560"	"Alpelisib"	"PI3Kalpha"	"-2.2439558186287663"	"63"
"1053"	"MK-2206"	"AKT1, AKT2"	"-2.1383386398363489"	"63"
"1553"	"Uprosertib"	"AKT1, AKT2, AKT3"	"-2.0809119316157285"	"63"
"1558"	"Lapatinib"	"EGFR, ERBB2"	"-2.0757488072089338"	"63"
"1549"	"Sapitinib"	"EGFR, ERBB2, ERBB3"	"-1.7950626248144426"	"63"
"1058"	"Pictilisib"	"PI3K (class 1)"	"-1.6243184792354168"	"63"
"2169"	"AZD6482"	"PI3Kbeta"	"-1.595801218434213"	"63"
"1594"	"OSI-027"	"MTORC1, MTORC2"	"-1.4992237361829182"	"63"
"1129"	"PF-4708671"	"S6K1"	"-1.4791813357289405"	"63"
"1598"	"LGK974"	"PORCN"	"-1.4662385325776823"	"63"
"1059"	"AZD8055"	"MTORC1, MTORC2"	"-1.3675691036749742"	"63"
"1085"	"Sorafenib"	"PDGFR, KIT, VEGFR, RAF"	"-1.068387482784533"	"63"
"2046"	"MK-8776"	"CHEK1, CHEK2, CDK2"	"-.97994731026817949"	"63"
"2047"	"Ulixertinib"	"ERK1, ERK2"	"-.90385799071118256"	"63"
"2044"	"Pyridostatin"	"G-quadruplex stabiliser"	"-.75910138628514834"	"63"
"1013"	"Nilotinib"	"ABL"	"-.74526517124323"	"63"
"1559"	"Luminespib"	"HSP90"	"-.51216893923444684"	"63"
"1017"	"Olaparib"	"PARP1, PARP2"	"-.49797519619562702"	"63"
"1192"	"GSK269962A"	"ROCK1, ROCK2"	"-.42412063223231355"	"63"
"1593"	"Entinostat"	"HDAC1, HDAC3"	"-.41036201602031669"	"63"
"1372"	"Trametinib"	"MEK1, MEK2"	"-.28042472863256518"	"63"
"1012"	"Vorinostat"	"HDAC inhibitor Class I, IIa, IIb, IV"	"-.27727634260704642"	"63"
"1564"	"SCH772984"	"ERK1, ERK2"	"-.26315578692078712"	"63"
"1042"	"Doramapimod"	"p38, JNK2"	"-.21794193344335366"	"63"
"1005"	"Cisplatin"	"DNA crosslinker"	"-.19112551981848247"	"63"
"2043"	"BIBR-1532"	"TERT"	"-.10489427875827895"	"63"
"1086"	"BI-2536"	"PLK1, PLK2, PLK3"	"-.050741628083500565"	"63"
"1052"	"RO-3306"	"CDK1"	"-.014674348413224271"	"63"
"1054"	"Palbociclib"	"CDK4, CDK6"	"-.006025525376462634"	"63"
"1049"	"PD173074"	"FGFR1, FGFR2, FGFR3"	".11512019876703329"	"63"
"1632"	"Ribociclib"	"CDK4, CDK6"	".14812303833957904"	"63"
"2045"	"AMG-319"	"PI3K (beta sparing)"	".16558662180621739"	"63"
"1007"	"Docetaxel"	"Microtubule stabiliser"	".24233325304517769"	"63"
"1047"	"Nutlin-3a (-)"	"MDM2"	".24633778960927671"	"63"
"1011"	"Navitoclax"	"BCL2, BCL-XL, BCL-W"	".25051431879691244"	"63"
"1199"	"Tamoxifen"	"ESR1"	".25595881986121294"	"63"
"1025"	"SB216763"	"GSK3A, GSK3B"	".30772014780193413"	"63"
"1375"	"Temozolomide"	"DNA alkylating agent"	".33076724659874845"	"63"
"1080"	"Paclitaxel"	"Microtubule stabiliser"	".40164019627529801"	"63"
"1034"	"Staurosporine"	"Broad spectrum kinase inhibitor"	".42316575070831874"	"63"
"1200"	"Fulvestrant"	"ESR"	".45226773844162632"	"63"
"2172"	"JQ1"	"BRD2, BRD3, BRD4, BRDT"	".4591848464960479"	"63"
"1073"	"5-Fluorouracil"	"Antimetabolite (DNA & RNA)"	".56303676488688903"	"63"
"1050"	"ZM447439"	"AURKA, AURKB"	".58349945134502068"	"63"
"1909"	"Venetoclax"	"BCL2"	".60802861456359703"	"63"
"1510"	"Linsitinib"	"IGF1R"	".67371350176439893"	"63"
"1373"	"Dabrafenib"	"BRAF"	".70603505490182294"	"63"
"1096"	"Tozasertib"	"AURKA, AURKB, AURKC, others"	".7348101663959542"	"63"
"1003"	"Camptothecin"	"TOP1"	".77329134440548308"	"63"
"1021"	"Axitinib"	"PDGFR, KIT, VEGFR"	".8374796144783142"	"63"
"1022"	"AZD7762"	"CHEK1, CHEK2"	".87296348143353497"	"63"
"1030"	"KU-55933"	"ATM"	"1.0796839990131841"	"63"
"1046"	"Wee1 Inhibitor"	"WEE1, CHEK1"	"1.1056231530007821"	"63"
"2040"	"Foretinib"	"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR"	"1.1074696373290627"	"63"
"1038"	"NU7441"	"DNAPK"	"1.1081137345956367"	"63"
"1191"	"Bortezomib"	"Proteasome"	"1.4539044045083551"	"63"
"1190"	"Gemcitabine"	"Pyrimidine antimetabolite"	"1.5782760470119601"	"63"
"1179"	"MK-1775"	"WEE1, PLK1"	"1.5860171533237104"	"63"
"1051"	"Alisertib"	"AURKA"	"1.6652395446739141"	"63"
"1083"	"Crizotinib"	"MET, ALK, ROS1"	"1.8103088855840208"	"63"
"1862"	"MG-132"	"Proteasome, CAPN1"	"2.6273557455783103"	"63"
