"statistic","value"
"0_vs_30plus120_sample_aware_ECDF_p",0.00466200466200466
"0_vs_30plus120_ploidy_stratified_ECDF_p",0.00530612244897959
"0_vs_30_sample_aware_ECDF_p",0.0343434343434343
"0_vs_120_sample_aware_ECDF_p",0.0181818181818182
"30_vs_120_sample_aware_ECDF_p",0.914285714285714
"treated_TGI_AUC_vs_ECDF_RMSE_Pearson_r",0.708167281471516
"treated_TGI_AUC_vs_ECDF_RMSE_Pearson_p",0.0493296436285996
"treated_TGI_AUC_vs_ECDF_RMSE_Spearman_rho",0.642857142857143
"treated_TGI_AUC_vs_ECDF_RMSE_Spearman_p",0.0855588910126732
"all_samples_mean_cell_ploidy_vs_ECDF_RMSE_Pearson_p",0.648258923358509
"treated_mean_cell_ploidy_vs_ECDF_RMSE_Pearson_p",0.459180814172276
"all_samples_initial_ploidy_vs_ECDF_RMSE_Wilcoxon_p",0.636502486913866
"treated_initial_ploidy_vs_ECDF_RMSE_Wilcoxon_p",0.47048642205879
