"compartment","analysis","model","term","estimate","std_error","statistic","p_value","n","pre_specified_primary"
"CellCycle","shift_only","TGI_percent_auc ~ scale(ecdf_rmse)","(Intercept)",58.999046932258,3.78870551010066,15.572349652135,4.43922020246754e-06,8,FALSE
"CellCycle","shift_only","TGI_percent_auc ~ scale(ecdf_rmse)","scale(ecdf_rmse)",8.38570663756788,4.05029655947979,2.07039324514176,0.0838418085647435,8,FALSE
"CellCycle","shift_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + factor(dose_mg)","(Intercept)",58.8066433690535,5.14918725949929,11.4205680247045,0.000335368325124026,8,FALSE
"CellCycle","shift_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + factor(dose_mg)","scale(ecdf_rmse)",8.19346132834483,3.38212808388145,2.42257570533571,0.0725606921938268,8,TRUE
"CellCycle","shift_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + factor(dose_mg)","end_timepoint_ploidy_groupETP-higher",-16.9894587037095,10.3013216104243,-1.64925039196109,0.174441400818884,8,FALSE
"CellCycle","shift_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + factor(dose_mg)","dose_mg_factor120",4.63217180233641,6.82032516043373,0.679171695391988,0.534296635465788,8,FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + factor(dose_mg)","(Intercept)",58.8066433690535,5.14918725949929,11.4205680247045,0.000335368325124026,8,FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + factor(dose_mg)","scale(ecdf_rmse)",8.19346132834483,3.38212808388145,2.42257570533571,0.0725606921938268,8,FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + factor(dose_mg)","end_timepoint_ploidy_groupETP-higher",-16.9894587037095,10.3013216104243,-1.64925039196109,0.174441400818884,8,FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + factor(dose_mg)","dose_mg_factor120",4.63217180233641,6.82032516043373,0.679171695391988,0.534296635465788,8,FALSE
