"method","compartment","sample_set","reference_type","shift_metric","tgi_measure","tgi_day","n","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","pre_specified_primary","pearson_q_exploratory","spearman_q_exploratory"
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_auc",NA,8,0.645532975076644,0.0838418085647436,0.0954904509549045,0.0506949305069493,10000,"monte_carlo_TGI_label_permutation",0.642857142857143,0.0855588910126732,0.0950904909509049,0.0444955504449555,10000,"monte_carlo_TGI_label_permutation",FALSE,0.260418402604184,0.333440340176509
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_3",3,8,-0.332453781628871,0.421056984982521,0.467353264673533,0.762223777622238,10000,"monte_carlo_TGI_label_permutation",-0.0476190476190476,0.910849168519584,0.931906809319068,0.563643635636436,10000,"monte_carlo_TGI_label_permutation",FALSE,0.582674200112456,0.942524694898931
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_7",7,8,0.63430998328278,0.0911794490978966,0.0898910108989101,0.0456954304569543,10000,"monte_carlo_TGI_label_permutation",0.595238095238095,0.119529806138793,0.12958704129587,0.0602939706029397,10000,"monte_carlo_TGI_label_permutation",FALSE,0.260418402604184,0.333440340176509
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_10",10,8,0.644499919409047,0.0845023225312349,0.0898910108989101,0.0387961203879612,10000,"monte_carlo_TGI_label_permutation",0.380952380952381,0.351812553117565,0.368663133686631,0.184481551844816,10000,"monte_carlo_TGI_label_permutation",FALSE,0.260418402604184,0.599858658201976
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_14",14,8,0.605918352533146,0.111345121872682,0.113888611138886,0.0588941105889411,10000,"monte_carlo_TGI_label_permutation",0.619047619047619,0.101733037454265,0.113788621137886,0.0558944105589441,10000,"monte_carlo_TGI_label_permutation",FALSE,0.260418402604184,0.333440340176509
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_17",17,8,0.607527071082998,0.110140748932667,0.112673611111111,0.0557043650793651,40320,"exact_TGI_label_enumeration",0.404761904761905,0.319888641228816,0.326835317460317,0.163417658730159,40320,"exact_TGI_label_enumeration",TRUE,0.260418402604184,0.581040564373898
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_21",21,8,0.423855165913316,0.295325220487568,0.295370462953705,0.152184781521848,10000,"monte_carlo_TGI_label_permutation",0.261904761904762,0.530922861565801,0.537446255374463,0.262673732626737,10000,"monte_carlo_TGI_label_permutation",FALSE,0.399374147092333,0.678879480473005
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_24",24,8,0.648126553493047,0.082196805813944,0.0893910608939106,0.045995400459954,10000,"monte_carlo_TGI_label_permutation",0.619047619047619,0.101733037454265,0.113088691130887,0.0558944105589441,10000,"monte_carlo_TGI_label_permutation",FALSE,0.260418402604184,0.333440340176509
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_27",27,8,0.622113006383585,0.0995599973009139,0.103489651034897,0.0518948105189481,10000,"monte_carlo_TGI_label_permutation",0.595238095238095,0.119529806138793,0.123487651234877,0.0588941105889411,10000,"monte_carlo_TGI_label_permutation",FALSE,0.260418402604184,0.333440340176509
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_31",31,8,0.618450200814143,0.10215967681662,0.101089891010899,0.0532946705329467,10000,"monte_carlo_TGI_label_permutation",0.619047619047619,0.101733037454265,0.113688631136886,0.0583941605839416,10000,"monte_carlo_TGI_label_permutation",FALSE,0.260418402604184,0.333440340176509
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_34",34,8,0.238255779325618,0.569888489017794,0.551144885511449,0.280571942805719,10000,"monte_carlo_TGI_label_permutation",0.0476190476190476,0.910849168519584,0.932706729327067,0.472652734726527,10000,"monte_carlo_TGI_label_permutation",FALSE,0.645242792793891,0.942524694898931
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_38",38,8,-0.231598694535039,0.581030679612301,0.571342865713429,0.716428357164284,10000,"monte_carlo_TGI_label_permutation",-0.357142857142857,0.385120643556256,0.39026097390261,0.814018598140186,10000,"monte_carlo_TGI_label_permutation",FALSE,0.654202815012616,0.609409329337336
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_auc",NA,8,0.77350498401529,0.0243370883418872,0.0357964203579642,0.0185981401859814,10000,"monte_carlo_TGI_label_permutation",0.761904761904762,0.0280049391530718,0.0332966703329667,0.0160983901609839,10000,"monte_carlo_TGI_label_permutation",FALSE,0.231892600213663,0.1997800219978
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_3",3,8,-0.125161896664018,0.767760830034684,0.848815118488151,0.586941305869413,10000,"monte_carlo_TGI_label_permutation",0.19047619047619,0.651401495702482,0.668433156684332,0.334466553344666,10000,"monte_carlo_TGI_label_permutation",FALSE,0.866875014626197,0.751627162865109
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_7",7,8,0.737047814395083,0.0369611097756197,0.0434956504349565,0.0221977802219778,10000,"monte_carlo_TGI_label_permutation",0.619047619047619,0.101733037454265,0.118588141185881,0.0623937606239376,10000,"monte_carlo_TGI_label_permutation",FALSE,0.231892600213663,0.333440340176509
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_10",10,8,0.591480951279609,0.122487192170188,0.12958704129587,0.0713928607139286,10000,"monte_carlo_TGI_label_permutation",0.357142857142857,0.385120643556256,0.382461753824618,0.192180781921808,10000,"monte_carlo_TGI_label_permutation",FALSE,0.260418402604184,0.609409329337336
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_14",14,8,0.57298973565532,0.137635818479819,0.152884711528847,0.0750924907509249,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.0842915708429157,0.0416958304169583,10000,"monte_carlo_TGI_label_permutation",FALSE,0.262088076906595,0.333440340176509
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_17",17,8,0.618310501946766,0.102259588621951,0.106894841269841,0.0547619047619048,40320,"exact_TGI_label_enumeration",0.333333333333333,0.419753086419753,0.427876984126984,0.213938492063492,40320,"exact_TGI_label_enumeration",FALSE,0.260418402604184,0.609409329337336
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_21",21,8,0.441277477506342,0.273740215409988,0.268473152684732,0.132186781321868,10000,"monte_carlo_TGI_label_permutation",0.19047619047619,0.651401495702482,0.673332666733327,0.338766123387661,10000,"monte_carlo_TGI_label_permutation",FALSE,0.379020921437268,0.751627162865109
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_24",24,8,0.73355973865229,0.0383409737920257,0.0420957904209579,0.0220977902209779,10000,"monte_carlo_TGI_label_permutation",0.690476190476191,0.0579903181645727,0.0661933806619338,0.0324967503249675,10000,"monte_carlo_TGI_label_permutation",FALSE,0.231892600213663,0.333440340176509
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_27",27,8,0.814358535004226,0.0138500686339888,0.0212978702129787,0.0106989301069893,10000,"monte_carlo_TGI_label_permutation",0.785714285714286,0.0208151272535253,0.0293970602939706,0.0150984901509849,10000,"monte_carlo_TGI_label_permutation",FALSE,0.211978802119788,0.188141185881412
