"compartment","analysis","model","term","estimate","std_error","statistic","p_value","n","pre_specified_primary"
"CellCycle","shift_only","TGI_percent_auc ~ scale(ecdf_rmse)","(Intercept)",58.999046932258,3.44908343691843,17.1057175076549,2.5545235753016e-06,8,FALSE
"CellCycle","shift_only","TGI_percent_auc ~ scale(ecdf_rmse)","scale(ecdf_rmse)",9.33679318821642,3.68722529124157,2.53220035412388,0.044547208153895,8,FALSE
"CellCycle","shift_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","(Intercept)",45.5302385540163,6.25449466302681,7.27960307059921,0.00189220548823466,8,FALSE
"CellCycle","shift_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse)",11.5615861234801,3.15566653896495,3.66375406929791,0.0215090617544293,8,TRUE
"CellCycle","shift_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","end_timepoint_ploidy_groupETP-higher",14.6314377374789,6.76378580512282,2.16320240750339,0.0965421002301616,8,FALSE
"CellCycle","shift_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","dose_mg_factor120",12.3061790190043,6.27901552190741,1.95988988657031,0.121569988483166,8,FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","(Intercept)",44.2553149214039,7.23643259945681,6.11562594042897,0.0087871574718118,8,FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse)",9.26994069882159,5.35675863612529,1.73051304501687,0.181972969178418,8,FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","end_timepoint_ploidy_groupETP-higher",16.1134268654735,7.88538806762277,2.0434538829655,0.133602008193837,8,FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","dose_mg_factor120",15.1189821532957,8.52652380211202,1.7731706970138,0.174309842948311,8,FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","TGI_percent_auc ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse):end_timepoint_ploidy_groupETP-higher",4.79081966755913,8.53768663944188,0.561137913568624,0.613888717957587,8,FALSE
