"method","compartment","sample_set","reference_type","shift_metric","tgi_measure","tgi_day","n","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","pre_specified_primary","pearson_q_exploratory","spearman_q_exploratory"
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_auc",NA,8,0.718747762706466,0.044547208153895,0.051860119047619,0.026140873015873,40320,"exact_TGI_label_enumeration",0.666666666666667,0.0709876543209875,0.0830853174603175,0.0415426587301587,40320,"exact_TGI_label_enumeration",TRUE,0.180819127389587,0.336309226220235
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_3",3,8,-0.329648997820928,0.425226402047907,0.476252374762524,0.751824817518248,10000,"monte_carlo_TGI_label_permutation",-0.0476190476190476,0.910849168519584,0.933806619338066,0.564543545645435,10000,"monte_carlo_TGI_label_permutation",FALSE,0.550846120207256,0.974615581920069
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_7",7,8,0.733724894343009,0.0382749433389754,0.0388961103889611,0.020997900209979,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.07999200079992,0.0416958304169583,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180819127389587,0.336309226220235
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_10",10,8,0.687609161100959,0.0594732362317996,0.054994500549945,0.0328967103289671,10000,"monte_carlo_TGI_label_permutation",0.452380952380952,0.260404767436885,0.26977302269773,0.134486551344866,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180819127389587,0.424989759088607
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_14",14,8,0.560883916306914,0.148087835822126,0.148185181481852,0.0740925907409259,10000,"monte_carlo_TGI_label_permutation",0.523809523809524,0.182720750539715,0.19018098190181,0.0932906709329067,10000,"monte_carlo_TGI_label_permutation",FALSE,0.241114871563691,0.388761123887611
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_17",17,8,0.710205100013731,0.0483856344835757,0.0463953604639536,0.0266973302669733,10000,"monte_carlo_TGI_label_permutation",0.476190476190476,0.232935534650098,0.245475452454755,0.122987701229877,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180819127389587,0.413432340976429
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_21",21,8,0.410620133796751,0.312252443900399,0.311968803119688,0.152984701529847,10000,"monte_carlo_TGI_label_permutation",0.142857142857143,0.735764859879812,0.756924307569243,0.376162383761624,10000,"monte_carlo_TGI_label_permutation",FALSE,0.427842929992715,0.886155286910333
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_24",24,8,0.694067999996624,0.0561639420337599,0.0578942105789421,0.02999700029997,10000,"monte_carlo_TGI_label_permutation",0.595238095238095,0.119529806138793,0.134586541345865,0.0658934106589341,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180819127389587,0.358442204560032
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_27",27,8,0.702893926188204,0.0518236158165205,0.0570942905709429,0.0284971502849715,10000,"monte_carlo_TGI_label_permutation",0.642857142857143,0.0855588910126731,0.0980901909809019,0.0525947405259474,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180819127389587,0.336309226220235
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_31",31,8,0.740582192482311,0.0355942615847412,0.0386961303869613,0.0183981601839816,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.0886911308869113,0.0447955204479552,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180819127389587,0.336309226220235
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_34",34,8,0.261089024614472,0.532250343342037,0.516448355164484,0.264573542645735,10000,"monte_carlo_TGI_label_permutation",0.0952380952380952,0.822505430203611,0.83951604839516,0.424357564243576,10000,"monte_carlo_TGI_label_permutation",FALSE,0.590226691616553,0.919217169192172
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_38",38,8,-0.14767086154357,0.727116065951288,0.719428057194281,0.639036096390361,10000,"monte_carlo_TGI_label_permutation",-0.19047619047619,0.651401495702482,0.662633736626337,0.69013098690131,10000,"monte_carlo_TGI_label_permutation",FALSE,0.774109255741092,0.826140762547122
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_auc",NA,8,0.753390024771054,0.0309019645311643,0.0424355158730159,0.0221974206349206,40320,"exact_TGI_label_enumeration",0.738095238095238,0.0365527610528607,0.0458333333333333,0.0229166666666667,40320,"exact_TGI_label_enumeration",FALSE,0.180819127389587,0.336309226220235
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_3",3,8,-0.101493513576221,0.811002470912158,0.887611238876112,0.574442555744426,10000,"monte_carlo_TGI_label_permutation",0.404761904761905,0.319888641228816,0.322267773222678,0.162583741625837,10000,"monte_carlo_TGI_label_permutation",FALSE,0.906496584384115,0.471225604712256
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_7",7,8,0.77537228306402,0.0237762111109333,0.0228977102289771,0.0132986701329867,10000,"monte_carlo_TGI_label_permutation",0.785714285714286,0.0208151272535253,0.0307969203079692,0.0140985901409859,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180819127389587,0.336309226220235
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_10",10,8,0.583957700276712,0.128531416680168,0.137586241375862,0.0762923707629237,10000,"monte_carlo_TGI_label_permutation",0.357142857142857,0.385120643556256,0.38976102389761,0.193380661933807,10000,"monte_carlo_TGI_label_permutation",FALSE,0.235862128072907,0.539328924250432
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_14",14,8,0.486122632584671,0.221937483696416,0.22027797220278,0.107289271072893,10000,"monte_carlo_TGI_label_permutation",0.452380952380952,0.260404767436885,0.271972802719728,0.141085891410859,10000,"monte_carlo_TGI_label_permutation",FALSE,0.341075569862369,0.424989759088607
