"method","compartment","sample_set","predictor","predictor_label","tgi_measure","tgi_day","n","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","multiplicity_family","analysis_role","pre_specified_primary","pearson_q_exploratory","spearman_q_exploratory"
"ETP_fixed_threshold_2_25","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_auc",NA,8,-0.44236325876264,0.272421613075645,0.280233134920635,0.858184523809524,40320,"exact_TGI_label_enumeration",-0.214285714285714,0.610344415645267,0.619097222222222,0.708928571428571,40320,"exact_TGI_label_enumeration","CellCycle_mean_ETP_TGI","parallel_mean_ETP_AUC",FALSE,0.57009299070093,0.876912308769123
"ETP_fixed_threshold_2_25","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_3",3,8,0.685382443385195,0.0606403796289896,0.102789721027897,0.0785921407859214,10000,"monte_carlo_TGI_label_permutation",0.238095238095238,0.570156320815768,0.580841915808419,0.293670632936706,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.497150284971503,0.876912308769123
"ETP_fixed_threshold_2_25","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_7",7,8,-0.386832782782147,0.343797175382687,0.342065793420658,0.819318068193181,10000,"monte_carlo_TGI_label_permutation",-0.380952380952381,0.351812553117565,0.354564543545645,0.836116388361164,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.57009299070093,0.876912308769123
"ETP_fixed_threshold_2_25","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_10",10,8,-0.62343812279186,0.0986289496412973,0.124287571242876,0.912508749125088,10000,"monte_carlo_TGI_label_permutation",-0.30952380952381,0.455644890737582,0.454954504549545,0.788121187881212,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.497150284971503,0.876912308769123
"ETP_fixed_threshold_2_25","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_14",14,8,-0.360845912756323,0.379851746703807,0.38006199380062,0.80961903809619,10000,"monte_carlo_TGI_label_permutation",-0.0952380952380952,0.822505430203611,0.842015798420158,0.612138786121388,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.57009299070093,0.876912308769123
"ETP_fixed_threshold_2_25","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_17",17,8,-0.698401019253014,0.054006978151185,0.0595940405959404,0.961503849615039,10000,"monte_carlo_TGI_label_permutation",-0.476190476190476,0.232935534650098,0.246975302469753,0.892410758924108,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.497150284971503,0.876912308769123
"ETP_fixed_threshold_2_25","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_21",21,8,-0.44174673860265,0.273169946197034,0.288971102889711,0.84031596840316,10000,"monte_carlo_TGI_label_permutation",-0.0952380952380952,0.822505430203611,0.841915808419158,0.606739326067393,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.57009299070093,0.876912308769123
"ETP_fixed_threshold_2_25","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_24",24,8,-0.387348978978664,0.343097626516945,0.338166183381662,0.833016698330167,10000,"monte_carlo_TGI_label_permutation",-0.0714285714285714,0.866526270675909,0.876912308769123,0.582741725827417,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.57009299070093,0.876912308769123
"ETP_fixed_threshold_2_25","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_27",27,8,-0.250150317480866,0.550167343349981,0.57044295570443,0.714328567143286,10000,"monte_carlo_TGI_label_permutation",-0.166666666666667,0.693238811728395,0.697030296970303,0.668133186681332,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.622301406223014,0.876912308769123
"ETP_fixed_threshold_2_25","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_31",31,8,-0.296948455789289,0.475086351653847,0.48005199480052,0.760823917608239,10000,"monte_carlo_TGI_label_permutation",-0.0952380952380952,0.822505430203611,0.839216078392161,0.600739926007399,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.622301406223014,0.876912308769123
"ETP_fixed_threshold_2_25","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_34",34,8,0.00437371674640838,0.991799385683096,0.991200879912009,0.458254174582542,10000,"monte_carlo_TGI_label_permutation",0.238095238095238,0.570156320815768,0.58004199580042,0.295170482951705,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.991200879912009,0.876912308769123
"ETP_fixed_threshold_2_25","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_38",38,8,-0.284185057538568,0.495146821825007,0.519448055194481,0.744525547445255,10000,"monte_carlo_TGI_label_permutation",-0.214285714285714,0.610344415645267,0.621637836216378,0.707129287071293,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.622301406223014,0.876912308769123
