"iteration","n","pearson_r","pearson_p","spearman_rho","spearman_p"
1,8,-1,0,-1,2.18952885050755e-46
2,8,0.527622169067721,0.178977474360248,0.316455696202532,0.445069441835733
3,8,0.342822836468731,0.4057953265723,0.0617283950617284,0.88455293510991
4,8,0.517840806902535,0.188664054371557,0.414634146341463,0.307070866237017
5,8,0.435926761611546,0.280284086710708,0.240506329113924,0.566138469404116
6,8,0.617305032461211,0.102980343749342,0.424657534246575,0.294313618526343
7,8,0.930805157785106,0.00078586138786547,0.731707317073171,0.0390863390212493
8,8,0.654772399351786,0.0780680781791744,0.670886075949367,0.0685705618098423
9,8,0.917616524620901,0.00131290257137967,0.746835443037975,0.033252559177418
10,8,0.962440829038104,0.000128757676937342,0.926829268292683,0.000926422142911447
11,8,0.672777531579201,0.0675030421547258,0.62962962962963,0.0943451651056068
12,8,0.975955802156466,3.41276249945318e-05,0.974683544303797,3.97984255471566e-05
13,8,0.644775840903341,0.0843256090627875,0.414634146341463,0.307070866237017
14,8,0.686188092261754,0.0602165368955175,0.63855421686747,0.0883625688449134
15,8,0.422898332268143,0.296533762353771,0.135802469135802,0.74848368865351
16,8,0.686872989701551,0.0598576102052938,0.555555555555556,0.152822232383275
17,8,0.979105323687157,2.24499884517376e-05,0.917808219178082,0.00130395207243573
18,8,0.645596717499345,0.0838011517435438,0.560975609756098,0.148007079914522
19,8,0.983979376858188,1.01565284797238e-05,1,3.42113882891805e-48
20,8,0.669169413353956,0.0695479986028936,0.658536585365854,0.0757845840293002
21,8,0.0505096261914093,0.905455404216714,-0.0632911392405063,0.881645645130732
22,8,-0.029193588210235,0.945293115017395,-0.162162162162162,0.701234279866665
23,8,0.656076050147785,0.0772727419761561,0.605263157894737,0.111837768489366
24,8,0.267478485761382,0.521885264443321,0.405405405405405,0.319045565859473
25,8,0.964255756675225,0.000111132810307402,0.926829268292683,0.000926422142911447
26,8,0.686564859029896,0.0600189308580159,0.6,0.11584
27,8,0.486523176197044,0.22149970177806,0.102564102564103,0.809036692029818
