"method","compartment","sample_set","reference_type","shift_metric","tgi_measure","tgi_day","n","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","pre_specified_primary","pearson_q_exploratory","spearman_q_exploratory"
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_auc",NA,8,0.799151171117731,0.0173270442722505,0.0270833333333333,0.0134672619047619,40320,"exact_TGI_label_enumeration",0.714285714285714,0.0465282322841672,0.0575892857142857,0.0287946428571429,40320,"exact_TGI_label_enumeration",TRUE,0.0962962962962963,0.243363898904227
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_3",3,8,-0.289733223079984,0.486386762603941,0.574742525747425,0.708429157084292,10000,"monte_carlo_TGI_label_permutation",0.0238095238095238,0.955374011815881,0.976302369763024,0.493550644935506,10000,"monte_carlo_TGI_label_permutation",FALSE,0.626991846269918,0.988398002305033
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_7",7,8,0.784450685572201,0.0211638431944392,0.0214978502149785,0.012998700129987,10000,"monte_carlo_TGI_label_permutation",0.714285714285714,0.0465282322841672,0.0571942805719428,0.0301969803019698,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0962962962962963,0.243363898904227
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_10",10,8,0.725576855695034,0.0416156190136537,0.0225977402259774,0.01999800019998,10000,"monte_carlo_TGI_label_permutation",0.523809523809524,0.182720750539715,0.204879512048795,0.102089791020898,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0962962962962963,0.38565555209185
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_14",14,8,0.568037837006985,0.141860119801945,0.145885411458854,0.0756924307569243,10000,"monte_carlo_TGI_label_permutation",0.547619047619048,0.160025642538896,0.168083191680832,0.0822917708229177,10000,"monte_carlo_TGI_label_permutation",FALSE,0.245701745614912,0.358577475585775
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_17",17,8,0.757723782837161,0.0294055339683638,0.0235976402359764,0.0145985401459854,10000,"monte_carlo_TGI_label_permutation",0.547619047619048,0.160025642538896,0.172482751724828,0.0850914908509149,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0962962962962963,0.35996400359964
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_21",21,8,0.518171446211105,0.188332170736657,0.191480851914809,0.0980901909809019,10000,"monte_carlo_TGI_label_permutation",0.285714285714286,0.492726245016957,0.5003499650035,0.248675132486751,10000,"monte_carlo_TGI_label_permutation",FALSE,0.284426941921193,0.64044795520448
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_24",24,8,0.803617771556642,0.0162549621343375,0.0172982701729827,0.011998800119988,10000,"monte_carlo_TGI_label_permutation",0.690476190476191,0.0579903181645727,0.0714928507149285,0.032996700329967,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0962962962962963,0.243363898904227
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_27",27,8,0.772926985531907,0.0245123456937931,0.0345965403459654,0.0176982301769823,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.0861913808619138,0.0452954704529547,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0970569609705696,0.243363898904227
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_31",31,8,0.804934098916804,0.0159471678911494,0.0178982101789821,0.0080991900809919,10000,"monte_carlo_TGI_label_permutation",0.690476190476191,0.0579903181645727,0.0701929807019298,0.0352964703529647,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0962962962962963,0.243363898904227
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_34",34,8,0.381561234918405,0.350978710437098,0.35026497350265,0.180781921807819,10000,"monte_carlo_TGI_label_permutation",0.0714285714285714,0.866526270675909,0.877812218778122,0.445655434456554,10000,"monte_carlo_TGI_label_permutation",FALSE,0.431341481236492,0.926571079155821
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_38",38,8,-0.23515376966883,0.575071247055719,0.566643335666433,0.712928707129287,10000,"monte_carlo_TGI_label_permutation",-0.333333333333333,0.419753086419753,0.437456254374563,0.797320267973203,10000,"monte_carlo_TGI_label_permutation",FALSE,0.625261611769858,0.567510816485919
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_auc",NA,8,0.815583655019181,0.0135910091796834,0.024702380952381,0.0121031746031746,40320,"exact_TGI_label_enumeration",0.714285714285714,0.0465282322841672,0.0575892857142857,0.0287946428571429,40320,"exact_TGI_label_enumeration",FALSE,0.0962962962962963,0.243363898904227
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_3",3,8,-0.15505891622939,0.713891072224803,0.819418058194181,0.607339266073393,10000,"monte_carlo_TGI_label_permutation",0.0476190476190476,0.910849168519584,0.94000599940006,0.46945305469453,10000,"monte_carlo_TGI_label_permutation",FALSE,0.84585089878109,0.970328773574256
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_7",7,8,0.798671362816324,0.0174447680270919,0.0160983901609839,0.0110988901109889,10000,"monte_carlo_TGI_label_permutation",0.595238095238095,0.119529806138793,0.136186381361864,0.0660933906609339,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0962962962962963,0.318875429530218
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_10",10,8,0.662379840639775,0.0734940122634667,0.056994300569943,0.0400959904009599,10000,"monte_carlo_TGI_label_permutation",0.428571428571429,0.28940322484679,0.299070092990701,0.151584841515848,10000,"monte_carlo_TGI_label_permutation",FALSE,0.116413890525841,0.459687364596874
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_14",14,8,0.552364661097078,0.155696589501304,0.158084191580842,0.077992200779922,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.0852914708529147,0.0456954304569543,10000,"monte_carlo_TGI_label_permutation",FALSE,0.252934706529347,0.243363898904227
