"iteration","n","pearson_r","pearson_p","spearman_rho","spearman_p"
1,8,0.675159476559525,0.0661727495525388,0.560975609756098,0.148007079914522
2,8,0.960898864608719,0.000145105599835598,0.634146341463415,0.0912890821441658
3,8,0.817664832644214,0.0131579698976442,0.69620253164557,0.0550950655487157
4,8,0.62484676368896,0.0976447200131124,0.367088607594937,0.371042516598345
5,8,0.670319504785153,0.0688922551001687,0.263157894736842,0.528885961344841
6,8,0.949152648704043,0.000316252504274575,0.734939759036145,0.0377913597475922
7,8,0.534265903431899,0.172553844166959,0.341463414634146,0.407782409074504
8,8,0.963536669358179,0.000117911391283256,0.804878048780488,0.0159601987985088
9,8,0.765743840069533,0.0267557911401723,0.468354430379747,0.241804882823014
10,8,0.646367189896489,0.0833106287962075,0.24390243902439,0.560495956966516
11,8,0.735894993240465,0.0374137511680171,0.475,0.234272098388672
12,8,0.981074183887667,1.67077829053605e-05,0.925,0.000996251220703118
13,8,0.653712591393987,0.0787181631045728,0.609756097560976,0.108484275261192
14,8,0.648089897075599,0.0822199233197084,0.609756097560976,0.108484275261192
15,8,0.98301892743882,1.20861443148272e-05,0.753086419753086,0.0310085131644479
16,8,-0.261088363593315,0.532251419540878,-0.230769230769231,0.58242412326653
17,8,0.739818272284263,0.035887030766666,0.468354430379747,0.241804882823014
18,8,0.626427863153136,0.0965467436837235,0.555555555555556,0.152822232383275
19,8,0.728325641877562,0.0404696200741449,0.828571428571429,0.0110309466293806
20,8,0.444857244245418,0.269404767632544,0.275,0.509781307373047
21,8,0.98626788027706,6.40721258601386e-06,1,0
22,8,0.841668189256446,0.00878200038164735,0.756756756756757,0.0297354894241181
23,8,0.675602142560455,0.0659272487530887,0.609756097560976,0.108484275261192
24,8,0.522424035355026,0.184091299720864,0.307692307692308,0.458455990282607
25,8,0.714428713703932,0.0464639361731688,0.658536585365854,0.0757845840293002
26,8,0.787758012942089,0.0202587346749944,0.670886075949367,0.0685705618098423
27,8,0.827720339310057,0.0111884603968543,0.69620253164557,0.0550950655487157
28,8,0.623903741376222,0.0983029905140387,0.390243902439024,0.339186635335989
29,8,0.968325762495306,7.75682471943991e-05,0.917808219178082,0.00130395207243573
30,8,0.989586218916434,2.80134861959606e-06,0.973684210526316,4.46660881693344e-05
31,8,0.934185479497287,0.000677981082817165,0.609756097560976,0.108484275261192
