"compartment","analysis","model","term","estimate","std_error","statistic","p_value","n","tgi_measure","pre_specified_primary"
"CellCycle","shift_only","`TGI_percent_Day_17` ~ scale(ecdf_rmse)","(Intercept)",65.2474078682924,8.11129294005768,8.04402064510178,0.000197359932397958,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_only","`TGI_percent_Day_17` ~ scale(ecdf_rmse)","scale(ecdf_rmse)",21.4277220319464,8.67133689870119,2.47109785748907,0.0483856344835757,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","(Intercept)",39.6402392140107,17.4660484616772,2.26955967178188,0.0857693499186353,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse)",24.1305777653726,8.81238655846606,2.73825683942454,0.0519987464118897,8,"TGI_percent_Day_17",TRUE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","end_timepoint_ploidy_groupETP-higher",22.2609158202971,18.8882742765838,1.17855742109243,0.303895746651533,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + end_timepoint_ploidy_group + dose_mg_factor","dose_mg_factor120",28.9534214882663,17.5345244189856,1.65122365434199,0.17403734364889,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","(Intercept)",34.9814511688578,19.4381255164539,1.79963089235363,0.169742657898985,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse)",15.7565151666177,14.3890439521495,1.09503558533949,0.353541094709997,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","end_timepoint_ploidy_groupETP-higher",27.6763564442978,21.1813156410666,1.30664010268742,0.282477648077623,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","dose_mg_factor120",39.23188309977,22.903500807418,1.7129208075939,0.185244870720911,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * end_timepoint_ploidy_group + dose_mg_factor","scale(ecdf_rmse):end_timepoint_ploidy_groupETP-higher",17.5064708369817,22.9334858352829,0.76335847776129,0.500790071331914,8,"TGI_percent_Day_17",FALSE
