"method","compartment","sample_set","reference_type","shift_metric","tgi_measure","tgi_day","n","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","pre_specified_primary","pearson_q_exploratory","spearman_q_exploratory"
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_auc",NA,8,0.718747762706466,0.044547208153895,0.0521947805219478,0.0276972302769723,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.0853914608539146,0.0437956204379562,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180555555555556,0.339737454825946
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_3",3,8,-0.329648997820928,0.425226402047907,0.474652534746525,0.749225077492251,10000,"monte_carlo_TGI_label_permutation",-0.0476190476190476,0.910849168519584,0.934206579342066,0.556644335566443,10000,"monte_carlo_TGI_label_permutation",FALSE,0.548995702839355,0.977641366298153
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_7",7,8,0.733724894343009,0.0382749433389754,0.0396960303969603,0.0196980301969803,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.085991400859914,0.044995500449955,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180555555555556,0.339737454825946
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_10",10,8,0.687609161100959,0.0594732362317996,0.0537946205379462,0.0320967903209679,10000,"monte_carlo_TGI_label_permutation",0.452380952380952,0.260404767436885,0.266373362663734,0.133686631336866,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180555555555556,0.41879682999442
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_14",14,8,0.560883916306914,0.148087835822126,0.151884811518848,0.0755924407559244,10000,"monte_carlo_TGI_label_permutation",0.523809523809524,0.182720750539715,0.193680631936806,0.0971902809719028,10000,"monte_carlo_TGI_label_permutation",FALSE,0.247134608573041,0.384729527047295
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_17",17,8,0.710205100013731,0.0483856344835757,0.0457589285714286,0.0258680555555556,40320,"exact_TGI_label_enumeration",0.476190476190476,0.232935534650098,0.243055555555556,0.121527777777778,40320,"exact_TGI_label_enumeration",TRUE,0.180555555555556,0.417642446281688
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_21",21,8,0.410620133796751,0.312252443900399,0.311968803119688,0.152984701529847,10000,"monte_carlo_TGI_label_permutation",0.142857142857143,0.735764859879812,0.756924307569243,0.376162383761624,10000,"monte_carlo_TGI_label_permutation",FALSE,0.427842929992715,0.886155286910333
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_24",24,8,0.694067999996624,0.0561639420337599,0.0578942105789421,0.02999700029997,10000,"monte_carlo_TGI_label_permutation",0.595238095238095,0.119529806138793,0.134586541345865,0.0658934106589341,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180555555555556,0.374362563743626
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_27",27,8,0.702893926188204,0.0518236158165204,0.0570942905709429,0.0284971502849715,10000,"monte_carlo_TGI_label_permutation",0.642857142857143,0.0855588910126732,0.0980901909809019,0.0525947405259474,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180555555555556,0.339737454825946
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_31",31,8,0.740582192482311,0.0355942615847411,0.0386961303869613,0.0183981601839816,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.0886911308869113,0.0447955204479552,10000,"monte_carlo_TGI_label_permutation",FALSE,0.180555555555556,0.339737454825946
