"compartment","analysis","model","term","estimate","std_error","statistic","p_value","n","tgi_measure","pre_specified_primary"
"CellCycle","shift_only","`TGI_percent_Day_17` ~ scale(ecdf_rmse)","(Intercept)",65.2474078682924,8.20959008460455,7.94770593852803,0.000211001474875936,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_only","`TGI_percent_Day_17` ~ scale(ecdf_rmse)","scale(ecdf_rmse)",21.1694681856872,8.77642096641334,2.41208440965868,0.0524248930610582,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + initial_ploidy + dose_mg_factor","(Intercept)",68.684129717397,10.2634091150615,6.6921360093308,0.00259333211010531,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + initial_ploidy + dose_mg_factor","scale(ecdf_rmse)",13.7986874018376,6.86065268072704,2.0112791076862,0.114631603408164,8,"TGI_percent_Day_17",TRUE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + initial_ploidy + dose_mg_factor","initial_ploidy4N",-28.4381033735183,12.8006975361939,-2.2216057596166,0.0904506208644005,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) + initial_ploidy + dose_mg_factor","dose_mg_factor120",21.5646596753091,11.5915310698891,1.86038061281885,0.136340361821937,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * initial_ploidy + dose_mg_factor","(Intercept)",60.4545100523527,4.68815577530755,12.8951581282273,0.00100662448366069,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * initial_ploidy + dose_mg_factor","scale(ecdf_rmse)",27.0924052261887,4.15301534039492,6.52355048214497,0.00731894189740676,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * initial_ploidy + dose_mg_factor","initial_ploidy4N",-28.358832097868,5.37096900632298,-5.28002155001872,0.0132478033157474,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * initial_ploidy + dose_mg_factor","dose_mg_factor120",27.3444506177315,5.0347284090519,5.43116696594181,0.0122510620679464,8,"TGI_percent_Day_17",FALSE
"CellCycle","shift_by_ploidy_dose_adjusted","`TGI_percent_Day_17` ~ scale(ecdf_rmse) * initial_ploidy + dose_mg_factor","scale(ecdf_rmse):initial_ploidy4N",-26.3900827645797,5.94260239878935,-4.44082928549216,0.0212315026651806,8,"TGI_percent_Day_17",FALSE
