"method","compartment","sample_set","predictor","predictor_label","tgi_measure","tgi_day","n","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","multiplicity_family","analysis_role","pre_specified_primary","pearson_q_exploratory","spearman_q_exploratory"
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_auc",NA,8,-0.44236325876264,0.272421613075645,0.280971902809719,0.86021397860214,10000,"monte_carlo_TGI_label_permutation",-0.214285714285714,0.610344415645267,0.615738426157384,0.714928507149285,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.540312635403126,0.87961203879612
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_3",3,8,0.685382443385195,0.0606403796289896,0.0999900009999,0.0732926707329267,10000,"monte_carlo_TGI_label_permutation",0.238095238095238,0.570156320815768,0.586741325867413,0.295170482951705,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.53641302536413,0.87961203879612
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_7",7,8,-0.386832782782147,0.343797175382687,0.336866313368663,0.826117388261174,10000,"monte_carlo_TGI_label_permutation",-0.380952380952381,0.351812553117565,0.357664233576642,0.838016198380162,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.540312635403126,0.87961203879612
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_10",10,8,-0.62343812279186,0.0986289496412973,0.123787621237876,0.909009099090091,10000,"monte_carlo_TGI_label_permutation",-0.30952380952381,0.455644890737582,0.45965403459654,0.791620837916208,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.53641302536413,0.87961203879612
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_14",14,8,-0.360845912756323,0.379851746703807,0.374062593740626,0.814418558144186,10000,"monte_carlo_TGI_label_permutation",-0.0952380952380952,0.822505430203611,0.843515648435156,0.601439856014399,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.540312635403126,0.87961203879612
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_17",17,8,-0.698401019253014,0.054006978151185,0.058994100589941,0.964703529647035,10000,"monte_carlo_TGI_label_permutation",-0.476190476190476,0.232935534650098,0.23997600239976,0.895110488951105,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.53641302536413,0.87961203879612
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_21",21,8,-0.44174673860265,0.273169946197034,0.283571642835716,0.85011498850115,10000,"monte_carlo_TGI_label_permutation",-0.0952380952380952,0.822505430203611,0.836916308369163,0.601939806019398,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.540312635403126,0.87961203879612
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_24",24,8,-0.387348978978664,0.343097626516945,0.35006499350065,0.814918508149185,10000,"monte_carlo_TGI_label_permutation",-0.0714285714285714,0.866526270675909,0.87961203879612,0.578442155784422,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.540312635403126,0.87961203879612
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_24_control_median",24,8,-0.456611460957298,0.255411166818854,0.25530753968254,0.865277777777778,40320,"exact_TGI_label_enumeration",-0.238095238095238,0.570156320815768,0.582142857142857,0.731795634920635,40320,"exact_TGI_label_enumeration","CellCycle_mean_ETP_TGI","selected_TGI_outcome",TRUE,0.540312635403126,0.87961203879612
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_27",27,8,-0.250150317480866,0.550167343349981,0.58034196580342,0.708229177082292,10000,"monte_carlo_TGI_label_permutation",-0.166666666666667,0.693238811728395,0.704129587041296,0.666033396660334,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.628703796287038,0.87961203879612
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_31",31,8,-0.296948455789289,0.475086351653847,0.485551444855514,0.76012398760124,10000,"monte_carlo_TGI_label_permutation",-0.0952380952380952,0.822505430203611,0.837616238376162,0.5997400259974,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.612475116124751,0.87961203879612
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_34",34,8,0.00437371674640836,0.991799385683096,0.989201079892011,0.455154484551545,10000,"monte_carlo_TGI_label_permutation",0.238095238095238,0.570156320815768,0.582441755824418,0.296570342965703,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.989201079892011,0.87961203879612
"ETP_boundary_stress_threshold_2_375","CellCycle","treated","sample_mean_endpoint_ploidy","sample_mean_ETP","TGI_percent_Day_38",38,8,-0.284185057538568,0.495146821825007,0.518248175182482,0.738226177382262,10000,"monte_carlo_TGI_label_permutation",-0.214285714285714,0.610344415645267,0.613138686131387,0.71032896710329,10000,"monte_carlo_TGI_label_permutation","CellCycle_mean_ETP_TGI","exploratory_mean_ETP",FALSE,0.612475116124751,0.87961203879612
