"method","compartment","sample_set","reference_type","shift_metric","tgi_measure","tgi_day","n","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","pre_specified_primary","pearson_q_exploratory","spearman_q_exploratory"
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_auc",NA,8,0.718747762706466,0.044547208153895,0.0521947805219478,0.0276972302769723,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.0853914608539146,0.0437956204379562,10000,"monte_carlo_TGI_label_permutation",FALSE,0.175012286005442,0.333425925925926
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_3",3,8,-0.329648997820928,0.425226402047907,0.474652534746525,0.749225077492251,10000,"monte_carlo_TGI_label_permutation",-0.0476190476190476,0.910849168519584,0.934206579342066,0.556644335566443,10000,"monte_carlo_TGI_label_permutation",FALSE,0.544402702586884,0.975110488951105
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_7",7,8,0.733724894343009,0.0382749433389754,0.0396960303969603,0.0196980301969803,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.085991400859914,0.044995500449955,10000,"monte_carlo_TGI_label_permutation",FALSE,0.175012286005442,0.333425925925926
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_10",10,8,0.687609161100959,0.0594732362317996,0.0537946205379462,0.0320967903209679,10000,"monte_carlo_TGI_label_permutation",0.452380952380952,0.260404767436885,0.266373362663734,0.133686631336866,10000,"monte_carlo_TGI_label_permutation",FALSE,0.175012286005442,0.419739844197398
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_14",14,8,0.560883916306914,0.148087835822126,0.151884811518848,0.0755924407559244,10000,"monte_carlo_TGI_label_permutation",0.523809523809524,0.182720750539715,0.193680631936806,0.0971902809719028,10000,"monte_carlo_TGI_label_permutation",FALSE,0.235761498477018,0.376631427766314
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_17",17,8,0.710205100013731,0.0483856344835757,0.0426957304269573,0.0240975902409759,10000,"monte_carlo_TGI_label_permutation",0.476190476190476,0.232935534650098,0.243875612438756,0.12048795120488,10000,"monte_carlo_TGI_label_permutation",FALSE,0.175012286005442,0.410511329819399
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_21",21,8,0.410620133796751,0.312252443900399,0.307669233076692,0.151884811518848,10000,"monte_carlo_TGI_label_permutation",0.142857142857143,0.735764859879812,0.761923807619238,0.379262073792621,10000,"monte_carlo_TGI_label_permutation",FALSE,0.410225644102256,0.880445288804453
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_24",24,8,0.694067999996624,0.0561639420337599,0.0587941205879412,0.0317968203179682,10000,"monte_carlo_TGI_label_permutation",0.595238095238095,0.119529806138793,0.130686931306869,0.0652934706529347,10000,"monte_carlo_TGI_label_permutation",FALSE,0.175012286005442,0.352777777777778
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_24_control_median",24,8,0.670263371832546,0.0689241751910168,0.0733878968253968,0.0371279761904762,40320,"exact_TGI_label_enumeration",0.523809523809524,0.182720750539715,0.196626984126984,0.0983134920634921,40320,"exact_TGI_label_enumeration",TRUE,0.175012286005442,0.376631427766314
"ETP_fixed_threshold_2_25","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_27",27,8,0.702893926188204,0.0518236158165204,0.0585941405859414,0.0291970802919708,10000,"monte_carlo_TGI_label_permutation",0.642857142857143,0.0855588910126732,0.0958904109589041,0.048995100489951,10000,"monte_carlo_TGI_label_permutation",FALSE,0.175012286005442,0.333425925925926
