"tgi_measure","iteration","n","pearson_r","pearson_p","spearman_rho","spearman_p"
"TGI_percent_Day_24_control_median",1,8,0.898098527077346,0.00244728671843533,0.851851851851852,0.00725239908517074
"TGI_percent_Day_24_control_median",2,8,-0.646418407206238,0.0832780805829444,-0.392405063291139,0.336280494675457
"TGI_percent_Day_24_control_median",3,8,-0.386287575719859,0.344536753587346,-0.382716049382716,0.34939965019076
"TGI_percent_Day_24_control_median",4,8,-0.162381584674603,0.70084424439769,0.365853658536585,0.37277785416078
"TGI_percent_Day_24_control_median",5,8,-0.60974526679958,0.108492289491175,0.0632911392405063,0.881645645130731
"TGI_percent_Day_24_control_median",6,8,0.696622222336582,0.0548863467249003,0.518987341772152,0.187514534406167
"TGI_percent_Day_24_control_median",7,8,-0.80538747633337,0.01584200905235,-0.62962962962963,0.094345165105607
"TGI_percent_Day_24_control_median",8,8,-0.447184825543044,0.266604228438844,-0.228915662650602,0.585542062912906
"TGI_percent_Day_24_control_median",9,8,-0.658174837302388,0.0760023104872204,-0.316455696202532,0.445069441835733
"TGI_percent_Day_24_control_median",10,8,-0.18630788166549,0.658672125228386,-0.316455696202532,0.445069441835733
"TGI_percent_Day_24_control_median",11,8,0.108654975241065,0.797869705035384,0.384615384615385,0.346809662449871
"TGI_percent_Day_24_control_median",12,8,-0.613200789572834,0.105952464874264,-0.468354430379747,0.241804882823014
"TGI_percent_Day_24_control_median",13,8,-0.670934979652017,0.0685428364377484,-0.62962962962963,0.094345165105607
"TGI_percent_Day_24_control_median",14,8,-0.220211318054006,0.600257978570887,-0.589041095890411,0.124429494317035
"TGI_percent_Day_24_control_median",15,8,-0.365618054200822,0.37310933489447,-0.234567901234568,0.576051906571553
"TGI_percent_Day_24_control_median",16,8,-0.57608462474103,0.135031611999743,-0.373493975903614,0.362100237410523
"TGI_percent_Day_24_control_median",17,8,-0.245241875835627,0.558275974630534,-0.121951219512195,0.773598436910597
"TGI_percent_Day_24_control_median",18,8,-0.579395449743876,0.132276316367148,-0.432098765432099,0.285012238128342
"TGI_percent_Day_24_control_median",19,8,-0.734935686636847,0.0377929745346327,-0.746835443037975,0.0332525591774179
"TGI_percent_Day_24_control_median",20,8,-0.715308506967118,0.0460695390009555,-0.45679012345679,0.255201343606103
"TGI_percent_Day_24_control_median",21,8,0.804574742301478,0.0160308293888525,0.615384615384616,0.104365016307875
"TGI_percent_Day_24_control_median",22,8,-0.963721227968475,0.000116146300657675,-0.853658536585366,0.00700028132287885
"TGI_percent_Day_24_control_median",23,8,-0.882983430088959,0.00366240850241763,-0.804878048780488,0.0159601987985089
