"method","compartment","sample_set","reference_type","shift_metric","tgi_measure","tgi_day","n","pearson_r","pearson_p_asymptotic","pearson_p_permutation_two_sided","pearson_p_permutation_positive","pearson_n_permutations","pearson_permutation_mode","spearman_rho","spearman_p_asymptotic","spearman_p_permutation_two_sided","spearman_p_permutation_positive","spearman_n_permutations","spearman_permutation_mode","pre_specified_primary","pearson_q_exploratory","spearman_q_exploratory"
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_auc",NA,8,0.799151171117731,0.0173270442722505,0.0272972702729727,0.0137986201379862,10000,"monte_carlo_TGI_label_permutation",0.714285714285714,0.0465282322841672,0.0606939306069393,0.0306969303069693,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0957237609572376,0.240909242409092
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_3",3,8,-0.289733223079984,0.486386762603941,0.573842615738426,0.707229277072293,10000,"monte_carlo_TGI_label_permutation",0.0238095238095238,0.955374011815881,0.974302569743026,0.485151484851515,10000,"monte_carlo_TGI_label_permutation",FALSE,0.621662833716628,0.987093523657343
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_7",7,8,0.784450685572201,0.0211638431944392,0.0206979302069793,0.0120987901209879,10000,"monte_carlo_TGI_label_permutation",0.714285714285714,0.0465282322841672,0.0595940405959404,0.0314968503149685,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0935906409359064,0.240909242409092
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_10",10,8,0.725576855695034,0.0416156190136537,0.0232976702329767,0.0197980201979802,10000,"monte_carlo_TGI_label_permutation",0.523809523809524,0.182720750539715,0.192380761923808,0.0953904609539046,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0935906409359064,0.346596717783158
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_14",14,8,0.568037837006985,0.141860119801945,0.143785621437856,0.0730926907309269,10000,"monte_carlo_TGI_label_permutation",0.547619047619048,0.160025642538896,0.166483351664834,0.0828917108289171,10000,"monte_carlo_TGI_label_permutation",FALSE,0.23005699430057,0.332966703329667
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_17",17,8,0.757723782837161,0.0294055339683638,0.022997700229977,0.0146985301469853,10000,"monte_carlo_TGI_label_permutation",0.547619047619048,0.160025642538896,0.17048295170483,0.0833916608339166,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0935906409359064,0.334532584477401
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_21",21,8,0.518171446211105,0.188332170736657,0.190580941905809,0.0994900509949005,10000,"monte_carlo_TGI_label_permutation",0.285714285714286,0.492726245016957,0.504249575042496,0.249175082491751,10000,"monte_carlo_TGI_label_permutation",FALSE,0.27151257476992,0.631830792824332
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_24",24,8,0.803617771556642,0.0162549621343375,0.0163983601639836,0.0104989501049895,10000,"monte_carlo_TGI_label_permutation",0.690476190476191,0.0579903181645727,0.0692930706929307,0.0366963303669633,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0935906409359064,0.240909242409092
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_24_control_median",24,8,0.769646094916699,0.0255219654505472,0.0309771825396825,0.0171130952380952,40320,"exact_TGI_label_enumeration",0.642857142857143,0.0855588910126732,0.0961805555555556,0.0480902777777778,40320,"exact_TGI_label_enumeration",TRUE,0.0957237609572376,0.254254574542546
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_27",27,8,0.772926985531907,0.024512345693793,0.0333966603339666,0.0162983701629837,10000,"monte_carlo_TGI_label_permutation",0.666666666666667,0.0709876543209875,0.0833916608339166,0.0418958104189581,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0957237609572376,0.240909242409092
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_31",31,8,0.804934098916804,0.0159471678911493,0.0156984301569843,0.0070992900709929,10000,"monte_carlo_TGI_label_permutation",0.690476190476191,0.0579903181645727,0.0707929207079292,0.033996600339966,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0935906409359064,0.240909242409092
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_34",34,8,0.381561234918405,0.350978710437098,0.353364663533647,0.178582141785821,10000,"monte_carlo_TGI_label_permutation",0.0714285714285714,0.866526270675909,0.876812318768123,0.443055694430557,10000,"monte_carlo_TGI_label_permutation",FALSE,0.427324709389526,0.924772169247722
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_rmse","TGI_percent_Day_38",38,8,-0.23515376966883,0.575071247055719,0.559044095590441,0.723227677232277,10000,"monte_carlo_TGI_label_permutation",-0.333333333333333,0.419753086419753,0.421857814218578,0.802719728027197,10000,"monte_carlo_TGI_label_permutation",FALSE,0.612006167804272,0.549242636711939
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_auc",NA,8,0.815583655019181,0.0135910091796834,0.024997500249975,0.0127987201279872,10000,"monte_carlo_TGI_label_permutation",0.714285714285714,0.0465282322841672,0.0573942605739426,0.0281971802819718,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0935906409359064,0.240909242409092
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_3",3,8,-0.15505891622939,0.713891072224803,0.828017198280172,0.607139286071393,10000,"monte_carlo_TGI_label_permutation",0.0476190476190476,0.910849168519584,0.933406659334067,0.455954404559544,10000,"monte_carlo_TGI_label_permutation",FALSE,0.844252829618999,0.961234569612346
"ETP_reference_balanced_threshold_2_24","CellCycle","treated","primary_equal_sample_reference","ecdf_ks","TGI_percent_Day_7",7,8,0.798671362816324,0.0174447680270919,0.0170982901709829,0.0123987601239876,10000,"monte_carlo_TGI_label_permutation",0.595238095238095,0.119529806138793,0.13048695130487,0.0681931806819318,10000,"monte_carlo_TGI_label_permutation",FALSE,0.0935906409359064,0.292730496453901
