"tgi_measure","iteration","n","pearson_r","pearson_p","spearman_rho","spearman_p"
"TGI_percent_Day_24_control_median",1,8,-0.272323998611935,0.514075416255923,0.111111111111111,0.793374993649342
"TGI_percent_Day_24_control_median",2,8,0.130123461879604,0.758758601076245,0.215189873417721,0.608801860963225
"TGI_percent_Day_24_control_median",3,8,-0.573696335269351,0.137038811801452,-0.45679012345679,0.255201343606103
"TGI_percent_Day_24_control_median",4,8,-0.590879876576177,0.122964097265962,-0.341463414634146,0.407782409074504
"TGI_percent_Day_24_control_median",5,8,-0.104197376682831,0.806039413613701,0.139240506329114,0.742278902896378
"TGI_percent_Day_24_control_median",6,8,-0.153833989437333,0.716079544851858,0.139240506329114,0.742278902896378
"TGI_percent_Day_24_control_median",7,8,-0.421983481851059,0.29769150662023,-0.407407407407407,0.316429397723464
"TGI_percent_Day_24_control_median",8,8,-0.268654521795714,0.519985721497908,-0.0120481927710843,0.977411824587767
"TGI_percent_Day_24_control_median",9,8,-0.424621931256434,0.294358470089742,-0.670886075949367,0.0685705618098423
"TGI_percent_Day_24_control_median",10,8,0.150622004695122,0.721826118871201,-0.113924050632911,0.788233439851227
"TGI_percent_Day_24_control_median",11,8,-0.796739667420198,0.0179237806526231,-0.615384615384616,0.104365016307875
"TGI_percent_Day_24_control_median",12,8,-0.63679203726976,0.0895259100693338,-0.670886075949367,0.0685705618098423
"TGI_percent_Day_24_control_median",13,8,-0.092487963496537,0.82757146089824,0.333333333333333,0.419753086419753
"TGI_percent_Day_24_control_median",14,8,0.958924824869078,0.000167958587671396,0.972602739726027,5.03610200209817e-05
"TGI_percent_Day_24_control_median",15,8,-0.811058400871459,0.0145633022237175,-0.728395061728395,0.0404409294591197
"TGI_percent_Day_24_control_median",16,8,-0.877574126562423,0.00417643410839131,-0.734939759036145,0.0377913597475923
"TGI_percent_Day_24_control_median",17,8,-0.736798607640908,0.0370586732812041,-0.536585365853659,0.170340970786708
"TGI_percent_Day_24_control_median",18,8,-0.856271375836404,0.00664568075459758,-0.753086419753086,0.0310085131644479
"TGI_percent_Day_24_control_median",19,8,-0.396874996871467,0.330306663943287,0.0886075949367088,0.834728317893272
"TGI_percent_Day_24_control_median",20,8,-0.984416943708683,9.34992899051137e-06,-0.925925925925926,0.000960491276443552
"TGI_percent_Day_24_control_median",21,8,-0.486238659126505,0.221810624270919,-0.538461538461539,0.16856229446825
"TGI_percent_Day_24_control_median",22,8,-0.141468045272959,0.738265203609643,0.24390243902439,0.560495956966516
"TGI_percent_Day_24_control_median",23,8,-0.94536062439721,0.000391280150518828,-0.853658536585366,0.00700028132287885
"TGI_percent_Day_24_control_median",24,8,-0.816232488828175,0.0134550551055759,-0.634146341463415,0.0912890821441658
"TGI_percent_Day_24_control_median",25,8,-0.307332070554059,0.459009729786085,-0.036144578313253,0.932287918005115
"TGI_percent_Day_24_control_median",26,8,0.741335436453506,0.0353070170994697,0.540540540540541,0.166603118711555
