drug	response_metric	response_metric_label	response_metric_scale	ploidy_stat	ploidy_stat_label	n_samples	pearson_r	p_value
Gemcitabine	ec50	EC50	log10_uM	mean	mean	12	0.392697652390412	0.206688923591689
Gemcitabine	ic50	IC50	log10_uM	mean	mean	9	0.417887266743417	0.263044716436873
Gemcitabine	ec50	EC50	log10_uM	median	median	12	0.397557668738414	0.20062366310914
Gemcitabine	ic50	IC50	log10_uM	median	median	9	0.398233994254327	0.288436583273245
Gemcitabine	ec50	EC50	log10_uM	q90	90th percentile	12	0.366509029449305	0.241275627058576
Gemcitabine	ic50	IC50	log10_uM	q90	90th percentile	9	0.36993185516574	0.327119514340711
Gemcitabine	ec50	EC50	log10_uM	q10	10th percentile	12	0.345638364405499	0.271136699448267
Gemcitabine	ic50	IC50	log10_uM	q10	10th percentile	9	0.294236319678648	0.442164605485331
Gemcitabine	ec50	EC50	log10_uM	q75	75th percentile	12	0.426451527298451	0.166834356877287
Gemcitabine	ic50	IC50	log10_uM	q75	75th percentile	9	0.431229389380293	0.246507888583686
Gemcitabine	ec50	EC50	log10_uM	max	maximum	12	0.334331888666773	0.288159778843612
Gemcitabine	ic50	IC50	log10_uM	max	maximum	9	0.286181336635745	0.455334023914262
Gemcitabine	ec50	EC50	log10_uM	min	minimum	12	0.244672856610336	0.443420312423856
Gemcitabine	ic50	IC50	log10_uM	min	minimum	9	0.238024989849924	0.537413480250242
