drug	response_metric	response_metric_label	response_metric_scale	ploidy_stat	ploidy_stat_label	sample	group	group_pair_label	ploidy_class	ploidy	ploidy_source	analysis_cloneid_origin	origin_resolution_status	origin_resolution_distance_edges	origin_resolution_mrca	metric_uM	metric_value	model_type
Gemcitabine	ic50	IC50	log10_uM	max	maximum	HGC-27_MRCA_harvest	HGC	HGC-27: 3.4N vs. 3.7N	Low	3.35183243007983	cloneid_genome_perspective	HGC-27_MRCA_harvest	exact_mapped_genome_perspective	0	HGC-27_MRCA_harvest	0.336354338640145	-0.473202965973386	LL.4
Gemcitabine	ic50	IC50	log10_uM	max	maximum	HGC-27_G1_A10_harvesT3	HGC	HGC-27: 3.4N vs. 3.7N	High	3.65403622143074	cloneid_genome_perspective	HGC-27_G1_A9_harvesT155	nearest_pedigree_genome_perspective	2	HGC-27_G1_A9_harvesT155	0.065587113953204	-1.18318147905031	LL.4
Gemcitabine	ic50	IC50	log10_uM	max	maximum	MDA-MB-231_O1_A23-K_harvest	MDA	MDA-MB-231: 4.6N vs. 4.8N	Low	4.60757698230523	cloneid_genome_perspective	MDA-MB-231_O1_A23-K_harvest	exact_mapped_genome_perspective	0	MDA-MB-231_O1_A23-K_harvest	NA	NA	LL.4
Gemcitabine	ic50	IC50	log10_uM	max	maximum	MDA-MB-231_G2_A3_harvesT8	MDA	MDA-MB-231: 4.6N vs. 4.8N	High	4.8231775261434	cloneid_genome_perspective	MDA-MB-231_G2_A4_seed	nearest_pedigree_genome_perspective	1	MDA-MB-231_G2_A3_harvesT8	NA	NA	LL.4
Gemcitabine	ic50	IC50	log10_uM	max	maximum	SNU-668_P1_A19kT_harvest	SNU	SNU-668: 3.5N vs. 5.1N	Low	3.46076257435524	cloneid_genome_perspective	SNU-668_P1_A18K_seed	nearest_pedigree_genome_perspective	3	SNU-668_P1_A17k_harvest	0.0247414930995384	-1.60657409511418	LL.4
Gemcitabine	ic50	IC50	log10_uM	max	maximum	SNU-668_r2_GFP_VT_A7_harvesT3	SNU	SNU-668: 3.5N vs. 5.1N	High	5.09050049325221	cloneid_genome_perspective	SNU-668_r2_A55_seedT1	nearest_pedigree_genome_perspective	24	SNU-668_r2_A55_seedT1	0.0664045667578392	-1.17780205241617	LL.4
Gemcitabine	ic50	IC50	log10_uM	max	maximum	SUM159_NLS_2N_O1_A7K_harvest	SUM	SUM-159: 2.3N vs. 4.4N	Low	2.33228089514092	cloneid_genome_perspective	SUM159_NLS_2N_O1_A7K_harvest	exact_mapped_genome_perspective	0	SUM159_NLS_2N_O1_A7K_harvest	0.104550765155342	-0.980672784448158	LL.4
Gemcitabine	ic50	IC50	log10_uM	max	maximum	SUM-159_NLS_2N_O2_A24_seedT2	SUM	SUM-159: 2.3N vs. 4.4N	High	4.36058359684821	cloneid_genome_perspective	SUM-159_NLS_2N_O2_A19_seed	nearest_pedigree_genome_perspective	11	SUM-159_NLS_2N_O2_A19_seed	0.100209937507897	-0.99908920869987	LL.4
Gemcitabine	ic50	IC50	log10_uM	max	maximum	SUM-159_2N	SUMOld	SUM-159: 2.0N vs. 3.5N	Low	2.009975	embedded_fallback		target_not_in_passaging	NA	NA	0.0157626293503155	-1.80237133652368	LL.4
Gemcitabine	ic50	IC50	log10_uM	max	maximum	SUM-159_4N	SUMOld	SUM-159: 2.0N vs. 3.5N	High	3.49593528659252	embedded_fallback		target_not_in_passaging	NA	NA	0.0506545311043647	-1.29538170043978	LL.4
Gemcitabine	ic50	IC50	log10_uM	max	maximum	MDAMB231_2N	MDAOld	MDA-MB-231: 4.2N vs. 6.5N	Low	4.15675859608933	embedded_fallback		target_not_in_passaging	NA	NA	0.0848915225924869	-1.07113567695425	LL.4
Gemcitabine	ic50	IC50	log10_uM	max	maximum	MDAMB231_4N	MDAOld	MDA-MB-231: 4.2N vs. 6.5N	High	6.5	embedded_fallback		target_not_in_passaging	NA	NA	NA	NA	LL.4
