drug	response_metric	response_metric_label	response_metric_scale	ploidy_stat	ploidy_stat_label	group	group_pair_label	low_sample	high_sample	low_ploidy	high_ploidy	low_ploidy_source	high_ploidy_source	low_analysis_cloneid_origin	high_analysis_cloneid_origin	low_origin_resolution_status	high_origin_resolution_status	low_origin_resolution_distance_edges	high_origin_resolution_distance_edges	low_origin_resolution_mrca	high_origin_resolution_mrca	delta_ploidy	low_metric_value	high_metric_value	delta_metric_high_minus_low	low_metric_uM	high_metric_uM	log2_fc_metric_high_vs_low
Gemcitabine	ic50	IC50	log10_uM	mean	mean	HGC	HGC-27: 3.1N vs. 3.2N	HGC-27_MRCA_harvest	HGC-27_G1_A10_harvesT3	3.14258718660847	3.24002981121058	cloneid_genome_perspective	cloneid_genome_perspective	HGC-27_MRCA_harvest	HGC-27_G1_A9_harvesT155	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	2	HGC-27_MRCA_harvest	HGC-27_G1_A9_harvesT155	0.0974426246021101	-0.473202965973386	-1.18318147905031	-0.709978513076925	0.336354338640145	0.065587113953204	-2.35849756935659
Gemcitabine	ic50	IC50	log10_uM	mean	mean	MDA	MDA-MB-231: 4.3N vs. 4.5N	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A3_harvesT8	4.2564460599923	4.46978632843667	cloneid_genome_perspective	cloneid_genome_perspective	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A4_seed	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	1	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A3_harvesT8	0.21334026844437	NA	NA	NA	NA	NA	NA
Gemcitabine	ic50	IC50	log10_uM	mean	mean	SNU	SNU-668: 2.6N vs. 2.9N	SNU-668_P1_A19kT_harvest	SNU-668_r2_GFP_VT_A7_harvesT3	2.6439661686584	2.92137790322248	cloneid_genome_perspective	cloneid_genome_perspective	SNU-668_P1_A18K_seed	SNU-668_r2_A55_seedT1	nearest_pedigree_genome_perspective	nearest_pedigree_genome_perspective	3	24	SNU-668_P1_A17k_harvest	SNU-668_r2_A55_seedT1	0.27741173456408	-1.60657409511418	-1.17780205241617	0.42877204269801	0.0247414930995384	0.0664045667578392	1.42434989494076
Gemcitabine	ic50	IC50	log10_uM	mean	mean	SUM	SUM-159: 2.2N vs. 3.9N	SUM159_NLS_2N_O1_A7K_harvest	SUM-159_NLS_2N_O2_A24_seedT2	2.15918128360122	3.88616087506525	cloneid_genome_perspective	cloneid_genome_perspective	SUM159_NLS_2N_O1_A7K_harvest	SUM-159_NLS_2N_O2_A19_seed	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	11	SUM159_NLS_2N_O1_A7K_harvest	SUM-159_NLS_2N_O2_A19_seed	1.72697959146403	-0.980672784448158	-0.99908920869987	-0.0184164242517123	0.104550765155342	0.100209937507897	-0.0611780371291281
Gemcitabine	ic50	IC50	log10_uM	mean	mean	SUMOld	SUM-159: 2.0N vs. 3.5N	SUM-159_2N	SUM-159_4N	2.009975	3.49593528659252	embedded_fallback	embedded_fallback			target_not_in_passaging	target_not_in_passaging	NA	NA	NA	NA	1.48596028659252	-1.80237133652368	-1.29538170043978	0.506989636083901	0.0157626293503155	0.0506545311043647	1.68418311592383
Gemcitabine	ic50	IC50	log10_uM	mean	mean	MDAOld	MDA-MB-231: 4.2N vs. 6.5N	MDAMB231_2N	MDAMB231_4N	4.15675859608933	6.5	embedded_fallback	embedded_fallback			target_not_in_passaging	target_not_in_passaging	NA	NA	NA	NA	2.34324140391067	-1.07113567695425	NA	NA	0.0848915225924869	NA	NA
Gemcitabine	ic50	IC50	log10_uM	median	median	HGC	HGC-27: 3.1N vs. 3.3N	HGC-27_MRCA_harvest	HGC-27_G1_A10_harvesT3	3.130822360151	3.33912142528887	cloneid_genome_perspective	cloneid_genome_perspective	HGC-27_MRCA_harvest	HGC-27_G1_A9_harvesT155	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	2	HGC-27_MRCA_harvest	HGC-27_G1_A9_harvesT155	0.20829906513787	-0.473202965973386	-1.18318147905031	-0.709978513076925	0.336354338640145	0.065587113953204	-2.35849756935659
Gemcitabine	ic50	IC50	log10_uM	median	median	MDA	MDA-MB-231: 4.3N vs. 4.5N	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A3_harvesT8	4.29143274528103	4.50289517773805	cloneid_genome_perspective	cloneid_genome_perspective	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A4_seed	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	1	MDA-MB-231_O1_A23-K_harvest	MDA-MB-231_G2_A3_harvesT8	0.21146243245702	NA	NA	NA	NA	NA	NA
Gemcitabine	ic50	IC50	log10_uM	median	median	SNU	SNU-668: 2.6N vs. 2.6N	SNU-668_P1_A19kT_harvest	SNU-668_r2_GFP_VT_A7_harvesT3	2.63702306715585	2.59262476255055	cloneid_genome_perspective	cloneid_genome_perspective	SNU-668_P1_A18K_seed	SNU-668_r2_A55_seedT1	nearest_pedigree_genome_perspective	nearest_pedigree_genome_perspective	3	24	SNU-668_P1_A17k_harvest	SNU-668_r2_A55_seedT1	-0.0443983046052998	-1.60657409511418	-1.17780205241617	0.42877204269801	0.0247414930995384	0.0664045667578392	1.42434989494076
Gemcitabine	ic50	IC50	log10_uM	median	median	SUM	SUM-159: 2.1N vs. 4.2N	SUM159_NLS_2N_O1_A7K_harvest	SUM-159_NLS_2N_O2_A24_seedT2	2.14000554096575	4.2111026941188	cloneid_genome_perspective	cloneid_genome_perspective	SUM159_NLS_2N_O1_A7K_harvest	SUM-159_NLS_2N_O2_A19_seed	exact_mapped_genome_perspective	nearest_pedigree_genome_perspective	0	11	SUM159_NLS_2N_O1_A7K_harvest	SUM-159_NLS_2N_O2_A19_seed	2.07109715315305	-0.980672784448158	-0.99908920869987	-0.0184164242517123	0.104550765155342	0.100209937507897	-0.0611780371291281
